jurisdiction	authority	observed_term	mapping_target	mapping_type	verification_status	source_id	note
Japan/JRA	JRA	新馬競走	RTYPE-058	new_concept	source_verified	JP-SRC-008	First-start-only JRA newcomer race.
Japan/JRA	JRA	新馬戦	RTYPE-058	alternate_label	source_verified	JP-SRC-008	Common official-glossary form.
Japan/JRA	JRA	メイクデビュー	RTYPE-058	official_nickname	source_verified	JP-SRC-009	Official nickname since 2008.
Japan/JRA	JRA	未勝利競走	RTYPE-001	regional_definition	source_verified	JP-SRC-001	Map to Maiden concept only with JRA-specific definition.
Japan/JRA	JRA	1勝クラス	RTYPE-059	new_concept	source_verified	JP-SRC-001	JRA-specific class.
Japan/JRA	JRA	2勝クラス	RTYPE-060	new_concept	source_verified	JP-SRC-001	JRA-specific class.
Japan/JRA	JRA	3勝クラス	RTYPE-061	new_concept	source_verified	JP-SRC-001	JRA-specific class.
Japan/JRA	JRA	一般競走	RTYPE-062	new_concept	source_verified	JP-SRC-002	Structural programme category.
Japan/JRA	JRA	平場戦	RTYPE-062	colloquial_alias	source_verified	JP-SRC-002	JRA glossary explicitly gives this alias.
Japan/JRA	JRA	特別競走	RTYPE-063	new_concept	source_verified	JP-SRC-002	Requires special registration; includes graded races.
Japan/JRA	JRA	条件レース	RTYPE-064	new_concept	source_verified	JP-SRC-002	1/2/3-win class aggregate term.
Japan/JRA	JRA	オープン特別	RTYPE-065	new_concept	source_verified	JP-SRC-001	Current JRA class hierarchy.
Japan/JRA	JRA	重賞競走	RTYPE-066	new_concept	source_verified	JP-SRC-002	Japanese major-race category; not generic Stakes Race.
Japan/NAR	NAR	ダートグレード競走	RTYPE-067	new_concept	source_verified	JP-SRC-012	Cross-JRA/NAR graded dirt system.
Japan/NAR	NAR	交流競走	RTYPE-068	new_concept	source_verified	JP-SRC-012	Cross-affiliation/inter-authority race.
Japan/NAR	NAR/JRA	JpnI	RTYPE-069	new_concept	source_verified	JP-SRC-013	Current 2026 grading label.
Japan/NAR	NAR/JRA	JpnII	RTYPE-070	new_concept	source_verified	JP-SRC-013	Current 2026 grading label.
Japan/NAR	NAR/JRA	JpnIII	RTYPE-071	new_concept	source_verified	JP-SRC-013	Current 2026 grading label.
Japan/JRA	JRA	良	SURF-037	new_concept	source_verified	JP-SRC-003	JRA-specific track condition; no exact global equivalent asserted.
Japan/JRA	JRA	稍重	SURF-038	new_concept	source_verified	JP-SRC-003	JRA-specific track condition.
Japan/JRA	JRA	重	SURF-039	new_concept	source_verified	JP-SRC-003	JRA-specific track condition.
Japan/JRA	JRA	不良	SURF-040	new_concept	source_verified	JP-SRC-003	JRA-specific track condition.
Japan/JRA	JRA	クッション値	SURF-041	new_concept	source_verified	JP-SRC-004	JRA turf cushion measurement.
Japan/JRA	JRA	含水率	SURF-042	new_concept	source_verified	JP-SRC-004	JRA turf/dirt moisture metric.
Japan/JRA	JRA	道悪	SURF-043	new_colloquial_concept	source_verified	JP-SRC-007	Aggregate stable-language concept for 重以上.
Japan/JRA	JRA	収得賞金	PRIZE-011	new_concept	source_verified	JP-SRC-010	Class-determining calculated earnings; distinct from actual purse earnings.
Japan/JRA	JRA	出走馬決定賞金	PRIZE-012	new_concept	source_verified	JP-SRC-011	Field-selection calculated earnings.
Japan/JRA	JRA	負担重量	WEIGHT-001	regional_official_label	source_verified	JP-SRC-005	Official Japanese term for weight carried.
Japan/JRA	JRA	斤量	WEIGHT-001	colloquial_historical_label	source_verified	JP-SRC-006	Historical kin-derived stable-language synonym for 負担重量.
Japan/JRA	JRA	別定	WEIGHT-028	new_concept	source_verified	JP-SRC-005	JRA-specific weight system.
Japan/JRA	JRA	定量	WEIGHT-029	new_concept	source_verified	JP-SRC-005	Subtype of 別定 in JRA explanation.
Japan/JRA	JRA	馬齢重量	WEIGHT-030	new_concept	source_verified	JP-SRC-005	JRA age/sex weight table for same-age races.
Japan/JRA	JRA	カンパイ	RESULT-018	colloquial_historical_label	source_verified	JP-SRC-006	JRA stable-language false-start/restart term.
Japan/JRA	JRA	格上挑戦	NEW-REVIEW-JP-KAKUUE	new_candidate	candidate	JP-SRC-002	Official glossary usage inside Open Race explanation; review whether independent user-facing Concept merits creation.
