label_id	concept_id	language	locale	script	label	label_type	jurisdiction	authority	discipline	register	currentness	verification_status	source_id	note
UAZA-LBL-001	RTYPE-099	en	en-AE	Latn	PRESTIGE	official	UAE	ERA	Flat	programme	current_2025_26	source_verified	UAZA-SRC-002	ERA race-type display.
UAZA-LBL-002	HORSE-002	en	en-AE	Latn	Purebred Arabian	regional_official	UAE	ERA	Flat	formal	current	source_verified	UAZA-SRC-002	ERA horse/race-breed label.
UAZA-LBL-003	RTYPE-001	en	en-AE	Latn	MAIDEN	regional_official	UAE	ERA	Flat	programme	current_2025_26	source_verified	UAZA-SRC-003	ERA race-type label.
UAZA-LBL-004	RTYPE-007	en	en-AE	Latn	HANDICAP	regional_official	UAE	ERA	Flat	programme	current_2025_26	source_verified	UAZA-SRC-004	Displayed with rating bands such as 0-70.
UAZA-LBL-005	RTYPE-027	en	en-AE	Latn	For Private Owners	regional_restriction	UAE	ERA	Flat	programme	current_2025_26	source_verified	UAZA-SRC-004	Eligibility restriction, not a new race type.
UAZA-LBL-006	HORSE-027	en	en-AE	Latn	bred in United Arab Emirates	regional_condition	UAE	ERA	Flat	programme	current_2025_26	source_verified	UAZA-SRC-002	UAE-bred restriction wording.
UAZA-LBL-007	ENTRY-009	en	en-AE	Latn	Safety Limit	regional_official	UAE	ERA	Flat	programme	current_2025_26	source_verified	UAZA-SRC-005	Maximum field/safety-cap field on ERA racecards.
UAZA-LBL-008	TRAIN-012	en	en-AE	Latn	TRIAL	regional_official	UAE	ERA	Flat	programme	current	source_verified	UAZA-SRC-006	ERA official trial race type.
UAZA-LBL-009	WEIGHT-022	en	en-AE	Latn	Rating	regional_official	UAE	ERA	Flat	programme	current	source_verified	UAZA-SRC-005	Racecard horse rating field; surface-specific rating data needs further model review.
UAZA-LBL-010	RTYPE-100	en	en-ZA	Latn	MR Handicap	official_or_operator	South Africa	NHA/4Racing	Flat	programme	current_2026	source_verified	UAZA-SRC-013	MR number is a parameter, e.g. MR 66 Handicap.
UAZA-LBL-011	WEIGHT-035	en	en-ZA	Latn	Merit Rating	official	South Africa	NHA	Flat	regulatory	current_2026	source_verified	UAZA-SRC-011	Current NHA term.
UAZA-LBL-012	WEIGHT-035	en	en-ZA	Latn	MR	official_abbreviation	South Africa	NHA/4Racing	Flat	formal	current_2026	source_verified	UAZA-SRC-013	Operational abbreviation in race names.
UAZA-LBL-013	RTYPE-101	en	en-ZA	Latn	Plate	official	South Africa	NHA	Flat	regulatory	current_2026	source_verified	UAZA-SRC-008	NHA formal race category.
UAZA-LBL-014	RTYPE-102	en	en-ZA	Latn	Pinnacle Stakes	regional_official	South Africa	4Racing/NHA	Flat	programme	current_2026	source_verified	UAZA-SRC-012	Current race-program label.
UAZA-LBL-015	RTYPE-103	en	en-ZA	Latn	Progress Plate	regional_official	South Africa	NHA/4Racing	Flat	programme	current_2026	source_verified	UAZA-SRC-010	NHA current handicapping discussion plus operator programme.
UAZA-LBL-016	RTYPE-104	en	en-ZA	Latn	Maiden Plate	regional_official	South Africa	4Racing	Flat	programme	current_2026	source_verified	UAZA-SRC-014	Current programme label.
UAZA-LBL-017	RTYPE-105	en	en-ZA	Latn	Graduation Plate	regional_official	South Africa	4Racing	Flat	programme	current_2026	source_verified	UAZA-SRC-013	Current programme label.
UAZA-LBL-018	RTYPE-106	en	en-ZA	Latn	Novice Plate	regional_official	South Africa	4Racing	Flat	programme	current_2025_26	source_verified	UAZA-SRC-015	Current-season programme evidence.
UAZA-LBL-019	RTYPE-008	en	en-ZA	Latn	Conditions Race	regional_official	South Africa	NHA	Flat	regulatory	current_2026	source_verified	UAZA-SRC-008	Formal NHA race type.
UAZA-LBL-020	TRAIN-011	en	en-ZA	Latn	Barrier Trial	regional_official	South Africa	NHA	Flat	regulatory	current_2026	source_verified	UAZA-SRC-008	Formal NHA race/trial category.
UAZA-LBL-021	WEIGHT-003	en	en-ZA	Latn	Weight-for-age	regional_official	South Africa	NHA	Flat	regulatory	current_2026	source_verified	UAZA-SRC-008	NHA formal race weighting category.
