audit_id	dimension	scope	active_concepts	source_verified_pct	search_readiness	audit_state	material_gap	next_action
M6-DOM-001	category	DISC	16	100	P0_definition_complete_selective_other_intents	covered_current_master		Reopen only if worldwide/user-demand audit exposes a material missing Concept
M6-DOM-002	category	RTYPE	108	100	P0_definition_complete_selective_other_intents	covered_current_master		Reopen only if worldwide/user-demand audit exposes a material missing Concept
M6-DOM-003	category	ENTRY	29	100	P0_definition_complete_selective_other_intents	covered_current_master		Reopen only if worldwide/user-demand audit exposes a material missing Concept
M6-DOM-004	category	HORSE	34	100	P0_definition_complete_selective_other_intents	covered_current_master		Reopen only if worldwide/user-demand audit exposes a material missing Concept
M6-DOM-005	category	BREED	18	100	P0_definition_complete_selective_other_intents	covered_current_master		Reopen only if worldwide/user-demand audit exposes a material missing Concept
M6-DOM-006	category	ROLE	30	100	P0_definition_complete_selective_other_intents	covered_current_master		Reopen only if worldwide/user-demand audit exposes a material missing Concept
M6-DOM-007	category	VENUE	42	100	P0_definition_complete_selective_other_intents	covered_current_master		Reopen only if worldwide/user-demand audit exposes a material missing Concept
M6-DOM-008	category	SURF	61	100	P0_definition_complete_selective_other_intents	covered_current_master		Reopen only if worldwide/user-demand audit exposes a material missing Concept
M6-DOM-009	category	DIST	19	100	P0_definition_complete_selective_other_intents	covered_current_master		Reopen only if worldwide/user-demand audit exposes a material missing Concept
M6-DOM-010	category	WEIGHT	32	100	P0_definition_complete_selective_other_intents	covered_current_master		Reopen only if worldwide/user-demand audit exposes a material missing Concept
M6-DOM-011	category	RUN	43	100	P0_definition_complete_selective_other_intents	covered_current_master		Reopen only if worldwide/user-demand audit exposes a material missing Concept
M6-DOM-012	category	EQUIP	28	100	P0_definition_complete_selective_other_intents	covered_current_master		Reopen only if worldwide/user-demand audit exposes a material missing Concept
M6-DOM-013	category	TRAIN	25	100	P0_definition_complete_selective_other_intents	covered_current_master		Reopen only if worldwide/user-demand audit exposes a material missing Concept
M6-DOM-014	category	MEET	37	100	P0_definition_complete_selective_other_intents	covered_current_master		Reopen only if worldwide/user-demand audit exposes a material missing Concept
M6-DOM-015	category	RESULT	27	100	P0_definition_complete_selective_other_intents	covered_current_master		Reopen only if worldwide/user-demand audit exposes a material missing Concept
M6-DOM-016	category	PRIZE	11	100	P0_definition_complete_selective_other_intents	covered_current_master		Reopen only if worldwide/user-demand audit exposes a material missing Concept
M6-DOM-017	category	BET	38	100	P0_definition_complete_selective_other_intents	covered_current_master		Reopen only if worldwide/user-demand audit exposes a material missing Concept
M6-DOM-018	category	WELF	18	100	P0_definition_complete_selective_other_intents	covered_current_master		Reopen only if worldwide/user-demand audit exposes a material missing Concept
M6-DOM-019	user_demand	all_categories	616	100	seven_intent_classes_seeded_670_reviewed_queries	partial	P1/P2/P3 definition and selective-intent demand sufficiency has not been blanket-assumed	Continue curated intent review only where concrete user value or readiness gap is identified
