source_id	jurisdiction	authority	source_class	title	url	checked_at	currentness	covers	note
USCA-SRC-001	US	ARCI	official_model_rules	ARCI Model Rules & Standards	https://www.arci.com/model_rules_standards.php	2026-09-10	current_model_rules_v14	No Contest; Off Time; Optional Claiming; regulatory terminology	Model rules are not automatically law in every state; record jurisdiction adoption separately.
USCA-SRC-002	US/Canada	Equibase	industry_official_database	Updated Glossary of Terms Now Available on Equibase	https://cms.equibase.com/node/286592	2026-09-10	current_reference	standardized North American chart-comment terminology	Equibase identifies itself as the Thoroughbred industry's official database for racing information.
USCA-SRC-003	US/Canada	Equibase	industry_reference	Equibase race type and definition guide	https://www.equibase.com/newfan/pp-top.cfm	2026-09-10	current_reference	MSW; WCL; WMC; OCH; MOC; CLH; CST; Starter Allowance; Match; Training Race	Use terminology/semantics only; do not reproduce proprietary meeting-specific chart data.
USCA-SRC-004	US/Canada	Equibase	industry_reference	Equibase Full Charts explainer	https://www.equibase.com/products/whatisfullcharts.cfm	2026-09-10	current_reference	Points of Call; fractional/split times; race conditions; chart structure	Supports reader-facing chart terminology.
USCA-SRC-005	Canada	CPMA	federal_regulator	Canadian Pari-Mutuel Agency	https://agriculture.canada.ca/en/department/partners-agencies/canadian-pari-mutuel	2026-09-10	current_federal_reference	pari-mutuel betting; permits; licences; betting theatre; regulatory role	Federal betting-regulation source, not a provincial racing-rules authority.
USCA-SRC-006	Canada	CPMA	federal_regulatory_framework	Canadian Pari-Mutuel Agency Regulatory Framework Overview	https://agriculture.canada.ca/en/department/partners-agencies/canadian-pari-mutuel/acts-regulations/regulatory-framework	2026-09-10	current_federal_reference	regulations; policy statements; permits; licences; authorizations	Distinguish enforceable requirement documents from guidance.
USCA-SRC-007	US	USTA	breed_and_racing_authority	USTA Entries & Results Abbreviation Codes	https://racing.ustrotting.com/abbrcodes.aspx	2026-09-10	current_reference	card status; race status; chart calls; track conditions; equipment; scratch reasons; gait codes	Current machine-facing harness terminology and abbreviations.
USCA-SRC-008	Canada	Standardbred Canada	industry_national_body	Standardbred & Harness Racing Glossary	https://standardbredcanada.ca/content/standardbred-harness-racing-glossary.html	2026-09-10	current_reference	Canadian harness glossary and jargon	Useful for regional labels, harness concepts and colloquial usage.
USCA-SRC-009	US	USTA	official_rulebook	USTA Rule Book	https://www.ustrotting.com/assets/pdf/USTARuleBook.pdf	2026-09-10	current_reference	harness racing terminology and definitions	USTA notes racing rules primarily govern non-pari-mutuel meetings where no state regulator has primary jurisdiction.
USCA-SRC-010	US/Kentucky	Kentucky Legislative Research Commission	official_state_regulation	811 KAR 1:005 Definitions	https://apps.legislature.ky.gov/law/kar/titles/811/001/005/	2026-09-10	current_rule	Coupled entry	Kentucky regulation defines Coupled entry as two or more horses treated as a single betting interest for pari-mutuel wagering. Use as US regional evidence, not a North America-wide rule.
