definition_id	concept_id	jurisdiction	authority	discipline	effective_scope	definition_ja_summary	verification_status	source_id	note
HKKR-DEF-001	RTYPE-084	Hong Kong	HKJC	Flat	current_2026	香港第一班はHKJCの通常競走クラスの最上位区分。個別競走のrating bandは一定ではないため、110-85等の観測値を恒久定義にはしない。	source_verified	HKKR-SRC-003	Use current fixture/race conditions for exact band.
HKKR-DEF-002	RTYPE-085	Hong Kong	HKJC	Flat	current_2026	香港第二班はHKJCの通常競走クラス区分。2026年には100-80等の条件が確認できるが、番組条件は可変。	source_verified	HKKR-SRC-006	Do not freeze one observed band.
HKKR-DEF-003	RTYPE-086	Hong Kong	HKJC	Flat	current_2026	香港第三班はHKJCの通常競走クラス区分で、2026年賽期表では80-60等の条件が頻出する。	source_verified	HKKR-SRC-003	Special variants can exist.
HKKR-DEF-004	RTYPE-087	Hong Kong	HKJC	Flat	current_2026	香港第四班はHKJCの通常競走クラス区分で、2026年賽期表では60-40を基本とする番組が多数確認できる。	source_verified	HKKR-SRC-003	Exact race conditions remain event-level data.
HKKR-DEF-005	RTYPE-088	Hong Kong	HKJC	Flat	current_2026	香港第五班はHKJCの通常競走クラス区分で、2026年賽期表では40-0の番組が確認できる。	source_verified	HKKR-SRC-003	Exact band may be revised by season/race.
HKKR-DEF-006	RTYPE-089	Hong Kong	HKJC	Flat	current_2026	Griffin Race／新馬賽はHKJCのGriffin資格馬を対象とする香港固有の競走区分。	source_verified	HKKR-SRC-014	Race type distinct from Griffin horse status.
HKKR-DEF-007	HORSE-033	Hong Kong	HKJC	Flat	2025_26_rules	HKJC RulesのGriffinはStewardsの権限により未出走のまま香港へ輸入された馬を指す。単純な世界共通の「新馬」とは同一視しない。	source_verified	HKKR-SRC-001	Formal rule definition.
HKKR-DEF-008	TRAIN-026	Hong Kong	HKJC	Flat	2025_26_rules	Stalls Testは発馬機内での行動・適性を確認するHKJCの公式テストで、Griffinの出走資格手続ではBarrier Trialと別に要求される。	source_verified	HKKR-SRC-001	Separate from TRAIN-011 Barrier Trial.
HKKR-DEF-009	TRAIN-011	Hong Kong	HKJC	Flat	2025_26_rules	香港のBarrier Trialは出走資格・適性確認に用いられる公式試閘で、Griffin等の出走前手続に組み込まれる。	source_verified	HKKR-SRC-001	Jurisdiction-specific definition on existing Concept.
HKKR-DEF-010	SURF-059	Hong Kong	HKJC	Flat	current_reference	HKJCのPenetrometer Reading／度地儀指數は芝Going判定の参考値であり、騎手の意見、芝表面、天候も加味して最終Goingを決定する。	source_verified	HKKR-SRC-002	Not a deterministic one-number classification rule.
HKKR-DEF-011	SURF-060	Hong Kong	HKJC	Flat	current_reference	Clegg Hammer Reading／硬度計指數はHKJC全天候跑道の硬さを把握する参考値で、通常は数値が高いほど表面が硬い傾向を示す。	source_verified	HKKR-SRC-002	AWT-specific measurement.
HKKR-DEF-012	SURF-063	Hong Kong	HKJC	Flat	current_reference	Good to Yielding／好地至黏地はHKJC芝Goingの独立区分で、参考表ではpenetrometer 3.00-3.25。2026年実開催でも現役使用されている。	source_verified	HKKR-SRC-002	Distinct HK category.
HKKR-DEF-013	SURF-061	Hong Kong	HKJC	Flat	current_reference	Rain AffectedはHKJC全天候跑道の状態区分の一つでコードRAを用いる。	source_verified	HKKR-SRC-002	Do not equate to generic wet/sloppy dirt.
