source_id	jurisdiction	authority	source_class	title	url	checked_at	currentness	covers	note
TR-SRC-001	International/Japan	JRA	official_overseas_dictionary	Overseas racing English-Japanese dictionary — racecourse facilities	https://www.jra.go.jp/keiba/overseas/yougo/c10010_list.html	2026-09-11	current_reference	Chute; Bend; Grandstand	JRA directly maps chute to シュート／ポケット, bend to コーナー and grandstand to グランドスタンド in racing-facility terminology. Use as label/sense evidence without treating one regional geometry as universal.
TR-SRC-002	International/Japan	JRA	official_overseas_dictionary	anti-clockwise	https://www.jra.go.jp/keiba/overseas/yougo/w8.html	2026-09-11	current_reference	Anti-clockwise	JRA directly maps anti-clockwise to 左回り and cross-references left-handed.
TR-SRC-003	International/Japan	JRA	official_overseas_dictionary	clockwise	https://www.jra.go.jp/keiba/overseas/yougo/w60.html	2026-09-11	current_reference	Clockwise	JRA directly maps clockwise to 右回り and cross-references right-handed.
TR-SRC-004	GB	British Horseracing Authority	official_racecourse_instruction	BHA General Instructions — Section 3 The Racecourse	https://media.britishhorseracing.com/bha/Rules/BHAGI/Section3_The_Racecourse.pdf	2026-09-11	current_2026	Running rail; Winning post	Current BHA instructions define running rails as the rails horses run between during a race and prescribe winning-post siting, alignment and safety. Use for British racecourse infrastructure senses.
TR-SRC-005	International/Japan	JRA	official_overseas_dictionary	barn	https://www.jra.go.jp/keiba/overseas/yougo/w19.html	2026-09-11	current_reference	Barn	JRA maps barn to 厩舎／馬舎 and cross-references stable. The Concept remains North American/regional in preferred racing usage even though the dictionary is international-facing.
TR-SRC-006	North America/Japan	JRA	official_site_guidance	Equibase — racehorse profile guide	https://www.jra.go.jp/keiba/overseas/website/equibase/profile.html	2026-09-11	current_reference	Ridgling	JRA's current Equibase profile guide explicitly defines R (Ridgling) as an entire male with one or both testes not descended into the scrotum.
TR-SRC-007	International	IFHA/JRA	international_ranking_key	Longines World's Best Racehorse Rankings — 2026 sex-code key	https://www.jra.go.jp/datafile/ranking/wrank/pdf/20260612-ranking.pdf	2026-09-11	current_2026	Rig	The current international ranking key uses R = Rig/Ridgling, supporting Rig as a reporting label for the same sex-condition class without claiming a uniquely British definition.
TR-SRC-008	Australia	Racing Australia	official_race_form	Hawkesbury weights — 8 April 2026	https://www.racingaustralia.horse/FreeFields/Weights.aspx?Key=2026Apr08%2CNSW%2CHawkesbury	2026-09-11	current_2026	Four-year-old	Current official race data explicitly publishes Four-Years-Old and Upwards conditions and individual Age=4 runners, directly supporting the four-year-old age classification.
TR-SRC-009	Japan	JRA	official_owner_registration_guidance	On foal registration, horse name registration and racehorse registration	https://www.jra.go.jp/owner/howto/regist/pdf/katsudou_en.pdf	2026-09-11	current_reference_currently_hosted	Foreign-bred	JRA guidance explicitly uses foreign-bred horses for horses already named/registered abroad and ties the label to country-of-birth registration context. Use only for the Japan-facing foreign-bred classification rather than asserting one global eligibility rule.
TR-SRC-010	International/Japan	JRA	official_overseas_dictionary	assistant trainer	https://www.jra.go.jp/keiba/overseas/yougo/c10070_list.html	2026-09-11	current_reference	Assistant trainer	JRA directly maps assistant trainer to 調教師助手／調教助手 in racing-training terminology.
TR-SRC-011	Japan	JRA	official_training_school_guidance	厩舎スタッフの仕事	https://www.jra.go.jp/school/stable/work/	2026-09-11	current_2026	Stable staff	JRA defines stable staff as people working under the trainer who care for racehorses and describes daily horse-care, preparation, training-support and post-training duties. Employment structure is Japan-specific.
TR-SRC-012	International	IFHA	international_agreement	International Agreement on Breeding, Racing and Wagering — Article 12	https://www.ifhaonline.org/default.asp?AREA=2&section=IABRW	2026-09-11	current_reference	Foaled	IFHA Article 12 requires exact date and country of foaling and identifies the country of foaling for Stud Book recording. This supports foaled/foaling as an official pedigree-registration birth expression; detailed registration rules remain Thoroughbred-system-specific.
