concept_id	category_id	category_ja	canonical_en	preferred_ja	working_definition_ja	concept_kind	priority	jurisdiction_scope	discipline_scope	translation_status	verification_status	source_required	public_ready	notes
RTYPE-041	RTYPE	レースの種類・格・条件	Hunter Chase	ハンター・チェイス	一定のハンター資格・関連条件を満たす馬を対象とする障害競走。制度詳細は管轄ごとに異なる。	concept	P1	GB/IRE	Jump	working_equivalent	source_verified	yes	no	GBIRE-SRC-008 confirms current IHRB operational use.
RTYPE-042	RTYPE	レースの種類・格・条件	Juvenile Hurdle	ジュベナイル・ハードル	若齢馬を対象とするハードル競走。IHRBの2026 safety limitsでは3歳ハードル等に明示的な定義がある。	concept	P1	GB/IRE	Jump	working_equivalent	source_verified	yes	no	GBIRE-SRC-008; age scope is jurisdiction-specific.
RTYPE-043	RTYPE	レースの種類・格・条件	Private Sweepstakes	プライベート・スウィープステークス	所有者等の合意・拠出を基礎とする私的な競走類型。BHA/IHRB定義文脈で確認される。	concept	P3	GB/IRE/Historical	ALL	descriptive_translation	source_verified	yes	no	Observed in GB rules and IHRB Maiden definition; retain as historical/regulatory vocabulary.
RTYPE-044	RTYPE	レースの種類・格・条件	Total Race Value Race	トータル・レース・バリュー競走	BHA規則上の競走価値に関する定義語。一般的なStakes race等とは同一視しない。	concept	P3	GB	Flat	descriptive_translation	source_verified	yes	no	GBIRE-SRC-001.
ENTRY-027	ENTRY	登録・出走手続	Reserve declaration	補欠馬出走申告	補欠馬を実際の出走候補として申告するアイルランドの運用手続。	concept	P1	IRE	ALL	working_equivalent	source_verified	yes	no	GBIRE-SRC-009 current IHRB operational terminology.
ENTRY-028	ENTRY	登録・出走手続	Nomination of rider	騎乗者指名	出走馬・補欠馬に騎乗するRiderを公式に指名・申告する手続。	concept	P1	IRE/Regional	ALL	working_equivalent	source_verified	yes	no	GBIRE-SRC-009 current IHRB operational terminology.
ROLE-027	ROLE	騎手・調教師・関係者	Rider	ライダー／騎乗者	競走規則上、馬に騎乗する者を広く指す上位役割語。JockeyやQualified Rider等の資格区分とは同一ではない。	concept	P1	GB/IRE/Regional	Flat/Jump	working_equivalent	source_verified	yes	no	IHRB rule-change text and licensing material use Rider as an umbrella role.
ROLE-028	ROLE	騎手・調教師・関係者	Qualified Rider	クオリファイド・ライダー	アイルランドで特定の許可・資格の下で競走に騎乗するRider区分。	concept	P1	IRE	Flat/Jump	descriptive_translation	source_verified	yes	no	GBIRE-SRC-010/011/012. Do not collapse into generic Amateur Rider.
ROLE-029	ROLE	騎手・調教師・関係者	Claiming Professional Jockey	Claiming Professional（アイルランド騎手資格）	IHRBがProfessional Jockeyとは区別して扱うアイルランドのプロ騎手ライセンス区分。更新・CPD等でClaiming Professionalとして明示される。	concept	P2	IRE	Flat/Jump	descriptive_translation	source_verified	yes	no	GBIRE-SRC-013. IHRB current licensing material explicitly distinguishes Claiming Professional Jockey; no universal claim amount is asserted here.
SURF-032	SURF	走路・馬場状態	Hard	Hard／非常に硬い	BHAが公式Going descriptionとして認める最も硬い側の芝馬場状態区分。	concept	P1	GB	Flat/Jump	descriptive_translation	source_verified	yes	no	GBIRE-SRC-003.
SURF-033	SURF	走路・馬場状態	GoingStick	ゴーイングスティック	BHAの馬場状態評価・報告で用いられる測定装置・測定体系の名称。	concept	P2	GB	Flat/Jump	transliteration	source_verified	yes	no	GBIRE-SRC-003. Distinct from the Going classification itself.
WEIGHT-022	WEIGHT	重量・ハンデ	Rating	レーティング	Handicapper等が馬の能力を数値化した評価値。具体的尺度・公表方式は管轄で異なる。	concept	P0	GB/IRE/Regional	ALL	working_equivalent	source_verified	yes	no	BHA handicap material and IHRB rule definitions.
WEIGHT-023	WEIGHT	重量・ハンデ	Rating band	レーティング帯	競走条件等で用いるレーティングの範囲・帯域。	concept	P1	GB/IRE/Regional	ALL	working_equivalent	source_verified	yes	no	IHRB defined term; BHA programme material also uses rating ranges/banding.
WEIGHT-024	WEIGHT	重量・ハンデ	Out of the handicap	ハンデ圏外／本来のハンデより不利な重量条件	ハンデ競走で本来の評価上必要な重量関係より不利な条件で出走する状態を示す用語。	concept	P1	GB/IRE/Regional	ALL	descriptive_translation	source_verified	yes	no	GBIRE-SRC-006; BHA introduced a 15lb limit effective 2026-01-07.
MEET-039	MEET	開催・日程・公式文書	Going report	馬場状態報告	開催前後に公式に公表されるGoing・地面状態等の報告。	concept	P1	GB/IRE	ALL	working_equivalent	source_verified	yes	no	GBIRE-SRC-003; IHRB uses Daily Ground Reports as a regional operational label.
