query_id	concept_id	related_concept_id	query	language	country_or_locale	search_intent	query_type	priority	future_target	review_state	source_basis
SQ-6001	RTYPE-084		What does 香港 racing label 第一班 mean in English?	en	zh-HK	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	HKKR-LBL-001;HKKR-LBL-006
SQ-6002	RTYPE-084		香港競馬の「第一班」は英語・日本語でどう説明する？	ja	ja-JP	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	HKKR-LBL-001;HKKR-LBL-006
SQ-6003	RTYPE-089		What does 新馬賽 mean on Hong Kong racecards, and how does HKJC label it in English?	en	zh-HK	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	HKKR-LBL-011;HKKR-LBL-012
SQ-6004	RTYPE-089		香港競馬の「新馬賽」は英語では何と呼ばれる？	ja	ja-JP	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	HKKR-LBL-011;HKKR-LBL-012
SQ-6005	SURF-059		What does 度地儀指數 mean in HKJC track information?	en	zh-HK	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	HKKR-LBL-014;HKKR-LBL-015
SQ-6006	SURF-059		香港競馬の「度地儀指數」は英語・日本語でどう説明する？	ja	ja-JP	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	HKKR-LBL-014;HKKR-LBL-015
SQ-6007	SURF-060		What does 硬度計指數 mean in HKJC all-weather track information?	en	zh-HK	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	HKKR-LBL-016;HKKR-LBL-017
SQ-6008	SURF-060		香港競馬の「硬度計指數」は英語・日本語でどう説明する？	ja	ja-JP	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	HKKR-LBL-016;HKKR-LBL-017
SQ-6009	SURF-063		What does 好地至黏地 mean in Hong Kong racing, and what is the HKJC English label?	en	zh-HK	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	HKKR-LBL-018;HKKR-LBL-019
SQ-6010	SURF-063		香港競馬の「好地至黏地」は英語・日本語でどう説明する？	ja	ja-JP	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	HKKR-LBL-018;HKKR-LBL-019
SQ-6011	RTYPE-090		What does 1등급 mean in Korean horse racing?	en	ko-KR	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	HKKR-LBL-028
SQ-6012	RTYPE-090		韓国競馬の「1등급」は日本語・英語でどう説明する？	ja	ja-JP	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	HKKR-LBL-028
SQ-6013	RTYPE-096		What does 대상경주 mean in Korean horse racing?	en	ko-KR	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	HKKR-LBL-034
SQ-6014	RTYPE-096		韓国競馬の「대상경주」は日本語・英語でどう説明する？	ja	ja-JP	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	HKKR-LBL-034
SQ-6015	WEIGHT-032		What does 별정 A mean in Korean racing weight conditions?	en	ko-KR	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	HKKR-LBL-037
SQ-6016	WEIGHT-032		韓国競馬の重量条件「별정 A」は日本語・英語でどう説明する？	ja	ja-JP	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	HKKR-LBL-037
SQ-6019	WEIGHT-001		How should the Japanese racing term 斤量 be explained in English?	en	ja-JP	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	JP-LBL-017
SQ-6020	WEIGHT-001		競馬用語の「斤量」は英語ではどう説明する？	ja	ja-JP	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	JP-LBL-017
SQ-6021	RESULT-018		How should the Japanese racing term カンパイ be explained in English?	en	ja-JP	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	JP-LBL-018
SQ-6022	RESULT-018		競馬用語の「カンパイ」は英語ではどう説明する？	ja	ja-JP	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	JP-LBL-018
SQ-6023	SURF-052		Does the French going term Collant have an exact English or Japanese equivalent?	en	fr-FR	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	FR-LBL-030
SQ-6024	SURF-052		フランス競馬の馬場状態「Collant」は日本語でどう説明する？完全な英語対応語はある？	ja	ja-JP	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	FR-LBL-030
SQ-6025	HORSE-032		How should the French racing term AQPS / Autre Que Pur Sang be explained in English?	en	fr-FR	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	FR-LBL-042;FR-LBL-043
SQ-6026	HORSE-032		フランス競馬の「AQPS / Autre Que Pur Sang」は日本語でどう説明する？	ja	ja-JP	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	FR-LBL-042;FR-LBL-043
SQ-6027	DISC-011		What does French harness-racing term trot monté mean in English?	en	fr-FR	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	AH-LBL-009
