label_id	concept_id	language	locale	script	label	label_type	jurisdiction	authority	discipline	register	currentness	verification_status	source_id	note
JP-LBL-001	RTYPE-058	ja	ja-JP	Jpan	新馬競走	official	Japan/JRA	JRA	Flat	formal	current	source_verified	JP-SRC-008	Official JRA term.
JP-LBL-002	RTYPE-058	ja	ja-JP	Jpan	新馬戦	alternate	Japan/JRA	JRA	Flat	general	current	source_verified	JP-SRC-008	Common JRA glossary form.
JP-LBL-003	RTYPE-058	ja	ja-JP	Jpan	メイクデビュー	alternate	Japan/JRA	JRA	Flat	brand_nickname	current	source_verified	JP-SRC-009	Official nickname used since June 2008.
JP-LBL-004	RTYPE-001	ja	ja-JP	Jpan	未勝利競走	regional	Japan/JRA	JRA	Flat	formal	current	source_verified	JP-SRC-001	JRA race-class terminology; definition needs JRA-specific scope.
JP-LBL-005	RTYPE-001	ja	ja-JP	Jpan	未勝利戦	alternate	Japan/JRA	JRA	Flat	general	current	source_verified	JP-SRC-008	Common JRA wording.
JP-LBL-006	RTYPE-026	ja	ja-JP	Jpan	オープン競走	regional	Japan/JRA	JRA	ALL	formal	current	source_verified	JP-SRC-002	Official JRA Open Race label.
JP-LBL-007	RTYPE-015	ja	ja-JP	Jpan	リステッド競走	regional	Japan/JRA	JRA	Flat	formal	current	source_verified	JP-SRC-001	Official JRA class hierarchy.
JP-LBL-008	RTYPE-022	ja	ja-JP	Jpan	GⅠ	regional_display	Japan/JRA	JRA	ALL	formal	current	source_verified	JP-SRC-001	JRA display label for Grade 1.
JP-LBL-009	RTYPE-023	ja	ja-JP	Jpan	GⅡ	regional_display	Japan/JRA	JRA	ALL	formal	current	source_verified	JP-SRC-001	JRA display label for Grade 2.
JP-LBL-010	RTYPE-024	ja	ja-JP	Jpan	GⅢ	regional_display	Japan/JRA	JRA	ALL	formal	current	source_verified	JP-SRC-001	JRA display label for Grade 3.
JP-LBL-011	RTYPE-069	ja	ja-JP	Jpan	JpnⅠ	regional_display	Japan/NAR	NAR/JRA	Flat	formal	current	source_verified	JP-SRC-013	Typography variant used in Japanese display contexts; canonical code remains JpnI.
JP-LBL-012	RTYPE-070	ja	ja-JP	Jpan	JpnⅡ	regional_display	Japan/NAR	NAR/JRA	Flat	formal	current	source_verified	JP-SRC-013	Typography variant.
JP-LBL-013	RTYPE-071	ja	ja-JP	Jpan	JpnⅢ	regional_display	Japan/NAR	NAR/JRA	Flat	formal	current	source_verified	JP-SRC-013	Typography variant.
JP-LBL-014	RTYPE-062	ja	ja-JP	Jpan	平場戦	colloquial	Japan/JRA	JRA	ALL	industry_common	current	source_verified	JP-SRC-002	JRA glossary says 一般競走 is also called 平場戦.
JP-LBL-015	RTYPE-066	ja	ja-JP	Jpan	重賞	short_form	Japan	JRA/NAR	ALL	general	current	source_verified	JP-SRC-001	Common short form of 重賞競走.
JP-LBL-016	WEIGHT-001	ja	ja-JP	Jpan	負担重量	preferred_official	Japan/JRA	JRA	ALL	formal	current	source_verified	JP-SRC-005	Official JRA term for weight carried.
JP-LBL-017	WEIGHT-001	ja	ja-JP	Jpan	斤量	colloquial_historical	Japan/JRA	JRA	ALL	stable_language	current	source_verified	JP-SRC-006	JRA says this survives from historical kin-based weight units and now means 負担重量.
JP-LBL-018	RESULT-018	ja	ja-JP	Jpan	カンパイ	colloquial_historical	Japan/JRA	JRA	ALL	stable_language	current	source_verified	JP-SRC-006	JRA stable-language term for restarting after an invalid start.
JP-LBL-019	RTYPE-007	ja	ja-JP	Jpan	ハンデキャップ競走	regional	Japan/JRA	JRA	ALL	formal	current	source_verified	JP-SRC-005	JRA weight-based race type.
JP-LBL-020	SURF-037	ja	ja-JP	Jpan	良	official	Japan/JRA	JRA	Flat	formal	current	source_verified	JP-SRC-003	Official JRA condition grade.
JP-LBL-021	SURF-038	ja	ja-JP	Jpan	稍重	official	Japan/JRA	JRA	Flat	formal	current	source_verified	JP-SRC-003	Official JRA condition grade.
JP-LBL-022	SURF-039	ja	ja-JP	Jpan	重	official	Japan/JRA	JRA	Flat	formal	current	source_verified	JP-SRC-003	Official JRA condition grade.
JP-LBL-023	SURF-040	ja	ja-JP	Jpan	不良	official	Japan/JRA	JRA	Flat	formal	current	source_verified	JP-SRC-003	Official JRA condition grade.
