concept_id	category_id	category_ja	canonical_en	preferred_ja	working_definition_ja	concept_kind	priority	jurisdiction_scope	discipline_scope	translation_status	verification_status	source_required	public_ready	notes
HORSE-031	HORSE	馬の品種・性別・年齢	Banba horse	ばん馬	ばんえい競馬でソリを曳いて競走する大型馬を指す日本語の地域・競技体系用語。	concept	P1	Japan/Banei	Banei	descriptive_translation	source_verified	yes	no	JP2-SRC-003. Do not treat as a single formal breed without additional studbook/breed evidence.
RTYPE-072	RTYPE	レースの種類・格・条件	General age category (NAR)	一般	地方競馬の番組編成で、原則として3歳または4歳以上の古馬を対象とする年齢区分。条件により若い馬が編入される場合がある。	concept	P0	Japan/NAR	Flat	no_direct_equivalent	source_verified	yes	no	JP2-SRC-001/002. Homonym with JRA 一般競走; keep separate Concept.
RTYPE-073	RTYPE	レースの種類・格・条件	Local racing class grade (NAR)	格付け（クラス）	地方競馬で年齢・収得賞金・着順ポイント等の地区独自基準により競走馬をA・B・C等へ区分する格付け体系。	concept	P0	Japan/NAR	Flat	descriptive_translation	source_verified	yes	no	JP2-SRC-001/002. Standards and subdivisions differ by district.
RTYPE-074	RTYPE	レースの種類・格・条件	Class subdivision (NAR)	組	地方競馬のクラスをさらに細分化して番組を編成する区分。表記方法は地区により一組・-1・1組など異なる。	concept	P1	Japan/NAR	Flat	descriptive_translation	source_verified	yes	no	JP2-SRC-002.
RTYPE-075	RTYPE	レースの種類・格・条件	Semi-graded race (NAR)	準重賞競走	地方競馬で重賞体系を補うステップレースなど、重賞に準ずる位置付けとして一部競馬場で実施される競走。	concept	P1	Japan/NAR	Flat	descriptive_translation	source_verified	yes	no	JP2-SRC-002.
RTYPE-076	RTYPE	レースの種類・格・条件	Ordinary race (NAR)	普通競走	地方競馬で重賞・準重賞・特別以外の大半を占める、いわゆる平場の競走区分。	concept	P1	Japan/NAR	Flat	descriptive_translation	source_verified	yes	no	JP2-SRC-002. Distinct from JRA 一般競走 wording.
RTYPE-077	RTYPE	レースの種類・格・条件	Special race (NAR)	特別競走（地方競馬）	地方競馬で普通競走より高い賞金や高い競走水準を持つ競走区分。選抜特別等を含む。	concept	P1	Japan/NAR	Flat	descriptive_translation	source_verified	yes	no	JP2-SRC-002. Separate jurisdiction Concept from JRA 特別競走 because programme semantics differ.
RTYPE-078	RTYPE	レースの種類・格・条件	BG1	BG1	ばんえい競馬の重賞格付け「ばんえいグレード」における最高位区分。	concept	P0	Japan/Banei	Banei	not_applicable	source_verified	yes	no	JP2-SRC-006.
RTYPE-079	RTYPE	レースの種類・格・条件	BG2	BG2	ばんえい競馬の重賞格付け「ばんえいグレード」における第2位区分。	concept	P1	Japan/Banei	Banei	not_applicable	source_verified	yes	no	JP2-SRC-006 and current 2026 grade schedule.
RTYPE-080	RTYPE	レースの種類・格・条件	BG3	BG3	ばんえい競馬の重賞格付け「ばんえいグレード」における第3位区分。	concept	P1	Japan/Banei	Banei	not_applicable	source_verified	yes	no	JP2-SRC-006 and current 2026 grade schedule.
WEIGHT-031	WEIGHT	重量・ハンデ	Banei weight	ばんえい重量	ばんえい競馬で馬が曳くソリ本体と積載重量を含む競走上の負担重量体系。馬齢・収得賞金・開催回・競走条件等で定められる。	concept	P0	Japan/Banei	Banei	descriptive_translation	source_verified	yes	no	JP2-SRC-004/005. Keep separate from jockey/horse carried weight.
EQUIP-027	EQUIP	馬具・装備	Banei racing sled	競走用ソリ	ばんえい競馬で競走馬が曳く鉄製のソリ。競走前に重量・状態が確認される。	concept	P0	Japan/Banei	Banei	descriptive_translation	source_verified	yes	no	JP2-SRC-003/008. Empty sled 450kg is a dated operational fact, not embedded in the timeless definition.
VENUE-043	VENUE	競馬場・コース	First obstacle (Banei)	第1障害	帯広ばんえいコースにある最初の坂状障害。公式ガイドでは高さ約1m。	concept	P1	Japan/Banei	Banei	descriptive_translation	source_verified	yes	no	JP2-SRC-009.
VENUE-044	VENUE	競馬場・コース	Second obstacle (Banei)	第2障害	帯広ばんえいコースにある2番目の坂状障害。公式ガイドでは高さ約1.6mで、レースの大きな勝負所と説明される。	concept	P0	Japan/Banei	Banei	descriptive_translation	source_verified	yes	no	JP2-SRC-009.
SURF-044	SURF	走路・馬場状態	Banei track moisture	馬場水分	ばんえい競馬で当日の砂路の水分状態を割合で示し、ソリの滑りや走破タイムに強く関係する公式表示指標。	concept	P0	Japan/Banei	Banei	descriptive_translation	source_verified	yes	no	JP2-SRC-003/005/009.
TRAIN-025	TRAIN	調教・競走前後	Banei ability test	能力検査	ばんえい競馬で新馬等が競走能力・出走適性を示すために受検する公式検査。	concept	P1	Japan/Banei	Banei	descriptive_translation	source_verified	yes	no	JP2-SRC-005. Reinspection variants should be labels/subtypes unless later evidence warrants separate Concepts.
