verification_id	concept_id	category_id	previous_status	new_status	source_ids	verified_at	note
SGV-001	SURF-013	SURF	candidate	source_verified	GBIRE-SRC-003;SURF-SRC-002	2026-09-11	Firm is directly listed in BHA going taxonomy and current JRA US-racing surface guidance; no universal physical threshold asserted.
SGV-002	SURF-014	SURF	candidate	source_verified	GBIRE-SRC-003;SURF-SRC-001	2026-09-11	Good to Firm is an official BHA going category and appears in current IHRB operational ground reports; scope narrowed to GB/IRE/Regional.
SGV-003	SURF-016	SURF	candidate	source_verified	GBIRE-SRC-003	2026-09-11	Good to Soft is directly listed in BHA going taxonomy; scope narrowed to GB/Regional rather than implying Irish/Commonwealth equivalence.
SGV-004	SURF-019	SURF	candidate	source_verified	SURF-SRC-001;SURF-SRC-002	2026-09-11	Yielding is actively used by IHRB and listed in current JRA US turf-condition guidance; unsupported Asia scope removed.
SGV-005	SURF-020	SURF	candidate	source_verified	SURF-SRC-001	2026-09-11	Current 2026 IHRB Ground Reports repeatedly publish Yielding to Soft for Flat and National Hunt courses.
SGV-006	SURF-021	SURF	candidate	source_verified	SURF-SRC-002;USCA-SRC-007	2026-09-11	Fast is explicitly listed in US dirt-condition guidance and North American track-condition coding.
SGV-007	SURF-022	SURF	candidate	source_verified	SURF-SRC-002;USCA-SRC-007	2026-09-11	Wet Fast is explicitly listed in US dirt taxonomy; USTA spelling Wet-Fast is treated as an orthographic variant, not a second Concept.
SGV-008	SURF-023	SURF	candidate	source_verified	SURF-SRC-002;USCA-SRC-007	2026-09-11	Muddy is explicitly listed in current US dirt-condition guidance and North American track-condition coding.
SGV-009	SURF-024	SURF	candidate	source_verified	SURF-SRC-002;USCA-SRC-007	2026-09-11	Sloppy is explicitly listed in current US dirt-condition guidance and North American track-condition coding.
SGV-010	SURF-025	SURF	candidate	source_verified	SURF-SRC-002;USCA-SRC-007	2026-09-11	Good is explicitly a US dirt-condition category; the Concept remains surface-qualified to avoid false equivalence with turf Good or JRA 良.
