definition_id	concept_id	jurisdiction	authority	discipline	effective_scope	definition_ja_summary	verification_status	source_id	note
JP2-DEF-001	RTYPE-072	Japan/NAR	NAR	Flat	current_reference	NARの「一般」は原則として3歳または4歳以上の古馬を対象とする番組上の年齢区分で、JRAの「一般競走」とは意味が異なる。	source_verified	JP2-SRC-001	Homonym handling is mandatory.
JP2-DEF-002	RTYPE-073	Japan/NAR	NAR	Flat	current_reference	地方競馬のA・B・C等の格付けは各地区が年齢・収得賞金・着順ポイント等の基準で定め、全国共通の単一基準ではない。	source_verified	JP2-SRC-001	Do not publish one nationwide threshold table as timeless truth.
JP2-DEF-003	RTYPE-074	Japan/NAR	NAR	Flat	current_reference	「組」はクラスをさらに細分化して番組を編成する区分で、表記・細分方法は地区により異なる。	source_verified	JP2-SRC-002	Regional substructure below class.
JP2-DEF-004	RTYPE-075	Japan/NAR	NAR	Flat	current_reference	準重賞は重賞体系を補う位置付けで一部主催者が実施する競走区分で、全国一律の格付け階層として扱わない。	source_verified	JP2-SRC-002	Jurisdiction/organizer scope matters.
JP2-DEF-005	RTYPE-076	Japan/NAR	NAR	Flat	current_reference	普通競走は地方競馬で重賞・準重賞・特別以外の多くを占める通常の競走区分。	source_verified	JP2-SRC-002	Separate from JRA 一般競走.
JP2-DEF-006	RTYPE-077	Japan/NAR	NAR	Flat	current_reference	地方競馬の特別競走は普通競走より高い賞金・競走水準を持つ番組区分で、JRAの特別競走と制度上の扱いを同一視しない。	source_verified	JP2-SRC-002	Same Japanese label, different programme semantics.
JP2-DEF-007	RTYPE-078	Japan/Banei	ばんえい十勝	Banei	current_2026	BG1はばんえいグレードの最高位で、BG2・BG3とともにばんえい重賞の公式格付けを構成する。	source_verified	JP2-SRC-006	BG means ばんえいグレード.
JP2-DEF-008	RTYPE-079	Japan/Banei	ばんえい十勝	Banei	current_2026	BG2はばんえいグレードの第2位区分。	source_verified	JP2-SRC-006	Current grade hierarchy.
JP2-DEF-009	RTYPE-080	Japan/Banei	ばんえい十勝	Banei	current_2026	BG3はばんえいグレードの第3位区分。	source_verified	JP2-SRC-006	Current grade hierarchy.
JP2-DEF-010	WEIGHT-031	Japan/Banei	ばんえい十勝	Banei	current_2026	ばんえい重量は馬が曳く競走用ソリの本体・積載を含む競走上の負担重量で、馬齢・収得賞金・開催回・競走条件等によって番組上決められる。	source_verified	JP2-SRC-004	Distinct from carried jockey/saddle weight.
JP2-DEF-011	EQUIP-027	Japan/Banei	ばんえい十勝	Banei	current_mechanical_reference	競走用ソリはばんえい競馬で馬が曳く鉄製のソリで、競走前に重量や状態が確認される。特定年度の空ソリ重量は定義に固定しない。	source_verified	JP2-SRC-008	Keep mutable operational values out of timeless definition.
JP2-DEF-012	VENUE-043	Japan/Banei	ばんえい十勝	Banei	current_reference	第1障害は帯広ばんえいコース前半にある最初の坂状障害で、公式ガイドでは高さ約1m。	source_verified	JP2-SRC-009	Course-feature concept.
JP2-DEF-013	VENUE-044	Japan/Banei	ばんえい十勝	Banei	current_reference	第2障害は帯広ばんえいコース後半にある高さ約1.6mの大きな坂状障害で、競走の重要な勝負所となる。	source_verified	JP2-SRC-009	Course-feature concept.
JP2-DEF-014	SURF-044	Japan/Banei	ばんえい十勝	Banei	current_reference	馬場水分は砂路の水分を割合で示すばんえい固有の重要指標で、水分が高いほど一般にソリが滑りやすく走破タイムが速くなる方向に働く。	source_verified	JP2-SRC-003	Do not map directly to JRA 良/稍重/重/不良 or foreign Going.
JP2-DEF-015	TRAIN-025	Japan/Banei	ばんえい十勝	Banei	current_2026	能力検査は新馬等が競走に必要な能力・適性を確認するために受ける公式検査。再検査等は運用上の下位形として別途管理する。	source_verified	JP2-SRC-005	Subtype labels may expand later.
JP2-DEF-016	HORSE-031	Japan/Banei	ばんえい十勝	Banei	current_reference	「ばん馬」はばんえい競馬でソリを曳いて競走する大型馬を指す競技体系上の呼称で、単一の正式品種名と断定しない。	source_verified	JP2-SRC-003	Breed evidence would be needed for narrower breed claims.
