definition_id	concept_id	jurisdiction	authority	discipline	effective_scope	definition_ja_summary	verification_status	source_id	note
USCA-DEF-001	MEET-028	US	ARCI	ALL	model_rules_v14	ARCIではOff Timeを、Official Starterの合図で発馬機の扉が開き競走馬が正式に発走した瞬間として定義する。	source_verified	USCA-SRC-001	This materially differs from treating Off Time as merely a scheduled-start label.
USCA-DEF-002	MEET-027	Canada	Standardbred Canada	Harness	current_glossary	Post Timeはレースのstarting timeを指す。	source_verified	USCA-SRC-008	Regional reader-facing definition.
USCA-DEF-003	HORSE-022	Canada	Standardbred Canada	Harness	current_glossary	Standardbred CanadaではMaidenを賞金付きレースにまだ勝っていない馬として説明し、さらに繁殖文脈では仔を産んだことのない牝馬にも同語を使う。	source_verified	USCA-SRC-008	Homonym across racing and breeding contexts; breeding sense needs separate Concept review.
USCA-DEF-004	ENTRY-029	Canada	Standardbred Canada	Harness	current_glossary	Harness glossaryではEntryを同一所有者の2頭以上が同じ競走に出走する組として説明する。	source_verified	USCA-SRC-008	Do not overwrite generic ENTRY-001 registration meaning.
USCA-DEF-005	TRAIN-015	Canada	Standardbred Canada	Harness	current_glossary	Qualifierは、pari-mutuel raceへの出走能力を示すため所定の1マイル基準タイム以内で走る必要がある競走。	source_verified	USCA-SRC-008	Jurisdiction/discipline-specific qualifier definition.
USCA-DEF-006	HORSE-006	Canada	Standardbred Canada	Harness	current_glossary	Coltは3歳以下の雄馬として説明される。	source_verified	USCA-SRC-008	Age boundary is jurisdiction/discipline evidence, not a global immutable definition.
USCA-DEF-007	HORSE-007	Canada	Standardbred Canada	Harness	current_glossary	Fillyは3歳以下の雌馬として説明される。	source_verified	USCA-SRC-008	Age boundary is jurisdiction/discipline evidence.
USCA-DEF-008	HORSE-008	Canada	Standardbred Canada	Harness	current_glossary	Mareは4歳以上の雌馬として説明される。	source_verified	USCA-SRC-008	Preserve as regional/discipline definition.
USCA-DEF-009	HORSE-009	Canada	Standardbred Canada	Harness	current_glossary	Horse (Stallion)は4歳以上の未去勢雄馬として説明される。	source_verified	USCA-SRC-008	Existing global Stallion Concept should not hard-code this age threshold worldwide.
USCA-DEF-010	RESULT-019	US	ARCI	ALL	model_rules_v14	ARCI Model RulesはNo Contestを正式な競走結果区分として扱い、2025年版でも定義更新が行われている。	source_verified	USCA-SRC-001	Exact regulatory consequences depend on adopted jurisdiction rules.
USCA-DEF-011	SURF-034	US	USTA	Harness	current_codes	USTA Track ConditionsではSlowをコードSLで表す。	source_verified	USCA-SRC-007	Machine/chart label and human-readable condition.
USCA-DEF-012	RUN-039	US	USTA	Harness	current_codes	USTA Chart CallsではBreakをXで表し、規定歩様を崩した事象として扱う。	source_verified	USCA-SRC-007	Supports harness-specific Break meaning separate from starting-gate Break.
