verification_id	concept_id	category_id	previous_status	new_status	source_ids	verified_at	note
VEV1-001	ENTRY-009	ENTRY	candidate	source_verified	VE-SRC-001	2026-09-11	BHA directly defines maximum permissible field size/safety factor and explains variation by race and course; scope narrowed from global to the supported GB/regional administration sense.
VEV1-002	ENTRY-011	ENTRY	candidate	source_verified	VE-SRC-001	2026-09-11	BHA directly uses “balloted out” for horses excluded when declarations exceed available spaces; elimination order remains race-specific.
VEV1-003	ENTRY-013	ENTRY	candidate	source_verified	VE-SRC-002	2026-09-11	Current 2026 Kentucky Oaks conditions explicitly designate also-eligible horses and define replacement by preference after a starter is scratched.
VEV1-004	ENTRY-021	ENTRY	candidate	source_verified	VE-SRC-002	2026-09-11	Current official-industry stakes conditions explicitly state an entry fee and distinguish it from nomination and starting payments; exact amounts and refunds are not generalized.
VEV1-005	ENTRY-025	ENTRY	candidate	source_verified	VE-SRC-002	2026-09-11	Current stakes conditions use preference criteria to rank starters and also-eligible horses; Concept scope narrowed to North America/regional usage.
VEV1-006	ENTRY-026	ENTRY	candidate	source_verified	VE-SRC-001	2026-09-11	BHA directly uses eliminated for horses removed when declarations exceed available spaces; scope narrowed to GB/regional usage.
VEV1-007	VENUE-013	VENUE	candidate	source_verified	VE-SRC-007	2026-09-11	JRA current facility glossary explicitly identifies the homestretch as the stand-side straight; scope expanded only to documented North America/Japan/regional usage rather than global preference.
VEV1-008	VENUE-014	VENUE	candidate	source_verified	VE-SRC-003;VE-SRC-007	2026-09-11	The Jockey Club directly defines Backstretch/Back Straight as the far-side straight and JRA independently uses バックストレッチ for the opposite straight.
VEV1-009	VENUE-026	VENUE	candidate	source_verified	VE-SRC-008;VE-SRC-009	2026-09-11	Australian and New Zealand harness rules support Mobile Barrier as the moving starting apparatus; definition keeps construction and procedure authority-specific.
VEV1-010	VENUE-028	VENUE	candidate	source_verified	VE-SRC-004	2026-09-11	The Jockey Club directly describes the Parade Ring/paddock as the pre-race horse display and jockey-joining area while distinguishing the pre-parade ring.
VEV1-011	VENUE-030	VENUE	candidate	source_verified	VE-SRC-005;VE-SRC-006	2026-09-11	The Jockey Club Winners’ Enclosure and JRA ウイナーズ・サークル independently support the post-race presentation-area concept; facility naming and eligible horses remain jurisdiction-specific.
