verification_id	concept_id	category_id	previous_status	new_status	source_ids	verified_at	note
HBRV1-001	HORSE-012	HORSE	candidate	source_verified	HBR-SRC-001	2026-09-11	JRA overseas terminology directly supports both the adult-male racing sense and generic horse sense; its local age threshold is not generalized worldwide.
HBRV1-002	HORSE-013	HORSE	candidate	source_verified	HBR-SRC-001;HBR-SRC-002	2026-09-11	JRA maps foal to 当歳馬 and IFHA Article 12 independently uses Foal and foaling details in Thoroughbred stud-book administration.
HBRV1-003	HORSE-015	HORSE	candidate	source_verified	HBR-SRC-001;HBR-SRC-006	2026-09-11	JRA maps yearling to 1歳馬 and The Jockey Club directly defines a yearling as a one-year-old horse.
HBRV1-004	BREED-007	BREED	candidate	source_verified	HBR-SRC-001	2026-09-11	JRA overseas terminology directly maps broodmare sire to 母の父; the Concept remains distinct from generic parent labels.
HBRV1-005	BREED-012	BREED	candidate	source_verified	HBR-SRC-002;HBR-SRC-004	2026-09-11	IFHA uses mating for the breeding event and JRA independently defines 種付 as mating a stallion with a broodmare; detailed eligibility rules remain system-specific.
HBRV1-006	BREED-013	BREED	candidate	source_verified	HBR-SRC-002	2026-09-11	IFHA Article 12 explicitly records date and country of foaling and Foal details, directly supporting foaling as the birth event in Thoroughbred breeding administration.
HBRV1-007	BREED-020	BREED	candidate	source_verified	HBR-SRC-003	2026-09-11	JRA directly defines インブリード／近親交配 through repeated common ancestors in the pedigree; its generation illustration is not turned into a universal threshold.
HBRV1-008	ROLE-003	ROLE	candidate	source_verified	HBR-SRC-005;HBR-SRC-006	2026-09-11	BHA maintains Conditional Jockey licensing/training and The Jockey Club directly defines the Jump-racing role; British licence and claim rules stay jurisdiction-specific.
HBRV1-009	ROLE-004	ROLE	candidate	source_verified	HBR-SRC-005	2026-09-11	BHA currently maintains distinct Amateur Rider licensing/permit categories, supporting the participant-role identity without universalizing British qualification rules.
HBRV1-010	ROLE-010	ROLE	candidate	source_verified	HBR-SRC-008	2026-09-11	JRA directly defines オーナーブリーダー as a breeder or breeding farm with owner status that races horses it bred.
HBRV1-011	ROLE-014	ROLE	candidate	source_verified	HBR-SRC-007	2026-09-11	JRA overseas terminology maps exercise rider to 攻馬手 and cross-references work rider; employment and licensing structures remain regional.
HBRV1-012	ROLE-015	ROLE	candidate	source_verified	HBR-SRC-006;HBR-SRC-007	2026-09-11	The Jockey Club directly defines Work Rider as stable staff riding horses in training on the gallops, while JRA cross-references work rider with exercise rider.
HBRV1-013	ROLE-021	ROLE	candidate	source_verified	HBR-SRC-006;HBR-SRC-010	2026-09-11	The Jockey Club and BHA directly describe the Clerk of the Scales as weighing riders/equipment before and after races and checking the carried weight.
HBRV1-014	ROLE-023	ROLE	candidate	source_verified	HBR-SRC-009	2026-09-11	JRA overseas terminology directly maps farrier to 装蹄師; certification and regulatory requirements remain jurisdiction-specific.
