legacy_id	legacy_term_en	legacy_category	source_layer	proposed_concept_key	proposed_category	decision	canonical_en_proposal	user_importance	verification_status	migration_note
thoroughbred-racing	Thoroughbred flat racing	race_type	base_static	thoroughbred-flat-racing	01_racing_types_and_competition_systems	KEEP_AS_CONCEPT	Thoroughbred flat racing	core	master_source_review_required	Keep racing type separate from Thoroughbred breed and from surface.
flat-racing	Flat racing	race_type	base_static	flat-racing	01_racing_types_and_competition_systems	KEEP_AS_CONCEPT	Flat racing	core	master_source_review_required	Keep as broad racing-system concept; do not treat as surface.
jump-racing	Jump racing	race_type	base_static	jump-racing	01_racing_types_and_competition_systems	KEEP_AS_CONCEPT	Jump racing	core	master_source_review_required	Keep as umbrella concept; subtype relations need explicit broader/narrower typing.
steeplechase	Steeplechase	race_type	base_static	steeplechase	01_racing_types_and_competition_systems	KEEP_AS_CONCEPT	Steeplechase	important	master_source_review_required	Keep as jump-racing subtype, not synonym for all jump racing.
harness-racing	Harness racing	race_type	base_static	harness-racing	01_racing_types_and_competition_systems	KEEP_AS_CONCEPT	Harness racing	core	master_source_review_required	Keep racing code distinct from trotting/pacing gait forms and Standardbred breed.
trotting	Trotting	race_type	base_static	trotting	01_racing_types_and_competition_systems	KEEP_WITH_SCOPE	Trotting	important	master_source_review_required	Retain with harness/gait context; jurisdiction-specific usage must be researched.
pacing	Pacing	race_type	base_static	pacing	01_racing_types_and_competition_systems	KEEP_WITH_SCOPE	Pacing	important	master_source_review_required	Retain with harness/gait context; jurisdiction-specific usage must be researched.
arabian-racing	Arabian racing	race_type	base_static	arabian-racing	01_racing_types_and_competition_systems	KEEP_AS_CONCEPT	Arabian racing	important	master_source_review_required	Keep racing category separate from Arabian horse breed.
quarter-horse-racing	Quarter Horse racing	race_type	base_static	quarter-horse-racing	01_racing_types_and_competition_systems	KEEP_AS_CONCEPT	Quarter Horse racing	important	master_source_review_required	Keep racing category separate from American Quarter Horse breed.
banei-racing	Banei racing	race_type	base_static	banei-racing	01_racing_types_and_competition_systems	KEEP_WITH_REGIONAL_SCOPE	Banei racing / ばんえい競馬	core	master_source_review_required	Retain as Japan-specific racing system; original Japanese label must remain first-class.
thoroughbred	Thoroughbred	breed	base_static	thoroughbred	05_horse_breeds_sex_age_attributes	KEEP_AS_CONCEPT	Thoroughbred	important	master_source_review_required	Keep breed concept separate from Thoroughbred flat racing.
arabian-horse	Arabian horse	breed	base_static	arabian-horse	05_horse_breeds_sex_age_attributes	KEEP_AS_CONCEPT	Arabian horse	important	master_source_review_required	Keep breed concept separate from Arabian racing.
american-quarter-horse	American Quarter Horse	breed	base_static	american-quarter-horse	05_horse_breeds_sex_age_attributes	KEEP_AS_CONCEPT	American Quarter Horse	important	master_source_review_required	Keep breed concept separate from Quarter Horse racing.
standardbred	Standardbred	breed	base_static	standardbred	05_horse_breeds_sex_age_attributes	KEEP_AS_CONCEPT	Standardbred	important	master_source_review_required	Keep breed concept separate from harness racing and gait forms.
draft-horse	Draft horse	horse_type	base_static	draft-horse	05_horse_breeds_sex_age_attributes	RECLASSIFY	Draft horse	important	master_source_review_required	Retain as horse type, not breed; new taxonomy category 5 must preserve subtype=horse_type.
