source_id	jurisdiction	authority	source_class	title	url	checked_at	currentness	covers	note
HBR-SRC-001	Japan/International	JRA	official_overseas_dictionary	Racehorse terminology — overseas racing English-Japanese dictionary	https://www.jra.go.jp/keiba/overseas/yougo/c10030_list.html	2026-09-11	current_reference	Horse; Foal; Yearling; Broodmare sire	JRA's overseas-racing dictionary directly maps horse to the adult-male/general horse senses, foal to 当歳馬, yearling to 1歳馬, and broodmare sire to 母父. Use the mapped racing senses without asserting one jurisdiction's age conventions universally.
HBR-SRC-002	International	IFHA	international_agreement	International Agreement on Breeding, Racing and Wagering — Article 12	https://ifhaonline.org/default.asp?AREA=2&section=IABRW	2026-09-11	current_reference_currently_hosted	Foal; Mating; Foaling	IFHA Article 12 uses Foal, mating, exact date/country of foaling and requires mating/foaling details for Thoroughbred stud-book registration. Use as Thoroughbred-system evidence rather than a universal biological rulebook.
HBR-SRC-003	Japan	JRA	official_racing_glossary	インブリード	https://www.jra.go.jp/kouza/yougo/w471.html	2026-09-11	current_reference	Inbreeding	JRA directly defines インブリード/近親交配 and its pedigree notation within Thoroughbred breeding.
HBR-SRC-004	Japan	JRA	official_racing_glossary	生産、育成関係、飼糧など — 種付	https://www.jra.go.jp/kouza/yougo/c10070_list.html	2026-09-11	current_reference	Mating / breeding act	JRA directly defines 種付 as mating a stallion with a broodmare for breeding. Use to corroborate the breeding-action sense without collapsing distinct commercial service/right terminology.
HBR-SRC-005	GB	British Horseracing Authority	official_licensing	Jockeys / licensing forms and information	https://www.britishhorseracing.com/regulation/licensing/jockeys/	2026-09-11	current_2026	Conditional jockey; Amateur rider	BHA currently maintains Conditional Jockey licence/training arrangements and Amateur Rider permits/applications. Licence, age and allowance rules remain British-specific.
HBR-SRC-006	GB	The Jockey Club	official_racing_glossary	Racing Explained — Glossary	https://www.thejockeyclub.co.uk/the-racing/racing-explained/glossary/	2026-09-11	current_reference	Conditional jockey; Clerk of the Scales; Work rider; Yearling	Current glossary directly defines Conditional Jockey, Clerk Of The Scales, Work Rider and Yearling. Use British role definitions and one-year-old label without universalizing local licensing thresholds.
HBR-SRC-007	Japan/International	JRA	official_overseas_dictionary	Exercise rider	https://www.jra.go.jp/keiba/overseas/yougo/e_list.html	2026-09-11	current_reference	Exercise rider	JRA overseas-racing dictionary maps exercise rider to 攻馬手 and cross-references work rider.
HBR-SRC-008	Japan	JRA	official_racing_glossary	競馬に関わる人々 — オーナーブリーダー	https://www.jra.go.jp/kouza/yougo/c10120_list.html	2026-09-11	current_reference	Owner-breeder	JRA directly defines オーナーブリーダー as a breeder/production farm with owner status that races horses it bred.
HBR-SRC-009	Japan/International	JRA	official_overseas_dictionary	Farrier	https://www.jra.go.jp/keiba/overseas/yougo/w101.html	2026-09-11	current_reference	Farrier	JRA directly maps farrier to 装蹄師 in overseas-racing terminology.
HBR-SRC-010	GB	British Horseracing Authority	official_raceday_faq	What is the role of the Clerk of the Scales?	https://www.britishhorseracing.com/about/faqs/	2026-09-11	current_reference	Clerk of the Scales	BHA directly describes weighing riders/equipment before and after races and checking declared colours/headgear.
