source_id	jurisdiction	authority	source_class	title	url	checked_at	currentness	covers	note
P0-SRC-045	Japan	JRA	official_glossary	血統・生産に関する用語	https://www.jra.go.jp/kouza/yougo/c10080_list.html	2026-09-10	current_reference	Thoroughbred; Pedigree; Stallion; Stud book	JRA glossary covers Thoroughbred breeding/pedigree terminology and stud-book context.
P0-SRC-046	International	IFHA	international_agreement	IABRW Article 12 — Definition of a Thoroughbred	https://www.ifhaonline.org/default.asp?area=2&section=IABRW	2026-09-10	current_reference	Thoroughbred; Stud Book; Sire; Dam	IFHA defines Thoroughbred status through approved Thoroughbred Stud Books and recorded sire/dam ancestry.
P0-SRC-047	Australia	Racing Australia	official_racebook	Current Racing Australia racebook / runner legend	https://publishingservices.racingaustralia.horse/racebooks/Mornington/	2026-09-10	current_2026	Colt; Filly; Mare; Stallion/entire; Gelding; age; Sire; Dam; Damsire	Current racebook legend and breeding details expose sex/age codes and Sire - Dam (Sire of Dam).
P0-SRC-048	Japan	JRA	official_participant_guide	競馬にかかわる人たち	https://www.jra.go.jp/owner/howto/people/	2026-09-10	current_reference	Jockey; Trainer; Owner	JRA describes the roles of jockeys, trainers and owners in horse racing.
P0-SRC-049	US	USTA	national_harness_authority	Regulatory	https://www.ustrotting.com/regulatory/	2026-09-10	current_2026	Driver; Trainer; Sulky; veterinary regulation	USTA current regulatory hub links rules, driver/trainer licensing and approved sulkies.
P0-SRC-050	Japan	JRA	official_glossary	競馬用語辞典 — 裁決委員	https://www.jra.go.jp/kouza/yougo/sa_list.html	2026-09-10	current_reference	Steward	JRA describes 裁決委員 duties for placings, objections, sanctions, safety and fairness; use as a jurisdictional counterpart, not exact title equivalence.
P0-SRC-051	US	Equibase	official_industry_database	Race Comments	https://www.equibase.com/products/cc-comments.cfm	2026-09-10	current_reference	Start; Pace; Lead; Leader; Pulled Up; Fell	Equibase standardized race comments support common running/event terminology in North American Thoroughbred charts.
P0-SRC-052	US	Equibase	official_industry_database	Pace Analysis	https://www.equibase.com/products/fastpaceanalysis.cfm	2026-09-10	current_reference	Pace; Front-runner; Closer	Equibase pace-analysis terminology supports running-style and pace concepts; scope remains North American Thoroughbred usage.
P0-SRC-053	Japan	JRA	official_glossary	競馬用語辞典 — 最終コーナー	https://www.jra.go.jp/kouza/yougo/w409.html	2026-09-10	current_reference	Final turn	JRA defines 最終コーナー in race-course progression.
P0-SRC-054	Japan	JRA	official_glossary	競馬場などの施設、設備	https://www.jra.go.jp/kouza/yougo/c10090_list.html	2026-09-10	current_reference	Finish; finish line	JRA goal-board and finish-line material supports race completion at the finishing line.
P0-SRC-055	Japan	JRA	official_overseas_guide	Emirates Racing Authority guide	https://www.jra.go.jp/keiba/overseas/website/era/	2026-09-10	current_reference	Pulled Up; Unseated Rider	JRA overseas guide maps PU to 競走中止 and UNSEATED RIDER to 落馬.
P0-SRC-056	US	USTA	national_harness_rulebook	USTA Rule Book	https://www.ustrotting.com/assets/pdf/USTARuleBook2022.pdf	2026-09-10	legacy_text_current_hub_corroboration	Breaking from gait; Veterinary examination	Technical rule text supports breaking from gait and veterinary examination; current USTA Regulatory hub establishes present regulatory context.
P0-SRC-057	Japan	JRA	official_glossary	馬具・装具に関する用語	https://www.jra.go.jp/kouza/yougo/c10040_list.html	2026-09-10	current_reference	Blinkers; Saddle	JRA equipment glossary supports blinkers and saddle concepts.
P0-SRC-058	Japan	JRA	official_glossary	調教に関する用語	https://www.jra.go.jp/kouza/yougo/c10060_list.html	2026-09-10	current_reference	Training	JRA defines 攻め馬 as horse training and provides training terminology.
P0-SRC-059	Japan	JRA	official_overseas_dictionary	workout	https://www.jra.go.jp/keiba/overseas/yougo/w356.html	2026-09-10	current_reference	Workout	JRA overseas dictionary maps workout to 追い切り.
P0-SRC-060	Australia	Racing Australia	official_operations	Abandoned and Transferred Meetings	https://www.racingaustralia.horse/FreeServices/AbandonedAndTransferredMeetings.aspx	2026-09-10	current_2026	Barrier trial; Trial	Current operations page repeatedly distinguishes barrier trials and trials as scheduled racing-industry events.
P0-SRC-061	Japan	JRA	official_owner_guide	馬主の収入	https://www.jra.go.jp/owner/howto/income/	2026-09-10	current_reference	Prize money	JRA describes race prize payments and 本賞 as the principal prize-money component.
P0-SRC-062	US	Equibase	official_industry_database	Program Help	https://www.equibase.com/newfan/pp-top.cfm	2026-09-10	current_reference	Purse	Equibase program help uses purse as the North American race-prize amount in race conditions.
P0-SRC-063	International	IFHA	international_agreement	International Agreement on Breeding, Racing and Wagering	https://www.ifhaonline.org/default.asp?area=2&section=IABRW	2026-09-10	current_reference	Horse welfare; Medication; Prohibited substance; Drug test	IFHA agreement covers welfare principles, medication controls, prohibited substances, sample analysis and laboratory findings.
