source_id	jurisdiction	authority	source_class	title	url	checked_at	currentness	covers	note
ET-SRC-001	Japan	JRA	official_racing_glossary	競馬で使用する様々な道具 一覧表示	https://www.jra.go.jp/kouza/yougo/c10040_list.html	2026-09-11	current_reference	Bit; Stirrups; Girth; Breastplate; Martingale; Shoes; Whip	JRA directly defines 馬銜, 鐙, 腹帯, 胸がい, マルタンガール, 蹄鉄 and 鞭, including functional descriptions. Use as meaning-level Japanese racing authority evidence without universalizing JRA-specific equipment rules.
ET-SRC-002	Japan/International	JRA	official_overseas_dictionary	Horse equipment — overseas racing English-Japanese dictionary	https://www.jra.go.jp/keiba/overseas/yougo/c10100_list.html	2026-09-11	current_reference	Noseband; Ear plug; Pacifier; Bit; Reins; Breastplate; Martingale; Horseshoe	JRA maps current overseas-racing equipment labels including nose band, ear plug, pacifier, bit, reins, breast plate, martingale and horseshoe to Japanese racing terms. Use for label identity; functional claims require separate evidence.
ET-SRC-003	US	Equibase	official_industry_reference	Past Performance Information — medication and equipment codes	https://www.equibase.com/newfan/page5-1.cfm	2026-09-11	current_reference	Bar Shoes; Glued Shoes; No Shoes; No Whip	Equibase lists Bar Shoes, Glued Shoes, No Shoes and No Whip as distinct equipment codes in North American past-performance information. Use as regional operational equipment terminology.
ET-SRC-004	US	United States Trotting Association	official_fan_guide	Equipped for Racing	https://fanguide.ustrotting.com/equipped-for-racing.cfm	2026-09-11	current_reference	Ear plugs; Whip; racebike/sulky	USTA directly explains ear plugs and whip use in harness racing and identifies the racebike as the sulky. Use for Harness-specific meaning rather than universal equipment rules.
ET-SRC-005	Australia	Racing Australia	official_current_gear	Current Gear / Gear Changes — 2026 fields	https://www.racingaustralia.horse/FreeFields/CurrentGear.aspx	2026-09-11	current_2026	Pacifiers; Ear Muffs; Nose Band; Bits	Current 2026 Racing Australia field/gear displays use Pacifiers, Ear Muffs, Cross-over Nose Band, Lugging Bit and related gear as operational racing equipment. Exact construction and approval rules remain jurisdiction-specific.
ET-SRC-006	Japan/International	JRA	official_overseas_dictionary	Race terminology — overseas racing English-Japanese dictionary	https://www.jra.go.jp/keiba/overseas/yougo/c10060_list.html	2026-09-11	current_reference	Schooling; Warm up	JRA maps schooling to スクーリング／事前下見 and warm up to 返し馬 in overseas-racing context. Definitions stay at that supported semantic level.
ET-SRC-007	Japan/International	JRA	official_overseas_dictionary	Gallop — overseas racing English-Japanese dictionary	https://www.jra.go.jp/keiba/overseas/yougo/w127.html	2026-09-11	current_reference	Gallop	JRA maps gallop to ギャロップ／襲歩 in the training vocabulary. Use for the training-gait label without imposing a universal workout intensity.
ET-SRC-008	US	United States Trotting Association	official_conditions_and_results	Current 2026 qualifier conditions / qualifying race cards	https://horsemen.ustrotting.com/conditions/sheet.cfm	2026-09-11	current_2026	Qualifier	Current USTA-produced condition sheets explicitly schedule QUALIFIERS and publish qualifying standards; USTA results also denote qualifying cards as Qua. Use for the North American Harness qualifying-event sense.
ET-SRC-009	US	United States Trotting Association	official_fan_guide	Racetrack Experience	https://fanguide.ustrotting.com/racetrack-experience.cfm	2026-09-11	current_reference	Warm-up; Post parade	USTA explains that horses warm up on the track between races and are introduced on the track in the post parade before the start. Use for North American Harness pre-race terminology.
ET-SRC-010	GB	The Jockey Club	official_racing_glossary	Racing Explained — Glossary	https://www.thejockeyclub.co.uk/the-racing/racing-explained/glossary/	2026-09-11	current_reference	Going to post	The Jockey Club defines Going Down as horses on their way to the start, saying they are going down to post. Use as British racing pre-start terminology.
ET-SRC-011	Australia/Victoria	Racing Victoria	official_racing_glossary	Racing 101 — Glossary of Terms	https://www.racingvictoria.com.au/racing/racing-101	2026-09-11	current_reference	Spell	Racing Victoria defines Spell as a horse having a minimum two-month (60-day) break from racing. Keep that duration attached to Victoria/Australian glossary usage rather than universalizing it.
