definition_id	concept_id	jurisdiction	authority	discipline	effective_scope	definition_ja_summary	verification_status	source_id	note
UAZA-DEF-001	RTYPE-099	UAE	ERA	Flat	current_2025_26	PRESTIGEはERAの現行racecardでMAIDEN/HANDICAP/Listed/Group等と並んで独立表示されるUAEの競走区分で、Purebred Arabian主要競走で現役使用される。	source_verified	UAZA-SRC-002	Do not assert automatic equivalence to Stakes/Listed/Group.
UAZA-DEF-002	RTYPE-007	UAE	ERA	Flat	current_2025_26	ERAのHANDICAPは0-70、0-85、75-95等のrating bandを条件として表示する。数値範囲は個別競走条件でありConcept本体へ固定しない。	source_verified	UAZA-SRC-004	Regional definition on generic Handicap.
UAZA-DEF-003	RTYPE-001	UAE	ERA	Flat	current_2025_26	ERAのMAIDENはThoroughbred/Purebred Arabian双方で現行使用され、年齢・UAE産限定等の追加条件を個別競走に持ち得る。	source_verified	UAZA-SRC-003	Rated Maiden remains a review label because field type is MAIDEN.
UAZA-DEF-004	ENTRY-009	UAE	ERA	Flat	current_2025_26	Safety LimitはERA racecardで当該競走の安全上・運用上の出走上限として表示されるフィールド。	source_verified	UAZA-SRC-005	Regional label on Maximum field family.
UAZA-DEF-005	TRAIN-012	UAE	ERA	Flat	current_reference	ERAはUnraced/Raced Purebred ArabiansおよびThoroughbreds向けのTRIALを公式番組として実施する。	source_verified	UAZA-SRC-006	Jurisdiction-specific Trial use.
UAZA-DEF-006	HORSE-002	UAE	ERA	Flat	current_reference	Purebred ArabianはERAがThoroughbredと並ぶ主要な競走馬カテゴリーとして使用する公式英語ラベル。	source_verified	UAZA-SRC-002	Arabic equivalent is not added until retrieved from the official Arabic rules/source.
UAZA-DEF-007	WEIGHT-035	South Africa	NHA	Flat	current_2026	Merit RatingはNHA Handicappersが馬の能力を数値評価する南アフリカの公式rating体系で、ハンデ重量、競走条件、Pattern race評価等に用いられる。	source_verified	UAZA-SRC-008	Current rule/context sources.
UAZA-DEF-008	RTYPE-100	South Africa	NHA/4Racing	Flat	current_2026	MR HandicapはMerit Ratingを基礎にした南アのハンデキャップ番組表現で、MR 66やMR 86の数字は個別競走のrating条件を示す。	source_verified	UAZA-SRC-013	Parameterised regional race type.
UAZA-DEF-009	RTYPE-101	South Africa	NHA	Flat	current_2026	NHA RulesのPlateは同年齢・同性の馬に同重量を割り当てる競走類型で、過去勝利による追加重量があってもPlateとして扱われる。	source_verified	UAZA-SRC-008	Formal jurisdiction definition.
UAZA-DEF-010	RTYPE-102	South Africa	NHA/4Racing	Flat	current_2026	Pinnacle Stakesは南アの現行番組で使われる上位Plate/Stakes系条件競走。具体的な出走資格・重量条件は各Racing Operator条件に依存する。	source_verified	UAZA-SRC-012	Do not infer one timeless eligibility formula.
UAZA-DEF-011	RTYPE-103	South Africa	NHA/4Racing	Flat	current_2026	Progress Plateは南アの現行番組で使われる実績条件付きPlate競走で、NHAのhandicapping運用でも独立して言及される。	source_verified	UAZA-SRC-010	Current NHA usage plus operator evidence.
UAZA-DEF-012	RTYPE-104	South Africa	4Racing	Flat	current_2026	Maiden Plateは未勝利馬を対象にPlate条件で行われる南アの現行競走区分。	source_verified	UAZA-SRC-014	Composition relates to Maiden + Plate but retains its own search/use value.
UAZA-DEF-013	RTYPE-105	South Africa	4Racing	Flat	current_2026	Graduation Plateは一定の勝利・実績段階にある馬を対象にする南アのPlate系競走。具体条件は当該番組で確認する。	source_verified	UAZA-SRC-013	Avoid freezing operator-specific eligibility.
UAZA-DEF-014	RTYPE-106	South Africa	4Racing	Flat	current_2025_26	Novice Plateは初級実績馬向けに行われる南アのPlate系競走で、2025/26シーズン番組で現役使用を確認。	source_verified	UAZA-SRC-015	Recheck with later 2026 programme before public_ready.
UAZA-DEF-015	RTYPE-008	South Africa	NHA	Flat	current_2026	NHA RulesのConditions Raceは競走条件に従って各馬の負担重量が定められる競走。	source_verified	UAZA-SRC-008	Jurisdiction definition on existing Concept.
UAZA-DEF-016	TRAIN-011	South Africa	NHA	Flat	current_2026	NHA RulesはBarrier Trialを独立したRace類型として定義し、適用されるracing programmeとRulesに従って実施する。	source_verified	UAZA-SRC-008	Regional rule definition.
