jurisdiction	authority	observed_term	mapping_target	mapping_type	verification_status	source_id	note
Germany	Deutscher Galopp	Trainer	ROLE-006	regional_official_label	source_verified	GER-SRC-002	Licensed trainer category in current Rennordnung.
Germany	Deutscher Galopp	Besitzertrainer	ROLE-011	regional_official_label	source_verified	GER-SRC-002	Distinct owner-trainer licence category.
Germany	Deutscher Galopp	Berufsrennreiter	ROLE-001	regional_official_label	source_verified	GER-SRC-002	Professional race-rider licence category.
Germany	Deutscher Galopp	Amateurrennreiter	ROLE-004	regional_official_label	source_verified	GER-SRC-002	Amateur rider licence category.
Germany	Deutscher Galopp	Besitzer	ROLE-008	regional_official_label	source_verified	GER-SRC-002	Owner term in current ownership/training provisions.
Germany	Deutscher Galopp	Starter	ROLE-017	regional_official_label	source_verified	GER-SRC-002	R4 start official with explicit operational responsibility.
Germany	Deutscher Galopp	Zielrichter	ROLE-018	regional_official_label	source_verified	GER-SRC-002	Finish judge determines order at the finish.
Germany	Deutscher Galopp	Ausgleicher	ROLE-019	regional_official_label	source_verified	GER-SRC-002	Official handicapper role.
Germany	Deutscher Galopp	Rennbahn	VENUE-001	regional_official_label	source_verified	GER-SRC-002	Official racecourse term.
Germany	Deutscher Galopp	Tierarzt	ROLE-022	regional_official_label	source_verified	GER-SRC-002	Veterinarian term in raceday rules.
Germany	Deutscher Galopp	Hufschmied	ROLE-023	regional_official_label	source_verified	GER-SRC-002	Farrier term in raceday/start requirements.
Germany	Deutscher Galopp	Startmaschine	VENUE-024	regional_official_label	source_verified	GER-SRC-002	Starting-gate equipment in R4.
