verification_id	concept_id	category_id	previous_status	new_status	source_ids	verified_at	note
BCV1-001	RTYPE-013	RTYPE	candidate	source_verified	BC-SRC-001	2026-09-11	BHA Seller definition verifies the British Selling Race mechanic; scope narrowed from GB/IRE to GB/Regional.
BCV1-002	RTYPE-025	RTYPE	candidate	source_verified	BC-SRC-003	2026-09-11	TOBA's American Graded Stakes Committee publishes the current U.S. Grade I/II/III stakes classification and separately identifies Listed stakes.
BCV1-003	RTYPE-026	RTYPE	candidate	source_verified	BC-SRC-002	2026-09-11	BHA 2026 two-year-old programme explicitly uses Open as a novice/maiden programme category; definition narrowed to GB/Regional Flat usage.
BCV1-004	RTYPE-027	RTYPE	candidate	source_verified	BC-SRC-002	2026-09-11	BHA 2026 programme explicitly publishes Restricted novice/maiden categories and banding; definition narrowed to British programme usage.
BCV1-005	SURF-007	SURF	candidate	source_verified	BC-SRC-004;BC-SRC-005	2026-09-11	Jockey Club names Tapeta among All Weather surfaces and BHA documents Southwell's switch to Tapeta.
BCV1-006	SURF-008	SURF	candidate	source_verified	BC-SRC-004	2026-09-11	Jockey Club current glossary explicitly names Polytrack as an All Weather surface type.
BCV1-007	SURF-009	SURF	candidate	source_verified	BC-SRC-004;BC-SRC-005	2026-09-11	Fibresand is verified as a British All Weather surface type with historical scope; BHA documents its replacement at Southwell by Tapeta.
BCV1-008	SURF-026	SURF	candidate	source_verified	BC-SRC-006	2026-09-11	Current 2026 Equibase chart publishes Track: Muddy (Sealed), verifying the North American operational label without generalizing maintenance technique.
BCV1-009	SURF-030	SURF	candidate	source_verified	BC-SRC-007	2026-09-11	NYRA documents a race moved from turf to dirt because of rain, supporting the North American off-turf sense.
BCV1-010	DIST-006	DIST	candidate	source_verified	BC-SRC-008	2026-09-11	JRA Racing Post guide maps y to yard and provides the metric conversion in British race-distance notation.
BCV1-011	DIST-011	DIST	candidate	source_verified	BC-SRC-008	2026-09-11	JRA Racing Post guide maps shd to short head / 短アタマ in British race results.
BCV1-012	DIST-018	DIST	candidate	source_verified	BC-SRC-009	2026-09-11	BHA racecourse instructions support the final-furlong course-stage terminology through official furlong marker requirements.
BCV1-013	DIST-022	DIST	candidate	source_verified	BC-SRC-014;P1-SRC-006	2026-09-11	JRA record-time guidance separately recognizes records for major races; Race record promoted with Japan/Regional scope.
BCV1-014	WEIGHT-012	WEIGHT	candidate	source_verified	BC-SRC-013	2026-09-11	Official Racing Australia published form uses bottom weight in race analysis; term retained with Australia/Regional scope.
BCV1-015	WEIGHT-014	WEIGHT	candidate	source_verified	BC-SRC-010	2026-09-11	Current Racing Australia programme publishes Maximum Weight as a race-condition field; scope narrowed to Australia/Regional.
BCV1-016	WEIGHT-019	WEIGHT	candidate	source_verified	BC-SRC-012	2026-09-11	BHA rules explicitly address underweight riders / horses carrying less than required weight; regulatory scope retained as British.
BCV1-017	WEIGHT-020	WEIGHT	candidate	source_verified	BC-SRC-011	2026-09-11	The Jockey Club directly defines the pre-race Weighing Out procedure.
BCV1-018	WEIGHT-021	WEIGHT	candidate	source_verified	BC-SRC-011;BC-SRC-012	2026-09-11	The Jockey Club and BHA directly support post-race Weighing In and verification of carried weight.
