concept_id	category_id	category_ja	canonical_en	preferred_ja	working_definition_ja	concept_kind	priority	jurisdiction_scope	discipline_scope	translation_status	verification_status	source_required	public_ready	notes
TRAIN-001	TRAIN	調教・競走前後	Training	調教	競走に向けて馬の体力・技術等を整える活動。	concept	P0	GLOBAL	ALL	working_equivalent	source_verified	yes	no	P0-SRC-058. JRA glossary defines 攻め馬 as horse training and provides racing-training terminology.
TRAIN-002	TRAIN	調教・競走前後	Workout	ワークアウト／追い切り	主に北米で公式計時されることもある調教走行。	concept	P0	North America/Global	Flat	working_equivalent	source_verified	yes	no	P0-SRC-059. JRA overseas dictionary maps Workout to 追い切り in racing context; detailed workout conventions remain jurisdiction-specific.
TRAIN-003	TRAIN	調教・競走前後	Breeze	ブリーズ	北米の調教・ワークアウト文脈で使われるbreeze／breezingという調教走行・記録区分。具体的な強度区分や記録方法は競馬場・データ提供者により異なる。	concept	P1	North America/Regional	Flat	working_equivalent	source_verified	yes	no	TR6-SRC-003;TR6-SRC-004. Current NYRA track rules regulate horses working or breezing, and NYRA past-performance guidance uses b = breezing in morning-workout notation; exact effort classification is not generalized.
TRAIN-004	TRAIN	調教・競走前後	Breezing	ブリージング	海外競馬の調教・調教時計で用いられる表現。JRA海外競馬英和辞典では「馬なり」と対応づけられる。	concept	P2	North America/Regional	Flat	working_equivalent	source_verified	yes	no	P1-SRC-033. JRA maps breezing to 馬なり in its overseas racing dictionary. Exact workout-code and effort semantics vary by jurisdiction, so the definition does not universalize one clocking convention.
TRAIN-005	TRAIN	調教・競走前後	Handily	ハンデリー	海外競馬の調教・調教時計で用いられる表現。JRA海外競馬英和辞典では「強めの調教」と対応づけられる。	concept	P2	North America/Regional	Flat	working_equivalent	source_verified	yes	no	P1-SRC-033. JRA maps handily to 強めの調教. Exact North American clocking conventions remain jurisdiction-specific.
TRAIN-006	TRAIN	調教・競走前後	Gallop	ギャロップ調教	調教文脈でギャロップ／襲歩の歩様で走らせることを指す表現。速度・負荷区分は地域や調教体系で異なる。	concept	P1	International/Regional	ALL	working_equivalent	source_verified	yes	no	ET-SRC-007 maps gallop to ギャロップ／襲歩 in JRA's overseas-racing training vocabulary; no universal workout-intensity threshold is asserted.
TRAIN-007	TRAIN	調教・競走前後	Canter	キャンター	調教で用いられるキャンター／駈歩の歩様・走行表現。	concept	P1	GLOBAL	ALL	working_equivalent	source_verified	yes	no	P1-SRC-033. JRA's overseas racing dictionary explicitly maps canter to キャンター／駈歩 in the training category; pace boundaries and training prescriptions are not asserted globally.
TRAIN-008	TRAIN	調教・競走前後	Trackwork	トラックワーク	競馬場や調教場の走路で行う競走馬の調教を指す語。特に豪州で制度的に用いられる。	concept	P1	Australia/Regional	Flat	working_equivalent	source_verified	yes	no	P1-SRC-025. Racing Victoria currently licenses Trackwork Riders and distinguishes Slow Work, Fast Work and Jump Outs; scope narrowed from AUS/NZ/Asia to evidence-backed Australia/Regional.
TRAIN-009	TRAIN	調教・競走前後	Schooling	スクーリング／事前下見	海外競馬でSchoolingとして表される、競走前のスクーリング・事前下見等の準備行為。具体的な対象や手順は管轄で異なる。	concept	P1	International/Regional	ALL	working_equivalent	source_verified	yes	no	ET-SRC-006 directly maps schooling to スクーリング／事前下見 in JRA's overseas racing dictionary. The seed's broader list of obstacle/gate/paddock training is not asserted as one universal definition.
TRAIN-010	TRAIN	調教・競走前後	Gate schooling	ゲート練習	発馬機への進入・待機・発走動作に慣らすゲート練習。Starter's List解除等の目的で行われる場合があり、要件は競馬場・管轄で異なる。	concept	P1	North America/NYRA/Regional	Flat	working_equivalent	source_verified	yes	no	TR6-SRC-003. Current NYRA Condition Book Rules contain a Gate Schooling section and require trainer/representative presence when schooling to remove a horse from the Starter's List.
