query_id	concept_id	related_concept_id	query	language	country_or_locale	search_intent	query_type	priority	future_target	review_state	source_basis
SQ-2001	BET-001		what is Odds in horse racing	en	global/en	definition	direct_definition	P0	concept_page	wave2_template_reviewed	active_source_verified_p0_concept
SQ-2002	BET-001		競馬の「オッズ」とは	ja	ja-JP	definition	direct_definition	P0	concept_page	wave2_template_reviewed	active_source_verified_p0_concept
SQ-2003	BET-002		what is Fixed odds in horse racing	en	global/en	definition	direct_definition	P0	concept_page	wave2_template_reviewed	active_source_verified_p0_concept
SQ-2004	BET-002		競馬の「固定オッズ」とは	ja	ja-JP	definition	direct_definition	P0	concept_page	wave2_template_reviewed	active_source_verified_p0_concept
SQ-2005	BET-003		what is Pari-mutuel in horse racing	en	global/en	definition	direct_definition	P0	concept_page	wave2_template_reviewed	active_source_verified_p0_concept
SQ-2006	BET-003		競馬の「パリミュチュエル方式」とは	ja	ja-JP	definition	direct_definition	P0	concept_page	wave2_template_reviewed	active_source_verified_p0_concept
SQ-2007	BET-004		what is Tote in horse racing	en	global/en	definition	direct_definition	P0	concept_page	wave2_template_reviewed	active_source_verified_p0_concept
SQ-2008	BET-004		競馬の「トート」とは	ja	ja-JP	definition	direct_definition	P0	concept_page	wave2_template_reviewed	active_source_verified_p0_concept
SQ-2009	BET-009		what is Payout in horse racing	en	global/en	definition	direct_definition	P0	concept_page	wave2_template_reviewed	active_source_verified_p0_concept
SQ-2010	BET-009		競馬の「払戻金」とは	ja	ja-JP	definition	direct_definition	P0	concept_page	wave2_template_reviewed	active_source_verified_p0_concept
SQ-2011	BET-010		what is Win bet in horse racing	en	global/en	definition	direct_definition	P0	concept_page	wave2_template_reviewed	active_source_verified_p0_concept
SQ-2012	BET-010		競馬の「単勝」とは	ja	ja-JP	definition	direct_definition	P0	concept_page	wave2_template_reviewed	active_source_verified_p0_concept
SQ-2013	BET-011		what is Place bet in horse racing	en	global/en	definition	direct_definition	P0	concept_page	wave2_template_reviewed	active_source_verified_p0_concept
SQ-2014	BET-011		競馬の「複勝／Place」とは	ja	ja-JP	definition	direct_definition	P0	concept_page	wave2_template_reviewed	active_source_verified_p0_concept
SQ-2015	BET-027		what is Starting Price in horse racing	en	global/en	definition	direct_definition	P0	concept_page	wave2_template_reviewed	active_source_verified_p0_concept
SQ-2016	BET-027		競馬の「SP／最終オッズ」とは	ja	ja-JP	definition	direct_definition	P0	concept_page	wave2_template_reviewed	active_source_verified_p0_concept
SQ-2017	BET-030		what is Favorite in horse racing	en	global/en	definition	direct_definition	P0	concept_page	wave2_template_reviewed	active_source_verified_p0_concept
SQ-2018	BET-030		競馬の「1番人気」とは	ja	ja-JP	definition	direct_definition	P0	concept_page	wave2_template_reviewed	active_source_verified_p0_concept
SQ-2019	EQUIP-001		what is Blinkers in horse racing	en	global/en	definition	direct_definition	P0	concept_page	wave2_template_reviewed	active_source_verified_p0_concept
SQ-2020	EQUIP-001		競馬の「ブリンカー」とは	ja	ja-JP	definition	direct_definition	P0	concept_page	wave2_template_reviewed	active_source_verified_p0_concept
SQ-2021	EQUIP-011		what is Saddle in horse racing	en	global/en	definition	direct_definition	P0	concept_page	wave2_template_reviewed	active_source_verified_p0_concept
SQ-2022	EQUIP-011		競馬の「鞍」とは	ja	ja-JP	definition	direct_definition	P0	concept_page	wave2_template_reviewed	active_source_verified_p0_concept
SQ-2023	EQUIP-023		what is Sulky in horse racing	en	global/en	definition	direct_definition	P0	concept_page	wave2_template_reviewed	active_source_verified_p0_concept
SQ-2024	EQUIP-023		競馬の「サルキー」とは	ja	ja-JP	definition	direct_definition	P0	concept_page	wave2_template_reviewed	active_source_verified_p0_concept
