source_id	jurisdiction	authority	source_class	title	url	checked_at	currentness	covers	note
FR-SRC-001	France	France Galop	official_lexicon	Lexique	https://www.france-galop.com/fr/comprendre-les-courses/lexique	2026-09-10	current_reference	Pénétromètre; Poids; Valeur; Premium; PSF; AQPS; Agent de jockey; Décharge; Surcharge; œillères australiennes; mise à pied	Primary France Galop user-facing terminology source.
FR-SRC-002	France	France Galop	official_explainer	Lire le programme	https://www.france-galop.com/fr/comprendre-les-courses/lire-le-programme	2026-09-10	current_reference	Groupes; Listed; Handicap; courses à réclamer; inédits; maidens; courses à conditions; œillères	Primary programme-reading terminology source.
FR-SRC-003	France	France Galop	official_code_index	Code des Courses & Conditions Générales	https://www.france-galop.com/fr/content/code-des-courses-conditions-generales	2026-09-10	current_2026	Code des Courses au Galop effective 2026-09-01; Conditions générales effective 2026-03-01	Use as currentness anchor; exact article text should be cited separately when extracted.
FR-SRC-004	France	France Galop	official_racecourse_spec	Cahier des charges hippodromes Premium 2026 — état du terrain	https://www.france-galop.com/sites/default/files/2026-01/2026-cahier_des_charges_hippodromes_premium_0.pdf	2026-09-10	current_2026	French penetrometer scale; Très léger through Très lourd; PSF Lent/Standard/Rapide/Très rapide	Primary current 2026 source for French turf and PSF condition scales.
FR-SRC-005	France	France Galop	official_change_notice	Principales modifications pour 2026 aux conditions générales	https://www.france-galop.com/fr/content/principales-modifications-pour-2026-aux-conditions-generales-de-france-galop	2026-09-10	current_2026	PMH; handicap divisé; poids pour âge obstacle	Confirms 2026 operational terminology and changes.
FR-SRC-006	France	France Galop	official_programme_index	Programme des courses & Agenda	https://www.france-galop.com/fr/content/programme-des-courses-agenda	2026-09-10	current_2026	Programme National; Premium; PMH; Plat; Obstacle; Groupes; Listed	Current programme index.
FR-SRC-007	France	France Galop	official_programme	Programme obstacle juin-août 2026	https://www.france-galop.com/sites/default/files/2026-04/obstacles_juin_aout_2026_v7.pdf	2026-09-10	current_2026	Handicap divisé; première/deuxième épreuve; à réclamer; dotation France Galop; allocation	Operational race-program evidence.
FR-SRC-008	France	France Galop	official_programme	Programme plat mai-juin 2026	https://www.france-galop.com/sites/default/files/2026-03/plat_2026_mai_juin_v4.pdf	2026-09-10	current_2026	À réclamer; poids by claiming price; allocation	Operational flat-racing evidence.
FR-SRC-009	France	France Galop	official_results_bulletin	Bulletin officiel Plat janvier 2026	https://www.france-galop.com/sites/default/files/2026-02/26plat01.pdf	2026-09-10	current_2026	Handicap de catégorie; handicap divisé; PSF; valeur; n° corde	Current race/result examples for programme terms.
FR-SRC-010	France	France Galop	official_current_notice	Publication des modifications au Code des Courses au Galop	https://www.france-galop.com/fr/content/publication-des-modifications-au-code-des-courses-au-galop	2026-09-10	current_2026	2026-09-01 Code amendments; courses-espoirs; poids; jockey rules	Freshness evidence for current Code version.
