verification_id	concept_id	category_id	previous_status	new_status	source_ids	verified_at	note
RTV3-001	RUN-003	RUN	candidate	candidate		2026-09-11	Retained unresolved because generic Jump conflates start-event, obstacle-jump and ordinary jumping senses; do not promote unchanged.
RTV3-002	RUN-005	RUN	candidate	retired_merge	RUN-SRC-007;P0-SRC-052	2026-09-11	Tempo denotes the pace/flow dimension already modeled by RUN-004 Pace; preserve as a moved label rather than duplicate Concept.
RTV3-003	RUN-013	RUN	candidate	candidate		2026-09-11	Retained unresolved pending a sufficiently strong current authority definition of Hold-up horse as a stable canonical running-style term.
RTV3-004	RUN-014	RUN	candidate	source_verified	RUN-SRC-007	2026-09-11	Current Racing Australia racebook material uses Midfield/mid-field as an operational position band; scope narrowed to AUS/NZ/Regional Flat.
RTV3-005	RUN-022	RUN	candidate	source_verified	RUN-SRC-007	2026-09-11	Current Racing Australia material repeatedly uses home turn for the bend leading into the home straight.
RTV3-006	RUN-023	RUN	candidate	source_verified	RUN-SRC-001	2026-09-11	Equibase standardized comments repeatedly use stretch run for the finishing-stretch phase in North American Flat racing.
RTV3-007	RUN-024	RUN	candidate	source_verified	RUN-SRC-009	2026-09-11	Current IHRB stewards material uses run in after the final hurdle; definition is bounded to GB/IRE Jump usage.
RTV3-008	RUN-027	RUN	candidate	retired_merge	RUN-SRC-001;RUN-SRC-002	2026-09-11	Kick/closing kick denotes late acceleration already modeled by RUN-026 Turn of foot; preserve as label rather than duplicate Concept.
RTV3-009	RUN-030	RUN	candidate	source_verified	RUN-SRC-007;RUN-SRC-001	2026-09-11	Racing Australia uses carried wider/outwards and Equibase defines related forced-wide/carried-out semantics; scope narrowed to regional Flat usage.
RTV3-010	RUN-035	RUN	candidate	source_verified	RUN-SRC-008	2026-09-11	The Jockey Club current form guide identifies R as Refused in jump racing; model the regulated non-completion event rather than generic English usage.
RTV3-011	RUN-036	RUN	candidate	source_verified	RUN-SRC-009	2026-09-11	Current IHRB report explicitly records a horse that ran out by taking the wrong side of a wing and consequently the wrong course.
RTV3-012	RUN-040	RUN	candidate	source_verified	RUN-SRC-010	2026-09-11	UET current agreement treats gallop during a trotting race as a break from the required trotting gait; scope limited to Harness/Trot context.
RTV3-013	RUN-041	RUN	candidate	source_verified	RUN-SRC-010	2026-09-11	UET current agreement specifies disqualification conditions for gallop/pace or irregular gait, supporting the separate decision outcome.
