jurisdiction	authority	observed_term	mapping_target	mapping_type	verification_status	source_id	note
Brazil	MAPA / Jockey Club Brasileiro	Árbitro de Partida	ROLE-017	regional_official_label	source_verified	BR-SRC-004	Official Starter role; function explicitly defined.
Brazil	MAPA / Jockey Club Brasileiro	Cavalariço	ROLE-012	regional_official_label	source_verified	BR-SRC-004	Official horse-care professional term.
Brazil	MAPA / Jockey Club Brasileiro	Criador	ROLE-009	regional_definition	source_verified	BR-SRC-004	Breeder criterion is tied to ownership of the dam at birth under the genealogical register.
Brazil	MAPA / Jockey Club Brasileiro	Hipódromo	VENUE-001	regional_official_label	source_verified	BR-SRC-004	Official Racecourse label.
Brazil	MAPA / Jockey Club Brasileiro	Inscrição	ENTRY-001	regional_definition	source_verified	BR-SRC-004	Official race-entry procedure term.
Brazil	MAPA / Jockey Club Brasileiro	Jóquei	ROLE-001	regional_official_label	source_verified	BR-SRC-004	Official Jockey label.
Brazil	MAPA / Jockey Club Brasileiro	Jóquei Aprendiz	ROLE-002	regional_official_label	source_verified	BR-SRC-004	Official Apprentice jockey label with Brazil-specific authorization conditions.
Brazil	MAPA / Jockey Club Brasileiro	Médico Veterinário	ROLE-022	regional_official_label	source_verified	BR-SRC-004	Official Veterinarian professional term.
Brazil	MAPA / Jockey Club Brasileiro	Partidor	VENUE-024	regional_official_label	source_verified	BR-SRC-004	Official rule explicitly identifies Partidor as Starting Gate equipment.
Brazil	MAPA / Jockey Club Brasileiro	Páreos a reclamar ou de claiming	RTYPE-011	regional_definition	source_verified	BR-SRC-004	Brazilian claiming-race rule; local acquisition procedure preserved.
Brazil	MAPA / Jockey Club Brasileiro	Proprietário	ROLE-008	regional_official_label	source_verified	BR-SRC-004	Official Owner label.
Brazil	MAPA / Jockey Club Brasileiro	Treinador	ROLE-006	regional_official_label	source_verified	BR-SRC-004	Official Trainer label.
