source_id	jurisdiction	authority	source_class	title	url	checked_at	currentness	covers	note
JP-SRC-001	Japan/JRA	JRA	official_rules_explainer	レースのクラス分け	https://www.jra.go.jp/keiba/rules/class.html	2026-09-10	current_reference	新馬・未勝利; 1勝/2勝/3勝クラス; オープン特別; リステッド; GⅠ/GⅡ/GⅢ; 収得賞金	Current JRA user-facing rules explanation; records 2019/2021 terminology transition.
JP-SRC-002	Japan/JRA	JRA	official_glossary	レースの種類、条件など — 競馬用語辞典	https://www.jra.go.jp/kouza/yougo/c10020_list.html	2026-09-10	current_reference	一般競走; オープン競走; 重賞競走; 条件レース; 特別競走; 定量; 特別登録; ステークス	JRA official glossary definitions; preserve Japanese terminology as primary labels.
JP-SRC-003	Japan/JRA	JRA	official_track_explainer	馬場状態に関する基礎知識	https://www.jra.go.jp/keiba/baba/condition/	2026-09-10	current_reference	良; 稍重; 重; 不良; turf/dirt condition criteria	JRA defines its own four-stage condition system for both turf and dirt.
JP-SRC-004	Japan/JRA	JRA	official_track_explainer	馬場状態およびクッション値に関する情報	https://www.jra.go.jp/keiba/baba/kaisetsu/	2026-09-10	current_reference	馬場状態; 含水率; クッション値	Measurement/interpretation source for Japan-specific surface information.
JP-SRC-005	Japan/JRA	JRA	official_rules_explainer	負担重量	https://www.jra.go.jp/keiba/rules/weight.html	2026-09-10	current_reference	負担重量; 馬齢重量; 別定; 定量; ハンデキャップ	JRA weight-system semantics differ from AU/GB labels and must remain jurisdiction definitions.
JP-SRC-006	Japan/JRA	JRA	official_glossary	厩舎ことば — 競馬用語辞典	https://www.jra.go.jp/kouza/yougo/c10140_list.html	2026-09-10	current_reference	斤量; カンパイ; ガレる; 口取り	Official glossary explicitly marks racing/stable colloquial vocabulary.
JP-SRC-007	Japan/JRA	JRA	official_glossary	「み」からはじまる用語 — 競馬用語辞典	https://www.jra.go.jp/kouza/yougo/mi_list.html	2026-09-10	current_reference	道悪; 見習騎手	JRA official stable-language definition for 道悪.
JP-SRC-008	Japan/JRA	JRA	official_glossary	「し」からはじまる用語 — 競馬用語辞典	https://www.jra.go.jp/kouza/yougo/si_list.html	2026-09-10	current_reference	新馬; 新馬戦	Current JRA glossary.
JP-SRC-009	Japan/JRA	JRA	official_glossary	「め」からはじまる用語 — 競馬用語辞典	https://www.jra.go.jp/kouza/yougo/me_list.html	2026-09-10	current_reference	メイクデビュー	Official nickname/label for JRA newcomer races since 2008.
JP-SRC-010	Japan/JRA	JRA	official_glossary	収得賞金 — 競馬用語辞典	https://www.jra.go.jp/kouza/yougo/w541.html	2026-09-10	current_reference	収得賞金; class calculation	Distinct from purse/prize money and important for JRA class eligibility.
JP-SRC-011	Japan/JRA	JRA	official_glossary	出走馬決定賞金 — 競馬用語辞典	https://www.jra.go.jp/kouza/yougo/w553.html	2026-09-10	current_reference	出走馬決定賞金; field selection	Separate selection metric from 収得賞金.
JP-SRC-012	Japan/NAR	NAR	official_faq	地方競馬情報サイト FAQ — 交流競走	https://www.keiba.go.jp/qa.html	2026-09-10	current_reference	交流競走; ダートグレード競走; JRA/地方交流	Official NAR explanation and historical grading context.
JP-SRC-013	Japan/NAR	NAR/JRA	official_current_programme	ダートグレード競走特設サイト 2026	https://www.keiba.go.jp/dirtgraderace/	2026-09-10	current_2026	JpnI; JpnII; JpnIII; current dirt graded programme	Current cross-JRA/NAR race programme evidence.
JP-SRC-014	Japan/JRA	JRA	official_overseas_mapping	アメリカ競馬のルール — 馬場状態	https://www.jra.go.jp/keiba/overseas/country/america/rule.html	2026-09-10	current_reference	foreign track-condition labels mapped into JRA 4-stage display	Evidence that JRA publishes translations/conversions, not exact global equivalence.
JP-SRC-015	Japan/JRA	JRA	official_overseas_mapping	オーストラリア競馬のルール — 馬場状態	https://www.jra.go.jp/keiba/overseas/country/australia/rule.html	2026-09-10	current_reference	Firm/Good/Soft/Heavy numeric Australian ratings mapped to JRA conditions	Useful cross-jurisdiction equivalence warning.
