definition_id	concept_id	jurisdiction	authority	discipline	effective_scope	definition_ja_summary	verification_status	source_id	note
AUNZ-DEF-001	RTYPE-054	Victoria	Racing Victoria	Flat	current_reference	Benchmark Raceは上限・下限の出走資格制限を置かないrating-based Handicapで、競走Benchmarkを超えるRating 1ポイントごとに0.5kgずつ重量が増える。	source_verified	AUNZ-SRC-002	Victorian authority definition; weight implementation can vary by PRA/race conditions.
AUNZ-DEF-002	RTYPE-055	Victoria	Racing Victoria	Flat	current_reference	Rating Raceはnominations締切時の馬のRatingによって出走資格を決める競走。	source_verified	AUNZ-SRC-002	Distinct from Benchmark Race in eligibility structure.
AUNZ-DEF-003	WEIGHT-022	Victoria	Racing Victoria	Flat	current_reference	RatingはVictorian Handicapping Panelが馬の競走履歴全体を数値化した能力評価で、競走後に更新される。	source_verified	AUNZ-SRC-002	Regional authority definition of existing Rating Concept.
AUNZ-DEF-004	WEIGHT-023	Victoria	Racing Victoria	Flat	current_reference	Rating Bandは馬のRatingと定期的に組まれるRating Raceの類型に基づく区分。	source_verified	AUNZ-SRC-002	Regional definition of existing Rating Band Concept.
AUNZ-DEF-005	WEIGHT-027	Victoria	Racing Victoria	Flat	current_reference	True Weightはadvertised minimum weightによる切上げとは別に、Rating差から算出される馬本来の重量としてHandicapping説明で使われる。	source_verified	AUNZ-SRC-002	Do not confuse with final allocated/carried weight.
AUNZ-DEF-006	ENTRY-031	Australia	Racing Australia	Flat	Rules_as_at_2026-08-01	AR 58では、scratching deadline後からfinal list of scratchings公表前までに馬がscratchedされた場合、Stewardsがnext available emergency acceptorをFieldへ入れる裁量を持つ。	source_verified	AUNZ-SRC-001	National rule; local PRA procedures may add detail.
AUNZ-DEF-007	ENTRY-030	Australia	Racing Australia	Flat	Rules_as_at_2026-08-01	AR 198では各馬はbarrier drawで決められたallocated barrierから発走することを要求される。	source_verified	AUNZ-SRC-001	Supports Barrier as Australian regional label/counterpart to Post Position.
AUNZ-DEF-008	SURF-035	Australia	Racing Victoria	Flat	current_reference	豪州芝Track Ratingは1から10の尺度で、Firm 1/2、Good 3/4、Soft 5/6/7、Heavy 8/9/10に区分される。Syntheticは同じ尺度に分類されない。	source_verified	AUNZ-SRC-003	Store numeric forms as regional labels/qualified conditions rather than ten unrelated global Concepts.
AUNZ-DEF-009	RTYPE-056	Australia	Racing Australia	Flat	2026_operational	2026年のRacing Australia番組ではMaiden PlateがMaiden・Set Weights条件として運用されている。	source_verified	AUNZ-SRC-005	Operational definition; local race conditions remain authoritative for eligibility/weights.
AUNZ-DEF-010	HORSE-022	New Zealand	NZTR	Flat/Jump	Rules_effective_2026-04-06	NZTRではMaidenをFlat/Hurdle/Steeplechaseごとに、その種別のRaceをまだ勝っていない馬として別々に定義する。	source_verified	AUNZ-SRC-008	A horse can therefore have discipline-specific maiden status.
AUNZ-DEF-011	RTYPE-001	New Zealand	NZTR	Flat/Jump	Rules_effective_2026-04-06	Maiden Raceは対象となるFlat/Hurdle/Steeplechase種別でMaidenだけが出走できるRace。	source_verified	AUNZ-SRC-008	Current NZTR rule definition.
