label_id	concept_id	language	locale	script	label	label_type	jurisdiction	authority	discipline	register	currentness	verification_status	source_id	note
JP2-LBL-001	RTYPE-072	ja	ja-JP	Jpan	一般	official	Japan/NAR	NAR	Flat	formal	current	source_verified	JP2-SRC-001	NAR age/programme category; homonym with JRA 一般競走.
JP2-LBL-002	RTYPE-073	ja	ja-JP	Jpan	格付け	official	Japan/NAR	NAR	Flat	formal	current	source_verified	JP2-SRC-001	District-specific A/B/C class assignment concept.
JP2-LBL-003	RTYPE-074	ja	ja-JP	Jpan	組	official	Japan/NAR	NAR	Flat	formal	current	source_verified	JP2-SRC-002	Subdivision below class; notation differs by district.
JP2-LBL-004	RTYPE-075	ja	ja-JP	Jpan	準重賞	official	Japan/NAR	NAR	Flat	formal	current	source_verified	JP2-SRC-002	NAR race-category label.
JP2-LBL-005	RTYPE-076	ja	ja-JP	Jpan	普通競走	official	Japan/NAR	NAR	Flat	formal	current	source_verified	JP2-SRC-002	NAR ordinary-race category.
JP2-LBL-006	RTYPE-077	ja	ja-JP	Jpan	特別競走	official	Japan/NAR	NAR	Flat	formal	current	source_verified	JP2-SRC-002	NAR programme category; do not collapse into JRA 特別競走.
JP2-LBL-007	RTYPE-078	ja	ja-JP	Latn	BG1	official_grade_code	Japan/Banei	ばんえい十勝	Banei	formal	current	source_verified	JP2-SRC-006	Highest Banei Grade.
JP2-LBL-008	RTYPE-079	ja	ja-JP	Latn	BG2	official_grade_code	Japan/Banei	ばんえい十勝	Banei	formal	current	source_verified	JP2-SRC-006	Banei Grade 2.
JP2-LBL-009	RTYPE-080	ja	ja-JP	Latn	BG3	official_grade_code	Japan/Banei	ばんえい十勝	Banei	formal	current	source_verified	JP2-SRC-006	Banei Grade 3.
JP2-LBL-010	RTYPE-078	ja	ja-JP	Jpan	ばんえいグレード1	expanded_label	Japan/Banei	ばんえい十勝	Banei	formal	current	source_verified	JP2-SRC-006	Expanded reader-facing label for BG1.
JP2-LBL-011	WEIGHT-031	ja	ja-JP	Jpan	ばんえい重量	official	Japan/Banei	ばんえい十勝	Banei	formal	current	source_verified	JP2-SRC-004	Programme terminology for sled-based race weight.
JP2-LBL-012	WEIGHT-031	ja	ja-JP	Jpan	規定重量	regional_subtype	Japan/Banei	ばんえい十勝	Banei	formal	current	source_verified	JP2-SRC-004	Subtype/parameter within Banei weight programme.
JP2-LBL-013	WEIGHT-031	ja	ja-JP	Jpan	別定重量	regional_subtype	Japan/Banei	ばんえい十勝	Banei	formal	current	source_verified	JP2-SRC-004	Subtype/parameter within Banei weight programme.
JP2-LBL-014	EQUIP-027	ja	ja-JP	Jpan	競走用ソリ	official	Japan/Banei	ばんえい十勝	Banei	formal	current	source_verified	JP2-SRC-008	Official operational wording.
JP2-LBL-015	EQUIP-027	ja	ja-JP	Jpan	鉄ソリ	alternate	Japan/Banei	ばんえい十勝	Banei	general	current	source_verified	JP2-SRC-003	Visitor-guide wording.
JP2-LBL-016	VENUE-043	ja	ja-JP	Jpan	第1障害	official	Japan/Banei	ばんえい十勝	Banei	formal	current	source_verified	JP2-SRC-009	First hill obstacle.
JP2-LBL-017	VENUE-044	ja	ja-JP	Jpan	第2障害	official	Japan/Banei	ばんえい十勝	Banei	formal	current	source_verified	JP2-SRC-009	Second and larger hill obstacle.
JP2-LBL-018	SURF-044	ja	ja-JP	Jpan	馬場水分	official	Japan/Banei	ばんえい十勝	Banei	formal	current	source_verified	JP2-SRC-003	Displayed as a percentage and materially affects sled resistance and times.
JP2-LBL-019	TRAIN-025	ja	ja-JP	Jpan	能力検査	official	Japan/Banei	ばんえい十勝	Banei	formal	current	source_verified	JP2-SRC-005	Official inspection term.
JP2-LBL-020	TRAIN-025	ja	ja-JP	Jpan	能力調教再検査	regional_subtype	Japan/Banei	ばんえい十勝	Banei	formal	current	source_verified	JP2-SRC-005	Reinspection form; retained as subtype/label pending need for separate Concept.
JP2-LBL-021	HORSE-031	ja	ja-JP	Jpan	ばん馬	regional	Japan/Banei	ばんえい十勝	Banei	general	current	source_verified	JP2-SRC-003	Banei system term; not asserted as one formal breed.
