query_id	concept_id	related_concept_id	query	language	country_or_locale	search_intent	query_type	priority	future_target	review_state	source_basis
SQ-9101	ROLE-017		What does Árbitro de Partida mean in Brazilian horse racing?	en	pt-BR	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	BR-LBL-001
SQ-9102	ROLE-017		ブラジル競馬の「Árbitro de Partida」は日本語・英語でどう説明する？	ja	ja-JP	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	BR-LBL-001
SQ-9103	ROLE-012		What does Cavalariço mean in Brazilian horse racing?	en	pt-BR	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	BR-LBL-002
SQ-9104	ROLE-012		ブラジル競馬の「Cavalariço」は日本語・英語でどう説明する？	ja	ja-JP	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	BR-LBL-002
SQ-9105	ROLE-009		What does Criador mean in Brazilian horse racing?	en	pt-BR	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	BR-LBL-003
SQ-9106	ROLE-009		ブラジル競馬の「Criador」は日本語・英語でどう説明する？	ja	ja-JP	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	BR-LBL-003
SQ-9107	VENUE-001		What does Hipódromo mean in Brazilian horse racing?	en	pt-BR	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	BR-LBL-004
SQ-9108	VENUE-001		ブラジル競馬の「Hipódromo」は日本語・英語でどう説明する？	ja	ja-JP	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	BR-LBL-004
SQ-9109	ENTRY-001		What does Inscrição mean in Brazilian horse racing?	en	pt-BR	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	BR-LBL-005
SQ-9110	ENTRY-001		ブラジル競馬の「Inscrição」は日本語・英語でどう説明する？	ja	ja-JP	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	BR-LBL-005
SQ-9111	ROLE-001		What does Jóquei mean in Brazilian horse racing?	en	pt-BR	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	BR-LBL-006
SQ-9112	ROLE-001		ブラジル競馬の「Jóquei」は日本語・英語でどう説明する？	ja	ja-JP	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	BR-LBL-006
SQ-9113	ROLE-002		What does Jóquei Aprendiz mean in Brazilian horse racing?	en	pt-BR	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	BR-LBL-007
SQ-9114	ROLE-002		ブラジル競馬の「Jóquei Aprendiz」は日本語・英語でどう説明する？	ja	ja-JP	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	BR-LBL-007
SQ-9115	ROLE-022		What does Médico Veterinário mean in Brazilian horse racing?	en	pt-BR	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	BR-LBL-008
SQ-9116	ROLE-022		ブラジル競馬の「Médico Veterinário」は日本語・英語でどう説明する？	ja	ja-JP	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	BR-LBL-008
SQ-9117	VENUE-024		What does Partidor mean in Brazilian horse racing?	en	pt-BR	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	BR-LBL-009
SQ-9118	VENUE-024		ブラジル競馬の「Partidor」は日本語・英語でどう説明する？	ja	ja-JP	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	BR-LBL-009
SQ-9119	RTYPE-011		What does Páreos a reclamar ou de claiming mean in Brazilian horse racing?	en	pt-BR	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	BR-LBL-010
SQ-9120	RTYPE-011		ブラジル競馬の「Páreos a reclamar ou de claiming」は日本語・英語でどう説明する？	ja	ja-JP	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	BR-LBL-010
SQ-9121	ROLE-008		What does Proprietário mean in Brazilian horse racing?	en	pt-BR	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	BR-LBL-011
SQ-9122	ROLE-008		ブラジル競馬の「Proprietário」は日本語・英語でどう説明する？	ja	ja-JP	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	BR-LBL-011
SQ-9123	ROLE-006		What does Treinador mean in Brazilian horse racing?	en	pt-BR	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	BR-LBL-012
SQ-9124	ROLE-006		ブラジル競馬の「Treinador」は日本語・英語でどう説明する？	ja	ja-JP	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	BR-LBL-012
