source_id	jurisdiction	authority	source_class	title	url	checked_at	currentness	covers	note
PB-SRC-001	Japan	JRA	official_owner_guidance	Prize structure for owners	https://www.jra.go.jp/owner/members/prize/index.html	2026-09-11	current_reference	Total prize money; Winner's prize; Place money	JRA owner guidance documents principal race-prize payments and allocation to first through fifth places; supports race-level total/prize-place semantics without universalizing Japanese percentages.
PB-SRC-002	Australia	Racing Australia	official_race_programme	Devonport Tapeta Synthetic race programme — 26 July 2026	https://www.racingaustralia.horse/FreeFields/RaceProgram.aspx?Key=2026Jul26%2CTAS%2CDevonport+Tapeta+Synthetic	2026-09-11	current_2026	Total prize money; Winner's prize; Place money; Breeder bonus; Owner bonus	Current 2026 programme publishes total race value, placing allocations and named breeder/owner bonuses; generic Bonus remains broader than this evidence.
PB-SRC-003	France	France Galop	official_owner_guidance	Owner FAQ	https://www.france-galop.com/en/become-owner/faq	2026-09-11	current_reference	Prize money; Breeders' premium; Owners' premium	France Galop explains prize-fund distribution and separate breeder/owner premiums; premium rules are jurisdiction-specific.
PB-SRC-004	US	Equibase	official_industry_database	Program Help — Stakes race purse additions	https://www.equibase.com/newfan/pp-top.cfm	2026-09-11	current_reference	Added money	Equibase describes Stakes money added to the base purse through nomination, entry or starter fees; supports a North American/regional Added money sense rather than a universal prize label.
PB-SRC-005	GB/IRE	Tote	official_betting_guide	What is Pool Betting?	https://wordpress.tote.co.uk/racing/guides/pool-betting	2026-09-11	current_reference	Betting pool; Dividend; Each-way	Official Tote guidance explains pooled stakes, deductions, winning dividends and Win/Place/Each-Way pool betting.
PB-SRC-006	US	NYRA	official_wagering_guide	NYRA Wagering Info	https://www.nyra.com/saratoga/racing/nyra-wagering-info/	2026-09-11	current_2026	Takeout; Show bet; Exacta; Quinella; Trifecta; Superfecta; Daily Double; Pick 3; Pick 4; Pick 5; Pick 6; Across the board	Current NYRA wagering guide directly defines these wager types and takeout; exact minimums and rates are local operational details.
PB-SRC-007	Hong Kong	HKJC	official_betting_guide	Local Pools Beginner's Guide	https://special.hkjc.com/e-win/en-US/betting-info/racing/beginners-guide/local-pools/	2026-09-11	current_reference	Dividend; Quinella; Forecast; Trio; Tierce	HKJC directly defines local pool outcomes and order requirements; use for Hong Kong terminology and cross-checking order/no-order semantics.
PB-SRC-008	International/Hong Kong	HKJC World Pool	official_betting_guide	World Pool Bet Types	https://worldpool.hkjc.com/en-US/about/bet-types/	2026-09-11	current_2025_10	Quinella; Reverse Forecast; Exacta; Forecast; Trifecta; Tricast	World Pool maps international labels: Quinella/Reverse Forecast are any-order first two; Forecast/Exacta are exact-order first two; Tierce/Trifecta/Tricast are exact-order first three.
PB-SRC-009	GB	The Jockey Club	official_racing_glossary	Racing glossary	https://www.thejockeyclub.co.uk/the-racing/racing-explained/glossary/	2026-09-11	current_reference	Each-way; Dividend; Exacta; Straight Forecast; Dual Forecast; Decimal odds; Evens; Longshot; Outsider; Odds-on	The Jockey Club glossary directly defines these betting terms. Forecast has both straight and dual forms, so generic Forecast is not retained as a second exacta Concept.
PB-SRC-010	GB	The Jockey Club	official_betting_guide	Betting jargon and bet types	https://www.thejockeyclub.co.uk/the-racing/racing-explained/betting/jargon/	2026-09-11	current_reference	Each-way; Odds-on; Evens; Longshot; Outsider	Current betting explainer corroborates common British betting usage; keep region-sensitive labels distinct from wager mechanics.
PB-SRC-011	US	Equibase	official_industry_reference	Morning Line Odds	https://cms.equibase.com/node/6305	2026-09-11	legacy_reference_currently_hosted	Morning line	Equibase explains the morning line as advance odds intended to predict public betting at post time; current NYRA use of a morning-line oddsmaker corroborates continuing terminology.
PB-SRC-012	US	NYRA	official_racing_service	TimeformUS / morning-line oddsmaker	https://www.nyra.com/aqueduct/racing/timeformus/	2026-09-11	current_reference	Morning line	Current NYRA page identifies its morning-line oddsmaker, corroborating continuing North American use of Morning line.
