query_id	concept_id	related_concept_id	query	language	country_or_locale	search_intent	query_type	priority	future_target	review_state	source_basis
SQ-9201	ROLE-006		What does Trainer mean in German horse racing?	en	de-DE	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	GER-LBL-001
SQ-9202	ROLE-006		ドイツ競馬の「Trainer」は日本語・英語でどう説明する？	ja	ja-JP	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	GER-LBL-001
SQ-9203	ROLE-011		What does Besitzertrainer mean in German horse racing?	en	de-DE	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	GER-LBL-002
SQ-9204	ROLE-011		ドイツ競馬の「Besitzertrainer」は日本語・英語でどう説明する？	ja	ja-JP	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	GER-LBL-002
SQ-9205	ROLE-001		What does Berufsrennreiter mean in German horse racing?	en	de-DE	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	GER-LBL-003
SQ-9206	ROLE-001		ドイツ競馬の「Berufsrennreiter」は日本語・英語でどう説明する？	ja	ja-JP	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	GER-LBL-003
SQ-9207	ROLE-004		What does Amateurrennreiter mean in German horse racing?	en	de-DE	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	GER-LBL-004
SQ-9208	ROLE-004		ドイツ競馬の「Amateurrennreiter」は日本語・英語でどう説明する？	ja	ja-JP	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	GER-LBL-004
SQ-9209	ROLE-008		What does Besitzer mean in German horse racing?	en	de-DE	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	GER-LBL-005
SQ-9210	ROLE-008		ドイツ競馬の「Besitzer」は日本語・英語でどう説明する？	ja	ja-JP	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	GER-LBL-005
SQ-9211	ROLE-017		What does Starter mean in German horse racing?	en	de-DE	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	GER-LBL-006
SQ-9212	ROLE-017		ドイツ競馬の「Starter」は日本語・英語でどう説明する？	ja	ja-JP	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	GER-LBL-006
SQ-9213	ROLE-018		What does Zielrichter mean in German horse racing?	en	de-DE	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	GER-LBL-007
SQ-9214	ROLE-018		ドイツ競馬の「Zielrichter」は日本語・英語でどう説明する？	ja	ja-JP	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	GER-LBL-007
SQ-9215	ROLE-019		What does Ausgleicher mean in German horse racing?	en	de-DE	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	GER-LBL-008
SQ-9216	ROLE-019		ドイツ競馬の「Ausgleicher」は日本語・英語でどう説明する？	ja	ja-JP	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	GER-LBL-008
SQ-9217	VENUE-001		What does Rennbahn mean in German horse racing?	en	de-DE	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	GER-LBL-009
SQ-9218	VENUE-001		ドイツ競馬の「Rennbahn」は日本語・英語でどう説明する？	ja	ja-JP	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	GER-LBL-009
SQ-9219	ROLE-022		What does Tierarzt mean in German horse racing?	en	de-DE	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	GER-LBL-010
SQ-9220	ROLE-022		ドイツ競馬の「Tierarzt」は日本語・英語でどう説明する？	ja	ja-JP	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	GER-LBL-010
SQ-9221	ROLE-023		What does Hufschmied mean in German horse racing?	en	de-DE	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	GER-LBL-011
SQ-9222	ROLE-023		ドイツ競馬の「Hufschmied」は日本語・英語でどう説明する？	ja	ja-JP	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	GER-LBL-011
SQ-9223	VENUE-024		What does Startmaschine mean in German horse racing?	en	de-DE	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	GER-LBL-012
SQ-9224	VENUE-024		ドイツ競馬の「Startmaschine」は日本語・英語でどう説明する？	ja	ja-JP	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	GER-LBL-012
