record_kind	target_no	scope_group	country_en	country_ja	country_slug	racing_system	racing_code	race_name	race_name_local	classification_scheme	grade_raw	recognition_scope	ics_part	race_type	surface	distance_m	distance_text	eligibility	usual_month	date_2026	racecourse	purse_2026	currency	purse_basis	source_url	source_kind	last_checked	research_status	notes
coverage	01	v0_candidate	United Arab Emirates	UAE	united-arab-emirates																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	02	v0_candidate	South Korea	韓国	south-korea																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	03	v0_candidate	Turkey	トルコ	turkey																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	04	v0_candidate	Morocco	モロッコ	morocco																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	05	v0_candidate	Chile	チリ	chile																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	06	v0_candidate	Peru	ペルー	peru																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	07	v0_candidate	Mexico	メキシコ	mexico																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	08	v0_1_candidate	Brazil	ブラジル	brazil																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	09	v0_candidate	Bahrain	バーレーン	bahrain																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	10	v0_candidate	Qatar	カタール	qatar																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	11	v0_candidate	Oman	オマーン	oman																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	12	v0_candidate	Zimbabwe	ジンバブエ	zimbabwe																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	13	v0_candidate	Japan	日本	japan																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	14	v0_candidate	Hong Kong	香港	hong-kong																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	15	v0_candidate	New Zealand	ニュージーランド	new-zealand																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	16	v0_candidate	South Africa	南アフリカ	south-africa																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	17	v0_candidate	Uruguay	ウルグアイ	uruguay																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	18	v0_candidate	Sweden	スウェーデン	sweden																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	19	v0_candidate	Denmark	デンマーク	denmark																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	20	v0_candidate	Czech Republic	チェコ	czech-republic																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	21	v0_candidate	Hungary	ハンガリー	hungary																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	22	v0_candidate	Malta	マルタ	malta																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	23	v0_candidate	Austria	オーストリア	austria																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	24	v0_candidate	Puerto Rico	プエルトリコ	puerto-rico																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	25	v0_candidate	Jamaica	ジャマイカ	jamaica																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	26	v0_candidate	Trinidad and Tobago	トリニダード・トバゴ	trinidad-and-tobago																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	27	v0_candidate	Barbados	バルバドス	barbados																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	28	v0_candidate	Martinique	マルティニーク	martinique																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	29	v0_1_candidate	United Kingdom	イギリス	united-kingdom																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	30	v0_1_candidate	United States	アメリカ	united-states																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	31	v0_1_candidate	Australia	オーストラリア	australia																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	32	v0_1_candidate	Ireland	アイルランド	ireland																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	33	v0_1_candidate	France	フランス	france																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	34	v0_1_candidate	Canada	カナダ	canada																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
coverage	35	v0_1_candidate	Saudi Arabia	サウジアラビア	saudi-arabia																				docs/country-pages/98-country-tracker.tsv	repo_tracker	2026-09-06	pending_race_inventory	Mother-set coverage row. Add race rows below; do not delete until the target is fully audited.
