resolution_id	review_id	resolution_status	resolved_ids	resolution_action	verification_status	source_ids	note
RELRES-001	RELREV-001	resolved	MEET-001;MEET-042	sense_split_and_label_remap	source_verified	REL-SRC-001	English single-event Meeting moved to MEET-001 label; France Galop Meeting gets separate MEET-042; French Réunion maps to MEET-001.
RELRES-002	RELREV-006	resolved	MEET-004	concept_dedupe	reviewed_semantic		MEET-005 removed; Raceday retained as label on Race day.
RELRES-003	RELREV-007	resolved	BET-030	concept_dedupe	reviewed_semantic		BET-031 removed; Favourite retained as en-GB/Commonwealth label on Favorite.
RELRES-004	RELREV-008	resolved	RTYPE-006	concept_dedupe	source_verified	REG-SRC-001;GBIRE-SRC-008	RTYPE-005 removed; Bumper/Bumpers retained as GB/IRE labels on National Hunt Flat Race.
RELRES-005	RELREV-009	resolved_for_current_model	RTYPE-017;RTYPE-021;RTYPE-018;RTYPE-022;RTYPE-019;RTYPE-023;RTYPE-020;RTYPE-024	keep_separate_regional_counterparts	source_verified	REL-SRC-003	Group and Grade systems remain separate Concepts connected by regional_counterpart relations; no global merge.
RELRES-006	RELREV-010	resolved	RUN-046	promote_shared_abstract_concept	source_verified	REG-SRC-008;REG-SRC-011	Rabbit and France tactical leader map to RUN-046 Tactical pacemaker for another runner; relation to generic Pacesetter is narrower.
RELRES-007	RELREV-011	resolved	RESULT-030	promote_form_notation_concept	source_verified	REL-SRC-001	France Musique maps to new Race form notation Concept; GB/IRE implementation remains follow-up evidence work.
RELRES-008	RELREV-002	resolved	MEET-028;MEET-029	split_actual_and_scheduled_start_time	source_verified	USCA-SRC-001;REL-SRC-004;REL-SRC-005	MEET-028 now means actual Off time; MEET-029 remains scheduled start time and receives BHA Scheduled off time as a regional label. Do not merge.
RELRES-009	RELREV-003	resolved_for_current_model	VENUE-002;VENUE-001	retain_polysemous_racetrack_with_scoped_relation	mixed_source_and_semantic	USCA-SRC-009	Racetrack retains both facility and physical-surface senses in the working model. Close-equivalence to Racecourse applies only to the facility sense; publication needs sense-aware copy.
RELRES-010	RELREV-004	resolved_for_current_model	VENUE-003;VENUE-001;VENUE-004	retain_polysemous_track_with_scoped_relations	mixed_source_and_semantic	REL-SRC-007;USCA-SRC-009	Track remains one polysemous research Concept for now, with venue and physical-path relations explicitly scoped. No global synonym merge is allowed.
RELRES-011	RELREV-005	resolved_for_current_model	SURF-011;SURF-012	keep_separate_related_regional_taxonomies	source_verified	GBIRE-SRC-003;USCA-SRC-007;JP-SRC-014;JP-SRC-015;REL-SRC-006	Going and Track condition remain separate Concepts linked as related. Regional official taxonomies differ structurally, so neither exact-equivalent nor a universal narrower/broader assertion is justified.
