query_id	concept_id	related_concept_id	query	language	country_or_locale	search_intent	query_type	priority	future_target	review_state	source_basis
SQ-0001	RTYPE-045		MSW horse racing meaning	en	en-US	abbreviation	abbreviation_lookup	P1	concept_page_abbreviation_section	source_derived_reviewed	ABBR-001
SQ-0002	RTYPE-045		what does MSW mean on a horse racing racecard	en	en-US	racecard_reading	racecard_code_lookup	P1	concept_page_or_racecard_guide	source_derived_reviewed	ABBR-001
SQ-0003	RTYPE-010		STR horse racing meaning	en	en-US	abbreviation	abbreviation_lookup	P1	concept_page_abbreviation_section	source_derived_reviewed	ABBR-002
SQ-0004	RTYPE-010		what does STR mean on a horse racing racecard	en	en-US	racecard_reading	racecard_code_lookup	P1	concept_page_or_racecard_guide	source_derived_reviewed	ABBR-002
SQ-0005	RUN-038		X horse racing meaning	en	en-US	abbreviation	abbreviation_lookup	P1	concept_page_abbreviation_section	source_derived_reviewed	ABBR-003
SQ-0006	RUN-038		what does X mean on a horse racing racecard	en	en-US	racecard_reading	racecard_code_lookup	P1	concept_page_or_racecard_guide	source_derived_reviewed	ABBR-003
SQ-0007	RTYPE-006		I.N.H. Flat Race horse racing meaning	en	en-IE	abbreviation	abbreviation_lookup	P1	concept_page_abbreviation_section	source_derived_reviewed	ABBR-004
SQ-0008	RTYPE-006		what does I.N.H. Flat Race mean on a horse racing racecard	en	en-IE	racecard_reading	racecard_code_lookup	P1	concept_page_or_racecard_guide	source_derived_reviewed	ABBR-004
SQ-0009	RTYPE-022		競馬の「GⅠ」の意味	ja	ja-JP	abbreviation	abbreviation_lookup	P1	concept_page_abbreviation_section	source_derived_reviewed	ABBR-008
SQ-0010	RTYPE-022		競馬の出馬表で「GⅠ」は何を意味する	ja	ja-JP	racecard_reading	racecard_code_lookup	P1	concept_page_or_racecard_guide	source_derived_reviewed	ABBR-008
SQ-0011	RTYPE-023		競馬の「GⅡ」の意味	ja	ja-JP	abbreviation	abbreviation_lookup	P1	concept_page_abbreviation_section	source_derived_reviewed	ABBR-009
SQ-0012	RTYPE-023		競馬の出馬表で「GⅡ」は何を意味する	ja	ja-JP	racecard_reading	racecard_code_lookup	P1	concept_page_or_racecard_guide	source_derived_reviewed	ABBR-009
SQ-0013	RTYPE-024		競馬の「GⅢ」の意味	ja	ja-JP	abbreviation	abbreviation_lookup	P1	concept_page_abbreviation_section	source_derived_reviewed	ABBR-010
SQ-0014	RTYPE-024		競馬の出馬表で「GⅢ」は何を意味する	ja	ja-JP	racecard_reading	racecard_code_lookup	P1	concept_page_or_racecard_guide	source_derived_reviewed	ABBR-010
SQ-0015	RTYPE-069		競馬の「JpnⅠ」の意味	ja	ja-JP	abbreviation	abbreviation_lookup	P1	concept_page_abbreviation_section	source_derived_reviewed	ABBR-011
SQ-0016	RTYPE-069		競馬の出馬表で「JpnⅠ」は何を意味する	ja	ja-JP	racecard_reading	racecard_code_lookup	P1	concept_page_or_racecard_guide	source_derived_reviewed	ABBR-011
SQ-0017	RTYPE-070		競馬の「JpnⅡ」の意味	ja	ja-JP	abbreviation	abbreviation_lookup	P1	concept_page_abbreviation_section	source_derived_reviewed	ABBR-012
SQ-0018	RTYPE-070		競馬の出馬表で「JpnⅡ」は何を意味する	ja	ja-JP	racecard_reading	racecard_code_lookup	P1	concept_page_or_racecard_guide	source_derived_reviewed	ABBR-012
SQ-0019	RTYPE-071		競馬の「JpnⅢ」の意味	ja	ja-JP	abbreviation	abbreviation_lookup	P1	concept_page_abbreviation_section	source_derived_reviewed	ABBR-013
SQ-0020	RTYPE-071		競馬の出馬表で「JpnⅢ」は何を意味する	ja	ja-JP	racecard_reading	racecard_code_lookup	P1	concept_page_or_racecard_guide	source_derived_reviewed	ABBR-013
SQ-0021	RTYPE-107		GR1 PA horse racing meaning	en		abbreviation	abbreviation_lookup	P1	concept_page_abbreviation_section	source_derived_reviewed	ABBR-014
SQ-0022	RTYPE-107		what does GR1 PA mean on a horse racing racecard	en		racecard_reading	racecard_code_lookup	P1	concept_page_or_racecard_guide	source_derived_reviewed	ABBR-014
SQ-0023	RTYPE-108		Gr2 PA horse racing meaning	en		abbreviation	abbreviation_lookup	P1	concept_page_abbreviation_section	source_derived_reviewed	ABBR-015
SQ-0024	RTYPE-108		what does Gr2 PA mean on a horse racing racecard	en		racecard_reading	racecard_code_lookup	P1	concept_page_or_racecard_guide	source_derived_reviewed	ABBR-015
SQ-0025	RTYPE-109		Gr3 PA horse racing meaning	en		abbreviation	abbreviation_lookup	P1	concept_page_abbreviation_section	source_derived_reviewed	ABBR-016
SQ-0026	RTYPE-109		what does Gr3 PA mean on a horse racing racecard	en		racecard_reading	racecard_code_lookup	P1	concept_page_or_racecard_guide	source_derived_reviewed	ABBR-016
SQ-0027	SURF-006		AWT horse racing meaning	en	en-HK	abbreviation	abbreviation_lookup	P1	concept_page_abbreviation_section	source_derived_reviewed	ABBR-019
SQ-0028	SURF-006		what does AWT mean on a horse racing racecard	en	en-HK	racecard_reading	racecard_code_lookup	P1	concept_page_or_racecard_guide	source_derived_reviewed	ABBR-019
SQ-0029	SURF-061		RA horse racing meaning	en	en-HK	abbreviation	abbreviation_lookup	P1	concept_page_abbreviation_section	source_derived_reviewed	ABBR-020
SQ-0030	SURF-061		what does RA mean on a horse racing racecard	en	en-HK	racecard_reading	racecard_code_lookup	P1	concept_page_or_racecard_guide	source_derived_reviewed	ABBR-020
SQ-0031	SURF-062		NW horse racing meaning	en	en-HK	abbreviation	abbreviation_lookup	P1	concept_page_abbreviation_section	source_derived_reviewed	ABBR-021
SQ-0032	SURF-062		what does NW mean on a horse racing racecard	en	en-HK	racecard_reading	racecard_code_lookup	P1	concept_page_or_racecard_guide	source_derived_reviewed	ABBR-021
SQ-0033	WEIGHT-035		MR horse racing meaning	en	en-ZA	abbreviation	abbreviation_lookup	P1	concept_page_abbreviation_section	source_derived_reviewed	ABBR-022
SQ-0034	WEIGHT-035		what does MR mean on a horse racing racecard	en	en-ZA	racecard_reading	racecard_code_lookup	P1	concept_page_or_racecard_guide	source_derived_reviewed	ABBR-022
SQ-0035	RTYPE-078		競馬の「BG1」の意味	ja	ja-JP	abbreviation	abbreviation_lookup	P1	concept_page_abbreviation_section	source_derived_reviewed	ABBR-023
SQ-0036	RTYPE-078		競馬の出馬表で「BG1」は何を意味する	ja	ja-JP	racecard_reading	racecard_code_lookup	P1	concept_page_or_racecard_guide	source_derived_reviewed	ABBR-023
SQ-0037	RTYPE-079		競馬の「BG2」の意味	ja	ja-JP	abbreviation	abbreviation_lookup	P1	concept_page_abbreviation_section	source_derived_reviewed	ABBR-024
SQ-0038	RTYPE-079		競馬の出馬表で「BG2」は何を意味する	ja	ja-JP	racecard_reading	racecard_code_lookup	P1	concept_page_or_racecard_guide	source_derived_reviewed	ABBR-024
SQ-0039	RTYPE-080		競馬の「BG3」の意味	ja	ja-JP	abbreviation	abbreviation_lookup	P1	concept_page_abbreviation_section	source_derived_reviewed	ABBR-025
SQ-0040	RTYPE-080		競馬の出馬表で「BG3」は何を意味する	ja	ja-JP	racecard_reading	racecard_code_lookup	P1	concept_page_or_racecard_guide	source_derived_reviewed	ABBR-025
SQ-0041	WEIGHT-003		WFA horse racing meaning	en	en-GB	abbreviation	abbreviation_lookup	P1	concept_page_abbreviation_section	source_derived_reviewed	ABBR-026
SQ-0042	WEIGHT-003		what does WFA mean on a horse racing racecard	en	en-GB	racecard_reading	racecard_code_lookup	P1	concept_page_or_racecard_guide	source_derived_reviewed	ABBR-026
SQ-0043	BET-027		SP horse racing meaning	en	en-GB	abbreviation	abbreviation_lookup	P1	concept_page_abbreviation_section	source_derived_reviewed	ABBR-027
SQ-0044	BET-027		what does SP mean on a horse racing racecard	en	en-GB	racecard_reading	racecard_code_lookup	P1	concept_page_or_racecard_guide	source_derived_reviewed	ABBR-027
SQ-0045	RESULT-020		DNF horse racing meaning	en	en-HK	abbreviation	abbreviation_lookup	P1	concept_page_abbreviation_section	source_derived_reviewed	ABBR-028
SQ-0046	RESULT-020		what does DNF mean on a horse racing racecard	en	en-HK	racecard_reading	racecard_code_lookup	P1	concept_page_or_racecard_guide	source_derived_reviewed	ABBR-028
SQ-0047	RESULT-021		P horse racing meaning	en	en-GB	abbreviation	abbreviation_lookup	P1	concept_page_abbreviation_section	source_derived_reviewed	ABBR-029
SQ-0048	RESULT-021		what does P mean on a horse racing racecard	en	en-GB	racecard_reading	racecard_code_lookup	P1	concept_page_or_racecard_guide	source_derived_reviewed	ABBR-029
SQ-0049	RESULT-021		PU horse racing meaning	en	en-GB	abbreviation	abbreviation_lookup	P1	concept_page_abbreviation_section	source_derived_reviewed	ABBR-030
SQ-0050	RESULT-021		what does PU mean on a horse racing racecard	en	en-GB	racecard_reading	racecard_code_lookup	P1	concept_page_or_racecard_guide	source_derived_reviewed	ABBR-030
SQ-0051	RESULT-022		F horse racing meaning	en	en-GB	abbreviation	abbreviation_lookup	P1	concept_page_abbreviation_section	source_derived_reviewed	ABBR-031
SQ-0052	RESULT-022		what does F mean on a horse racing racecard	en	en-GB	racecard_reading	racecard_code_lookup	P1	concept_page_or_racecard_guide	source_derived_reviewed	ABBR-031
SQ-0053	RESULT-023		U horse racing meaning	en	en-GB	abbreviation	abbreviation_lookup	P1	concept_page_abbreviation_section	source_derived_reviewed	ABBR-032
SQ-0054	RESULT-023		what does U mean on a horse racing racecard	en	en-GB	racecard_reading	racecard_code_lookup	P1	concept_page_or_racecard_guide	source_derived_reviewed	ABBR-032
SQ-0055	RESULT-023		UR horse racing meaning	en	en-GB	abbreviation	abbreviation_lookup	P1	concept_page_abbreviation_section	source_derived_reviewed	ABBR-033
SQ-0056	RESULT-023		what does UR mean on a horse racing racecard	en	en-GB	racecard_reading	racecard_code_lookup	P1	concept_page_or_racecard_guide	source_derived_reviewed	ABBR-033
SQ-0057	RESULT-024		BD horse racing meaning	en	en-GB	abbreviation	abbreviation_lookup	P1	concept_page_abbreviation_section	source_derived_reviewed	ABBR-034
SQ-0058	RESULT-024		what does BD mean on a horse racing racecard	en	en-GB	racecard_reading	racecard_code_lookup	P1	concept_page_or_racecard_guide	source_derived_reviewed	ABBR-034
SQ-0059	RESULT-026		R horse racing meaning	en	en-GB	abbreviation	abbreviation_lookup	P1	concept_page_abbreviation_section	source_derived_reviewed	ABBR-035
SQ-0060	RESULT-026		what does R mean on a horse racing racecard	en	en-GB	racecard_reading	racecard_code_lookup	P1	concept_page_or_racecard_guide	source_derived_reviewed	ABBR-035
SQ-0061	RESULT-014		DQ horse racing meaning	en	en-US	abbreviation	abbreviation_lookup	P1	concept_page_abbreviation_section	source_derived_reviewed	ABBR-036
SQ-0062	RESULT-014		what does DQ mean on a horse racing racecard	en	en-US	racecard_reading	racecard_code_lookup	P1	concept_page_or_racecard_guide	source_derived_reviewed	ABBR-036
SQ-0063	RESULT-014		DISQ horse racing meaning	en	en-HK	abbreviation	abbreviation_lookup	P1	concept_page_abbreviation_section	source_derived_reviewed	ABBR-037
SQ-0064	RESULT-014		what does DISQ mean on a horse racing racecard	en	en-HK	racecard_reading	racecard_code_lookup	P1	concept_page_or_racecard_guide	source_derived_reviewed	ABBR-037
SQ-0065	RESULT-007		DH horse racing meaning	en	en-US	abbreviation	abbreviation_lookup	P1	concept_page_abbreviation_section	source_derived_reviewed	ABBR-038
SQ-0066	RESULT-007		what does DH mean on a horse racing racecard	en	en-US	racecard_reading	racecard_code_lookup	P1	concept_page_or_racecard_guide	source_derived_reviewed	ABBR-038
