source_id	jurisdiction	authority	source_class	title	url	checked_at	currentness	covers	note
RUN-SRC-001	US	Equibase	official_industry_database	Race Comments	https://www.equibase.com/products/cc-comments.cfm	2026-09-11	current_reference	Break at start; Wide; Boxed in; Eased; Lost rider event; Stretch run; closing kick	Equibase standardized chart-comment guide defines start comments, positioning/interference terms, Eased and Lost Jockey, and repeatedly uses stretch run as the finishing-stretch phase. It also defines lack of a final closing kick; keep North American chart-comment semantics scoped rather than universalizing labels.
RUN-SRC-002	GB	The Jockey Club	official_racing_glossary	Racing Explained — Glossary	https://www.thejockeyclub.co.uk/the-racing/racing-explained/glossary/	2026-09-11	current_reference	On the rail; Boxed in; Turn of foot	Current glossary directly defines Boxed In, running on/against the rails, and Turn Of Foot. Preserve British/Commonwealth wording and do not force worldwide synonym identity.
RUN-SRC-003	Hong Kong	Hong Kong Jockey Club	official_overseas_racecard_guide	Overseas Racecard Starter Guide	https://racing.hkjc.com/racing/content/PDF/RaceCard/OSE20250222_starter_S2_all.pdf	2026-09-11	current_reference	Lost rider	HKJC official racecard guide lists LR = Lost rider separately from UR = Unseated rider, supporting a distinct result/event label in international race information.
RUN-SRC-004	US	United States Trotting Association	official_results_codes	Entries & Results Abbreviation Codes	https://racing.ustrotting.com/abbrcodes.aspx	2026-09-11	current_2026	Harness Break; Boxed; Parked Out	Current USTA Chart Calls list X = Break, Boxed and Parked Out. Combined with existing USTA gait-rule evidence, Break is a regional label for the already modeled Broke stride Concept rather than a second semantic Concept.
RUN-SRC-005	US	Equibase	official_industry_reference	Pace Makes the Race	https://cms.equibase.com/node/5711	2026-09-11	legacy_reference_currently_hosted	Pacesetter; Presser; Stalker	Equibase's currently hosted pace-style explainer explicitly maps speed horses to front-runners/pacesetters, defines Presser as forcing the issue behind speed, and Stalker as sitting within striking range. Use to collapse generic Pacesetter into Front-runner and verify the two distinct North American style labels without treating the article's style taxonomy as universal.
RUN-SRC-006	US	United States Trotting Association	official_fan_guide	Racetrack Experience — Position is Everything	https://fanguide.ustrotting.com/racetrack-experience.cfm	2026-09-11	current_reference	Pocket; Cover; Parked out	Current USTA fan guide explains the pocket behind the leader on the rail, cover behind another horse, and a horse racing outside as parked/first-over. Use as North American Harness positioning terminology.
RUN-SRC-007	Australia	Racing Australia	official_racebook_and_stewards	Current 2026 racebook / stewards-report terminology	https://publishingservices.racingaustralia.horse/racebooks/	2026-09-11	current_2026	Midfield; Home turn; Carried wide; Tempo	Current 2026 Racing Australia racebook/stewards material uses midfield/mid-field as a race-position band, home turn as the final bend into the home straight, carried wider for a horse forced farther outside, and tempo for race pace. Treat these as Australian operational labels, not universal definitions.
RUN-SRC-008	GB	The Jockey Club	official_racing_explainer	Picking a Winner by Reading the Form	https://www.thejockeyclub.co.uk/the-racing/racing-explained/betting/reading-the-form/	2026-09-11	current_reference	Refused	Current Jockey Club form guide states that R in jump-racing form indicates a horse refused. Use for the jump-racing non-completion event rather than the unrelated everyday sense of refuse.
RUN-SRC-009	Ireland	Irish Horseracing Regulatory Board	official_stewards_report	Killarney 17th July 2026	https://www.ihrb.ie/daily-enquiries/Killarney%2017th%20July%202026	2026-09-11	current_2026	Run-in; Ran out	Current IHRB stewards report uses run in for the section after the final hurdle and records a horse that ran out by going the wrong side of a wing and therefore taking the wrong course. Scope both terms to regulated GB/IRE jump-racing usage.
RUN-SRC-010	International/Europe	Union Européenne du Trot	international_agreement	International Agreement on Trotting Races — 2025	https://www.uet-trot.eu/content/uploads/2025/03/Agreement_2025_EN.pdf	2026-09-11	current_2025	Gallop during trotting race; disqualification for gait	Article 6 requires the trotting gait and specifies mandatory or discretionary disqualification when a horse breaks stride into gallop/pace or uses irregular gait under stated conditions. Model Galloped as a gait-break event and Disqualified for gait as the decision outcome, not as ordinary flat-racing gallop terminology.
