query_id	concept_id	related_concept_id	query	language	country_or_locale	search_intent	query_type	priority	future_target	review_state	source_basis
SQ-4001	RTYPE-017	RTYPE-021	Group race vs Grade race in horse racing	en	global/en	comparison	concept_comparison	P1	comparison_or_concept_sections	wave3_relation_reviewed	REL-004
SQ-4002	RTYPE-017	RTYPE-021	競馬の「グループ競走」と「グレード競走」の違い	ja	ja-JP	comparison	concept_comparison	P1	comparison_or_concept_sections	wave3_relation_reviewed	REL-004
SQ-4003	RTYPE-018	RTYPE-022	Group 1 vs Grade 1 in horse racing	en	global/en	comparison	concept_comparison	P1	comparison_or_concept_sections	wave3_relation_reviewed	REL-005
SQ-4004	RTYPE-018	RTYPE-022	競馬の「グループ1」と「グレード1」の違い	ja	ja-JP	comparison	concept_comparison	P1	comparison_or_concept_sections	wave3_relation_reviewed	REL-005
SQ-4005	RTYPE-019	RTYPE-023	Group 2 vs Grade 2 in horse racing	en	global/en	comparison	concept_comparison	P1	comparison_or_concept_sections	wave3_relation_reviewed	REL-006
SQ-4006	RTYPE-019	RTYPE-023	競馬の「グループ2」と「グレード2」の違い	ja	ja-JP	comparison	concept_comparison	P1	comparison_or_concept_sections	wave3_relation_reviewed	REL-006
SQ-4007	RTYPE-020	RTYPE-024	Group 3 vs Grade 3 in horse racing	en	global/en	comparison	concept_comparison	P1	comparison_or_concept_sections	wave3_relation_reviewed	REL-007
SQ-4008	RTYPE-020	RTYPE-024	競馬の「グループ3」と「グレード3」の違い	ja	ja-JP	comparison	concept_comparison	P1	comparison_or_concept_sections	wave3_relation_reviewed	REL-007
SQ-4009	SURF-011	SURF-012	Going vs Track condition in horse racing	en	global/en	comparison	concept_comparison	P1	comparison_or_concept_sections	wave3_relation_reviewed	REL-008
SQ-4010	SURF-011	SURF-012	競馬の「ゴーイング／馬場状態」と「馬場状態」の違い	ja	ja-JP	comparison	concept_comparison	P1	comparison_or_concept_sections	wave3_relation_reviewed	REL-008
SQ-4011	VENUE-001	VENUE-002	Racecourse vs Racetrack in horse racing	en	global/en	comparison	concept_comparison	P1	comparison_or_concept_sections	wave3_relation_reviewed	REL-009
SQ-4012	VENUE-001	VENUE-002	競馬の「競馬場」と「競馬場／競走路」の違い	ja	ja-JP	comparison	concept_comparison	P1	comparison_or_concept_sections	wave3_relation_reviewed	REL-009
SQ-4013	VENUE-003	VENUE-001	Track vs Racecourse in horse racing	en	global/en	comparison	concept_comparison	P1	comparison_or_concept_sections	wave3_relation_reviewed	REL-010
SQ-4014	VENUE-003	VENUE-001	競馬の「トラック／走路」と「競馬場」の違い	ja	ja-JP	comparison	concept_comparison	P1	comparison_or_concept_sections	wave3_relation_reviewed	REL-010
