concept_id	category_id	category_ja	canonical_en	preferred_ja	working_definition_ja	concept_kind	priority	jurisdiction_scope	discipline_scope	translation_status	verification_status	source_required	public_ready	notes
MEET-001	MEET	開催・日程・公式文書	Race meeting	競馬開催	同一開催日・開催地などでまとめられる競走の集合。	concept	P0	GLOBAL	ALL	working_equivalent	source_verified	yes	no	P0-SRC-030 supports race meeting as a raceday operational unit; France-specific Meeting-series sense remains separately modeled as MEET-042.
MEET-003	MEET	開催・日程・公式文書	Fixture	開催予定	主に英国系で予定された開催単位を指す語。Meetingと完全同義とは限らない。	concept	P0	GB/IRE/Commonwealth	ALL	working_equivalent	source_verified	yes	no	P0-SRC-031 verifies Fixture as a scheduled BHA unit; REL-012 preserves relation rather than identity with Race meeting.
MEET-004	MEET	開催・日程・公式文書	Race day	開催日	競馬が行われる一日またはその日の開催。	concept	P0	GLOBAL	ALL	working_equivalent	source_verified	yes	no	P0-SRC-030 and P0-SRC-031 verify current raceday usage; do not globally collapse into Race meeting.
MEET-006	MEET	開催・日程・公式文書	Racing calendar	開催カレンダー	一定期間の開催日・開催地等を示す日程情報。	concept	P0	GLOBAL	ALL	working_equivalent	source_verified	yes	no	P0-SRC-032 verifies an authority-published annual racing schedule/calendar implementation; format and scope vary by jurisdiction.
MEET-007	MEET	開催・日程・公式文書	Season	シーズン	制度・地域で定める年間または季節的開催期間。	concept	P1	GLOBAL	ALL	working_equivalent	candidate	yes	no	
MEET-008	MEET	開催・日程・公式文書	Meeting number	開催回	日本等で一連の開催に付与される回次・番号。番号体系の単位とリセット規則は管轄ごとに異なる。	concept	P1	Japan/Regional	ALL	working_equivalent	source_verified	yes	no	MS-SRC-001;MS-SRC-002 verify current JRA usage such as 1回中山 and 第1回中山第1日; do not generalize the numbering scheme globally.
MEET-009	MEET	開催・日程・公式文書	Day number	開催日次	同一開催回の中で第何日目かを示す日次番号。制度・表記は管轄ごとに異なる。	concept	P2	Japan/Regional	ALL	working_equivalent	source_verified	yes	no	MS-SRC-001;MS-SRC-002 verify JRA 第1日 and 第1日から第6日 usage within numbered meetings.
MEET-010	MEET	開催・日程・公式文書	Card	カード／当日番組	一開催日に組まれた複数競走の集合。	concept	P0	GLOBAL	ALL	working_equivalent	source_verified	yes	no	P0-SRC-033 verifies USTA race cards as date/track groupings of races; keep distinct from Racecard document sense.
MEET-011	MEET	開催・日程・公式文書	Racecard	出馬表／レーシングカード	特定開催・競走の出走予定情報をまとめた文書・ページ。	concept	P0	GLOBAL	ALL	working_equivalent	source_verified	yes	no	P0-SRC-012 and P0-SRC-033 support official racecard/runner-information documents; presentation varies by authority.
MEET-012	MEET	開催・日程・公式文書	Programme	開催番組	競走条件・日程等をまとめた公式文書。	concept	P0	GB/IRE/Europe/Global	ALL	working_equivalent	source_verified	yes	no	P0-SRC-030 and P0-SRC-032 support authority-published race programmes; Programme remains distinct from a single Racecard.
MEET-013	MEET	開催・日程・公式文書	Program	プログラム	Programmeの米式綴り、または当日番組冊子等。	concept	P1	North America	ALL	working_equivalent	candidate	yes	no	Seed conflates an orthographic variant of Programme with possible printed-racecard senses; keep under review rather than forcing one Concept identity.
MEET-014	MEET	開催・日程・公式文書	Condition book	競走条件書	主に北米で、開催期間に予定する競走の条件・資格・賞金等をまとめ、ホースマン向けに公表される競走条件文書。	concept	P1	North America/Regional	Flat	working_equivalent	source_verified	yes	no	MS-SRC-003 verifies current NYRA Condition Book / Condition Books usage and 2026 operational publication. Former MEET-015 duplicate is retired into this Concept.
MEET-016	MEET	開催・日程・公式文書	Fixture list	開催一覧	一定期間の開催予定を一覧化した文書。	concept	P0	GB/IRE/Commonwealth	ALL	working_equivalent	source_verified	yes	no	P0-SRC-031 directly verifies BHA Fixture List publication.
MEET-017	MEET	開催・日程・公式文書	Entries list	登録馬一覧	各競走への登録馬を示す公式一覧。	concept	P0	GLOBAL	ALL	working_equivalent	source_verified	yes	no	P0-SRC-033 and P0-SRC-010 support authority entry listings/entry information; procedures differ by system.
MEET-018	MEET	開催・日程・公式文書	Declarations list	出走確定一覧	最終申告・出走確定馬を示す公式一覧。	concept	P0	Europe/Regional	ALL	working_equivalent	source_verified	yes	no	P0-SRC-026 verifies official BHA declarations and their publication after formal checks.
MEET-019	MEET	開催・日程・公式文書	Acceptances	出走確定一覧	主に豪州等で確定出走馬を示す公式情報。	concept	P0	AUS/NZ	ALL	working_equivalent	source_verified	yes	no	P0-SRC-011 verifies Racing Australia acceptance release/field operations; keep regional scope.
MEET-020	MEET	開催・日程・公式文書	Weights	負担重量発表	主に豪州等の公式番組・出走手続で、ハンデ等に基づく負担重量の発表またはその発表段階を指す用法。	concept	P1	AUS/Regional	ALL	working_equivalent	source_verified	yes	no	MS-SRC-004 exposes a current official Weights declared deadline. This MEET Concept is the publication/stage sense, distinct from horse-level weight Concepts.
MEET-021	MEET	開催・日程・公式文書	Barrier draw	枠順抽選／枠順発表	主に豪州等で出走馬へバリア番号を割り当てる抽選、またはその公式発表・実施段階。	concept	P1	AUS/NZ/Asia/Regional	Flat	working_equivalent	source_verified	yes	no	P0-SRC-067 verifies barrier-number assignment and random-draw controls; MS-SRC-004 confirms a current 2026 Barrier Draw as an official programme stage.
