label_id	concept_id	language	locale	script	label	label_type	jurisdiction	authority	discipline	register	currentness	verification_status	source_id	note
AUNZ-LBL-001	ENTRY-030	en	en-AU	Latn	Barrier	regional	Australia	Racing Australia	Flat	formal	current	source_verified	AUNZ-SRC-001	Australian Rules require a horse to start from its allotted barrier determined by barrier draw; regional counterpart to North American Post Position.
AUNZ-LBL-002	ENTRY-031	en	en-AU	Latn	Emergency	short_form	Australia	Racing Australia	Flat	formal	current	source_verified	AUNZ-SRC-001	Short operational form of Emergency acceptor.
AUNZ-LBL-003	ENTRY-031	en	en-AU	Latn	EM	abbreviation	Australia	Racing Australia	Flat	programme	current	source_verified	AUNZ-SRC-004	Current field-limit notation such as 15 + 5 EM.
AUNZ-LBL-004	WEIGHT-022	en	en-AU	Latn	Hcp Rating	regional	Australia	Racing Australia	Flat	programme	current	source_verified	AUNZ-SRC-004	Programme column label for handicap rating.
AUNZ-LBL-005	WEIGHT-022	en	en-AU	Latn	Rtg	abbreviation	Australia	Racing Australia	Flat	programme	current	candidate		Observed in form displays; keep candidate until added to a dedicated current source row.
AUNZ-LBL-006	RTYPE-054	en	en-AU	Latn	Benchmark Handicap	regional	Australia	Racing Victoria	Flat	formal	current	source_verified	AUNZ-SRC-002	Benchmark Race is a rating-based Handicap; public programmes commonly title races BENCHMARK xx Handicap.
AUNZ-LBL-007	RTYPE-054	en	en-NZ	Latn	BENCHMARK RATING 65 HCP	qualified_label	New Zealand	NZTR	Flat	programme	current	source_verified	AUNZ-SRC-010	Numeric benchmark and HCP are compositional qualifiers, not a separate Concept for every number.
AUNZ-LBL-008	RTYPE-054	en	en-NZ	Latn	BENCHMARK RATING 75 HCP	qualified_label	New Zealand	NZTR	Flat	programme	current	source_verified	AUNZ-SRC-010	Current NZTR programme form.
AUNZ-LBL-009	RTYPE-055	en	en-NZ	Latn	RATING 60 HCP	qualified_label	New Zealand	NZTR	Flat	programme	current	source_verified	AUNZ-SRC-010	Keep distinct from Benchmark Rating race usage.
AUNZ-LBL-010	RTYPE-007	en	en-AU-NZ	Latn	HCP	abbreviation	Australia/New Zealand	Racing Australia/NZTR	Flat	programme	current	source_verified	AUNZ-SRC-004	Handicap programme abbreviation; also current NZTR programme usage.
AUNZ-LBL-011	WEIGHT-005	en	en-NZ	Latn	SWP	abbreviation	New Zealand	NZTR	Flat	programme	current	source_verified	AUNZ-SRC-010	Set Weights and Penalties abbreviation in NZTR programme.
AUNZ-LBL-012	ENTRY-028	en	en-NZ	Latn	Declaration of Riders	regional	New Zealand	NZTR	Flat	formal	current	source_verified	AUNZ-SRC-010	Regional operational label related to rider nomination/declaration.
AUNZ-LBL-013	VENUE-020	en	en-AU	Latn	True	qualified_label	Australia	Racing Queensland	Flat	programme	current	source_verified	AUNZ-SRC-007	Rail position at the true/original line; do not confuse with True Weight.
AUNZ-LBL-014	VENUE-020	en	en-AU	Latn	True Entire	qualified_label	Australia	Racing Queensland	Flat	programme	current	source_verified	AUNZ-SRC-007	Rail-position qualifier.
AUNZ-LBL-015	SURF-013	en	en-AU	Latn	Firm 1	regional	Australia	Racing Victoria	Flat	formal	current	source_verified	AUNZ-SRC-003	Australian turf Track Rating 1.
AUNZ-LBL-016	SURF-013	en	en-AU	Latn	Firm 2	regional	Australia	Racing Victoria	Flat	formal	current	source_verified	AUNZ-SRC-003	Australian turf Track Rating 2.
AUNZ-LBL-017	SURF-015	en	en-AU	Latn	Good 3	regional	Australia	Racing Victoria	Flat	formal	current	source_verified	AUNZ-SRC-003	Australian turf Track Rating 3.
AUNZ-LBL-018	SURF-015	en	en-AU	Latn	Good 4	regional	Australia	Racing Victoria	Flat	formal	current	source_verified	AUNZ-SRC-003	Australian turf Track Rating 4.
AUNZ-LBL-019	SURF-017	en	en-AU	Latn	Soft 5	regional	Australia	Racing Victoria	Flat	formal	current	source_verified	AUNZ-SRC-003	Australian turf Track Rating 5.
AUNZ-LBL-020	SURF-017	en	en-AU	Latn	Soft 6	regional	Australia	Racing Victoria	Flat	formal	current	source_verified	AUNZ-SRC-003	Australian turf Track Rating 6.
AUNZ-LBL-021	SURF-017	en	en-AU	Latn	Soft 7	regional	Australia	Racing Victoria	Flat	formal	current	source_verified	AUNZ-SRC-003	Australian turf Track Rating 7.
AUNZ-LBL-022	SURF-018	en	en-AU	Latn	Heavy 8	regional	Australia	Racing Victoria	Flat	formal	current	source_verified	AUNZ-SRC-003	Australian turf Track Rating 8.
AUNZ-LBL-023	SURF-018	en	en-AU	Latn	Heavy 9	regional	Australia	Racing Victoria	Flat	formal	current	source_verified	AUNZ-SRC-003	Australian turf Track Rating 9.
AUNZ-LBL-024	SURF-018	en	en-AU	Latn	Heavy 10	regional	Australia	Racing Victoria	Flat	formal	current	source_verified	AUNZ-SRC-003	Australian turf Track Rating 10.
AUNZ-LBL-025	SURF-033	en	en-AU	Latn	Going Stick Index	regional	Australia	Racing Queensland	Flat	formal	current	source_verified	AUNZ-SRC-007	Queensland race-day track information uses Going Stick Index alongside penetrometer data.
