query_id	concept_id	related_concept_id	query	language	country_or_locale	search_intent	query_type	priority	future_target	review_state	source_basis
SQ-8001	EQUIP-022		Que signifie D4 dans le trot français ?	fr	fr-FR	abbreviation	abbreviation_lookup	P1	concept_page_abbreviation_section	source_derived_reviewed	ABBR-005
SQ-8002	EQUIP-022		Que signifie D4 sur un programme de trot français ?	fr	fr-FR	racecard_reading	racecard_code_lookup	P1	concept_page_or_racecard_guide	source_derived_reviewed	ABBR-005
SQ-8003	EQUIP-029		Que signifie DA dans le trot français ?	fr	fr-FR	abbreviation	abbreviation_lookup	P1	concept_page_abbreviation_section	source_derived_reviewed	ABBR-006
SQ-8004	EQUIP-029		Que signifie DA sur un programme de trot français ?	fr	fr-FR	racecard_reading	racecard_code_lookup	P1	concept_page_or_racecard_guide	source_derived_reviewed	ABBR-006
SQ-8005	EQUIP-030		Que signifie DP dans le trot français ?	fr	fr-FR	abbreviation	abbreviation_lookup	P1	concept_page_abbreviation_section	source_derived_reviewed	ABBR-007
SQ-8006	EQUIP-030		Que signifie DP sur un programme de trot français ?	fr	fr-FR	racecard_reading	racecard_code_lookup	P1	concept_page_or_racecard_guide	source_derived_reviewed	ABBR-007
SQ-8007	SURF-045		Que signifie PSF dans les courses hippiques françaises ?	fr	fr-FR	abbreviation	abbreviation_lookup	P1	concept_page_abbreviation_section	source_derived_reviewed	ABBR-017
SQ-8008	SURF-045		Que signifie PSF sur un programme de courses français ?	fr	fr-FR	racecard_reading	racecard_code_lookup	P1	concept_page_or_racecard_guide	source_derived_reviewed	ABBR-017
SQ-8009	HORSE-032		Que signifie AQPS dans les courses hippiques françaises ?	fr	fr-FR	abbreviation	abbreviation_lookup	P1	concept_page_abbreviation_section	source_derived_reviewed	ABBR-018
SQ-8010	HORSE-032		Que signifie AQPS sur un programme de courses français ?	fr	fr-FR	racecard_reading	racecard_code_lookup	P1	concept_page_or_racecard_guide	source_derived_reviewed	ABBR-018
