query_id	concept_id	related_concept_id	query	language	country_or_locale	search_intent	query_type	priority	future_target	review_state	source_basis
SQ-3001	ENTRY-030		what is Post position in horse racing	en	global/en	definition	direct_definition	P0	concept_page	wave2_template_reviewed	active_source_verified_p0_concept
SQ-3002	ENTRY-030		競馬の「ポストポジション」とは	ja	ja-JP	definition	direct_definition	P0	concept_page	wave2_template_reviewed	active_source_verified_p0_concept
SQ-3003	ENTRY-031		what is Emergency acceptor in horse racing	en	global/en	definition	direct_definition	P0	concept_page	wave2_template_reviewed	active_source_verified_p0_concept
SQ-3004	ENTRY-031		競馬の「エマージェンシー／補欠出走馬」とは	ja	ja-JP	definition	direct_definition	P0	concept_page	wave2_template_reviewed	active_source_verified_p0_concept
SQ-3005	EQUIP-026		what is Hopples in horse racing	en	global/en	definition	direct_definition	P0	concept_page	wave2_template_reviewed	active_source_verified_p0_concept
SQ-3006	EQUIP-026		競馬の「ホップル」とは	ja	ja-JP	definition	direct_definition	P0	concept_page	wave2_template_reviewed	active_source_verified_p0_concept
SQ-3007	EQUIP-027		what is Banei racing sled in horse racing	en	global/en	definition	direct_definition	P0	concept_page	wave2_template_reviewed	active_source_verified_p0_concept
SQ-3008	EQUIP-027		競馬の「競走用ソリ」とは	ja	ja-JP	definition	direct_definition	P0	concept_page	wave2_template_reviewed	active_source_verified_p0_concept
SQ-3009	PRIZE-011		what is Class-determining earnings (JRA) in horse racing	en	global/en	definition	direct_definition	P0	concept_page	wave2_template_reviewed	active_source_verified_p0_concept
SQ-3010	PRIZE-011		競馬の「収得賞金」とは	ja	ja-JP	definition	direct_definition	P0	concept_page	wave2_template_reviewed	active_source_verified_p0_concept
SQ-3011	RESULT-030		what is Race form notation in horse racing	en	global/en	definition	direct_definition	P0	concept_page	wave2_template_reviewed	active_source_verified_p0_concept
SQ-3012	RESULT-030		競馬の「近走成績表記／フォーム記号列」とは	ja	ja-JP	definition	direct_definition	P0	concept_page	wave2_template_reviewed	active_source_verified_p0_concept
SQ-3013	RTYPE-045		what is Maiden Special Weight in horse racing	en	global/en	definition	direct_definition	P0	concept_page	wave2_template_reviewed	active_source_verified_p0_concept
SQ-3014	RTYPE-045		競馬の「メイデン・スペシャル・ウェイト」とは	ja	ja-JP	definition	direct_definition	P0	concept_page	wave2_template_reviewed	active_source_verified_p0_concept
SQ-3015	RTYPE-053		what is Claiming price in horse racing	en	global/en	definition	direct_definition	P0	concept_page	wave2_template_reviewed	active_source_verified_p0_concept
SQ-3016	RTYPE-053		競馬の「クレーミング価格」とは	ja	ja-JP	definition	direct_definition	P0	concept_page	wave2_template_reviewed	active_source_verified_p0_concept
SQ-3017	RTYPE-054		what is Benchmark race in horse racing	en	global/en	definition	direct_definition	P0	concept_page	wave2_template_reviewed	active_source_verified_p0_concept
SQ-3018	RTYPE-054		競馬の「ベンチマーク競走」とは	ja	ja-JP	definition	direct_definition	P0	concept_page	wave2_template_reviewed	active_source_verified_p0_concept
SQ-3019	RTYPE-058		what is Newcomer race (Japan) in horse racing	en	global/en	definition	direct_definition	P0	concept_page	wave2_template_reviewed	active_source_verified_p0_concept
SQ-3020	RTYPE-058		競馬の「新馬競走」とは	ja	ja-JP	definition	direct_definition	P0	concept_page	wave2_template_reviewed	active_source_verified_p0_concept
SQ-3021	RTYPE-059		what is 1-win class in horse racing	en	global/en	definition	direct_definition	P0	concept_page	wave2_template_reviewed	active_source_verified_p0_concept
SQ-3022	RTYPE-059		競馬の「1勝クラス」とは	ja	ja-JP	definition	direct_definition	P0	concept_page	wave2_template_reviewed	active_source_verified_p0_concept
SQ-3023	RTYPE-060		what is 2-win class in horse racing	en	global/en	definition	direct_definition	P0	concept_page	wave2_template_reviewed	active_source_verified_p0_concept
SQ-3024	RTYPE-060		競馬の「2勝クラス」とは	ja	ja-JP	definition	direct_definition	P0	concept_page	wave2_template_reviewed	active_source_verified_p0_concept
SQ-3025	RTYPE-061		what is 3-win class in horse racing	en	global/en	definition	direct_definition	P0	concept_page	wave2_template_reviewed	active_source_verified_p0_concept
