verification_id	concept_id	category_id	previous_status	new_status	source_ids	verified_at	note
WSV-001	WELF-002	WELF	candidate	source_verified	WF-SRC-001;WF-SRC-003	2026-09-11	Current BHA and HISA material directly supports regulatory pre-race veterinary examinations; procedures remain jurisdiction-specific.
WSV-002	WELF-003	WELF	candidate	source_verified	WF-SRC-002;WF-SRC-003	2026-09-11	BHA and HISA directly document post-race veterinary checks/examinations.
WSV-003	WELF-004	WELF	candidate	source_verified	WF-SRC-001	2026-09-11	BHA current pre-race guidance explicitly assesses gait/movement and signs of lameness; severity and suitability decisions remain veterinary/jurisdiction specific.
WSV-004	WELF-005	WELF	candidate	source_verified	WF-SRC-003;WF-SRC-004	2026-09-11	Unsound is verified as a current HISA regulatory-veterinary category; scope narrowed from a broad industry label to US/HISA/Regional usage.
WSV-005	WELF-006	WELF	candidate	source_verified	WF-SRC-001;WF-SRC-004	2026-09-11	BHA documents withdrawal on veterinary grounds and HISA documents scratches by Regulatory Veterinarians.
WSV-006	WELF-010	WELF	candidate	source_verified	WF-SRC-005;P0-SRC-063	2026-09-11	HIWU documents uniform official sample collection processes under ADMC; IFHA evidence supports the broader medication-control context.
WSV-007	WELF-011	WELF	candidate	source_verified	WF-SRC-006;WF-SRC-011	2026-09-11	BHA directly documents current whip-use limits and controls; IFHA treats whip use as a horse-welfare practice area.
WSV-008	WELF-013	WELF	candidate	source_verified	WF-SRC-007	2026-09-11	HISA directly documents racing/training surface monitoring, testing, maintenance and safety governance.
WSV-009	WELF-014	WELF	candidate	source_verified	WF-SRC-007;WF-SRC-008;WF-SRC-010	2026-09-11	Current HISA and Racing Australia material support race-day/racetrack injury reporting as a descriptive safety class; reporting windows remain local.
WSV-010	WELF-015	WELF	candidate	source_verified	WF-SRC-008;WF-SRC-011	2026-09-11	HISA directly reports racing/training-related equine fatalities and IFHA identifies injury/fatality monitoring as an international welfare practice.
WSV-011	WELF-016	WELF	candidate	source_verified	WF-SRC-009;WF-SRC-008;WF-SRC-011	2026-09-11	BHA directly addresses welfare-based euthanasia; HISA/IFHA corroborate euthanasia in racing welfare and fatality-prevention contexts.
WSV-012	WELF-017	WELF	candidate	source_verified	WF-SRC-009;WF-SRC-010	2026-09-11	BHA and Racing Australia directly document retirement and multiple post-racing pathways.
WSV-013	WELF-018	WELF	candidate	source_verified	WF-SRC-009;WF-SRC-010	2026-09-11	BHA documents responsible rehoming/retraining and Racing Australia records assisted rehoming as a current retirement pathway.
