query_id	concept_id	related_concept_id	query	language	country_or_locale	search_intent	query_type	priority	future_target	review_state	source_basis
SQ-7001	RTYPE-011		How does a claiming race work, and why can entered horses be claimed?	en	en-US	how_why	mechanic_explainer	P1	concept_or_explainer_sections	source_derived_reviewed	RT-SRC-001;RT-SRC-002;RT-SRC-003
SQ-7002	RTYPE-011		クレーミング競走はどういう仕組みで、なぜ出走馬を購入請求できる？	ja	ja-JP	how_why	mechanic_explainer	P1	concept_or_explainer_sections	source_derived_reviewed	RT-SRC-001;RT-SRC-002;RT-SRC-003
SQ-7003	ENTRY-009		How does a maximum field or safety factor work in horse racing, and why can it vary by race or course?	en	en-GB	how_why	mechanic_explainer	P1	concept_or_explainer_sections	source_derived_reviewed	VE-SRC-001
SQ-7004	ENTRY-009		競馬の最大出走頭数（safety factor）はどう決まり、なぜ競走やコースで異なる？	ja	ja-JP	how_why	mechanic_explainer	P1	concept_or_explainer_sections	source_derived_reviewed	VE-SRC-001
SQ-7005	RTYPE-054		How does a Benchmark race use ratings to set handicap weights in Australia and New Zealand?	en	en-AU-NZ	how_why	mechanic_explainer	P1	concept_or_explainer_sections	source_derived_reviewed	AUNZ-SRC-002;AUNZ-LBL-006
SQ-7006	RTYPE-054		豪州・ニュージーランドのBenchmark raceではRatingをどう使って負担重量を決める？	ja	ja-JP	how_why	mechanic_explainer	P1	concept_or_explainer_sections	source_derived_reviewed	AUNZ-SRC-002;AUNZ-LBL-006
SQ-7007	RUN-045		How does départ à l’autostart work in French harness racing?	en	fr-FR	how_why	mechanic_explainer	P1	concept_or_explainer_sections	source_derived_reviewed	AH-SRC-004;AH-SRC-005;AH-LBL-014
SQ-7008	RUN-045		フランスの繋駕競馬でdépart à l’autostartはどういう発走方式？	ja	ja-JP	how_why	mechanic_explainer	P1	concept_or_explainer_sections	source_derived_reviewed	AH-SRC-004;AH-SRC-005;AH-LBL-014
SQ-7009	MEET-040		How does Réunion Premium affect betting distribution in French racing?	en	fr-FR	how_why	mechanic_explainer	P1	concept_or_explainer_sections	source_derived_reviewed	FR-SRC-001;FR-SRC-006
SQ-7010	MEET-040		フランス競馬のRéunion Premiumでは投票提供範囲がどう違う？	ja	ja-JP	how_why	mechanic_explainer	P1	concept_or_explainer_sections	source_derived_reviewed	FR-SRC-001;FR-SRC-006
SQ-7011	SURF-044		How does 馬場水分 affect sled resistance and race times in Banei racing?	en	ja-JP	how_why	mechanic_explainer	P1	concept_or_explainer_sections	source_derived_reviewed	JP2-LBL-018
SQ-7012	SURF-044		ばんえい競馬の馬場水分は、そりの抵抗や走破時計にどう影響する？	ja	ja-JP	how_why	mechanic_explainer	P1	concept_or_explainer_sections	source_derived_reviewed	JP2-LBL-018
SQ-7013	RESULT-030		How do you read the order of a horse’s Musique in French racing form?	en	fr-FR	how_why	mechanic_explainer	P1	concept_or_explainer_sections	source_derived_reviewed	REL2-LBL-008
SQ-7014	RESULT-030		フランス競馬のMusiqueは成績をどの順番で読む？	ja	ja-JP	how_why	mechanic_explainer	P1	concept_or_explainer_sections	source_derived_reviewed	REL2-LBL-008
SQ-7015	WEIGHT-001		Why is the Japanese racing term 斤量 still used when the official term is 負担重量?	en	ja-JP	how_why	mechanic_explainer	P1	concept_or_explainer_sections	source_derived_reviewed	JP-LBL-016;JP-LBL-017
SQ-7016	WEIGHT-001		JRAで正式用語が「負担重量」なのに「斤量」という言葉も使われるのはなぜ？	ja	ja-JP	how_why	mechanic_explainer	P1	concept_or_explainer_sections	source_derived_reviewed	JP-LBL-016;JP-LBL-017
