label_id	concept_id	language	locale	script	label	label_type	jurisdiction	authority	discipline	register	currentness	verification_status	source_id	note
FR-LBL-001	DISC-001	fr	fr-FR	Latn	Plat	official	France	France Galop	Flat	formal	current	source_verified	FR-SRC-006	Official discipline label.
FR-LBL-002	DISC-003	fr	fr-FR	Latn	Obstacle	official	France	France Galop	Jump	formal	current	source_verified	FR-SRC-006	Official umbrella discipline label.
FR-LBL-003	DISC-005	fr	fr-FR	Latn	Haies	official	France	France Galop	Jump	formal	current	source_verified	FR-SRC-002	French hurdle-racing label.
FR-LBL-004	DISC-006	fr	fr-FR	Latn	Steeple-chase	official	France	France Galop	Jump	formal	current	source_verified	FR-SRC-002	French official spelling in programme material.
FR-LBL-005	DISC-007	fr	fr-FR	Latn	Cross-country	official	France	France Galop	Jump	formal	current	source_verified	FR-SRC-002	French official discipline label.
FR-LBL-006	RTYPE-081	fr	fr-FR	Latn	Course d'inédits	official	France	France Galop	Flat	formal	current	source_verified	FR-SRC-002	Preserve original French phrase.
FR-LBL-007	RTYPE-001	fr	fr-FR	Latn	Maiden	regional_official	France	France Galop	Flat	formal	current	source_verified	FR-SRC-002	France Galop uses the English-origin term in French programme explanation.
FR-LBL-008	RTYPE-008	fr	fr-FR	Latn	Course à conditions	regional_official	France	France Galop	Flat/Jump	formal	current	source_verified	FR-SRC-002	French conditions-race label.
FR-LBL-009	RTYPE-011	fr	fr-FR	Latn	Course à réclamer	regional_official	France	France Galop	Flat/Jump	formal	current	source_verified	FR-SRC-002	France-specific claiming mechanism needs jurisdiction definition.
FR-LBL-010	RTYPE-011	fr	fr-FR	Latn	À réclamer	short_form	France	France Galop	Flat/Jump	programme	current	source_verified	FR-SRC-007	Operational programme wording.
FR-LBL-011	RTYPE-082	fr	fr-FR	Latn	Handicap de catégorie	official	France	France Galop	Flat/Jump	formal	current	source_verified	FR-SRC-009	Current 2026 programme term.
FR-LBL-012	RTYPE-083	fr	fr-FR	Latn	Handicap divisé	official	France	France Galop	Flat/Jump	formal	current	source_verified	FR-SRC-007	Current 2026 programme term.
FR-LBL-013	RTYPE-018	fr	fr-FR	Latn	Groupe 1	regional_display	France	France Galop	Flat/Jump	formal	current	source_verified	FR-SRC-002	French Group 1 label.
FR-LBL-014	RTYPE-019	fr	fr-FR	Latn	Groupe 2	regional_display	France	France Galop	Flat/Jump	formal	current	source_verified	FR-SRC-002	French Group 2 label.
FR-LBL-015	RTYPE-020	fr	fr-FR	Latn	Groupe 3	regional_display	France	France Galop	Flat/Jump	formal	current	source_verified	FR-SRC-002	French Group 3 label.
FR-LBL-016	RTYPE-015	fr	fr-FR	Latn	Listed Race	regional_official	France	France Galop	Flat/Jump	formal	current	source_verified	FR-SRC-002	France Galop programme terminology.
FR-LBL-017	MEET-040	fr	fr-FR	Latn	Réunion Premium	official	France	France Galop	ALL	formal	current	source_verified	FR-SRC-001	France-specific meeting/distribution category.
FR-LBL-018	MEET-041	fr	fr-FR	Latn	Réunion PMH	official	France	France Galop	ALL	formal	current	source_verified	FR-SRC-001	PMH = Pari Mutuel Hippodrome in France Galop explanation.
FR-LBL-019	SURF-045	fr	fr-FR	Latn	Piste en sable fibré	official	France	France Galop	Flat	formal	current	source_verified	FR-SRC-001	Synthetic/all-weather regional surface.
FR-LBL-020	SURF-045	fr	fr-FR	Latn	PSF	official_abbreviation	France	France Galop	Flat	formal	current	source_verified	FR-SRC-001	Official acronym.
FR-LBL-021	SURF-046	fr	fr-FR	Latn	Indice pénétrométrique	official	France	France Galop	Flat/Jump	formal	current	source_verified	FR-SRC-004	Numeric turf-state measure.
FR-LBL-022	SURF-058	fr	fr-FR	Latn	Pénétromètre	official	France	France Galop	Flat/Jump	formal	current	source_verified	FR-SRC-001	Measurement device; separate from index.
FR-LBL-023	SURF-047	fr	fr-FR	Latn	Très léger	official_condition	France	France Galop	Flat/Jump	formal	current_2026	source_verified	FR-SRC-004	French penetrometer condition scale.
FR-LBL-024	SURF-048	fr	fr-FR	Latn	Léger	official_condition	France	France Galop	Flat/Jump	formal	current_2026	source_verified	FR-SRC-004	French penetrometer condition scale.
FR-LBL-025	SURF-049	fr	fr-FR	Latn	Bon léger	official_condition	France	France Galop	Flat/Jump	formal	current_2026	source_verified	FR-SRC-004	French penetrometer condition scale.
FR-LBL-026	SURF-015	fr	fr-FR	Latn	Bon	regional_condition	France	France Galop	Flat/Jump	formal	current_2026	source_verified	FR-SRC-004	France-specific numeric definition attached to broader Good concept.
FR-LBL-027	SURF-050	fr	fr-FR	Latn	Bon souple	official_condition	France	France Galop	Flat/Jump	formal	current_2026	source_verified	FR-SRC-004	French penetrometer condition scale.
FR-LBL-028	SURF-017	fr	fr-FR	Latn	Souple	regional_condition	France	France Galop	Flat/Jump	formal	current_2026	source_verified	FR-SRC-004	France-specific numeric definition attached to broader Soft concept.
FR-LBL-029	SURF-051	fr	fr-FR	Latn	Très souple	official_condition	France	France Galop	Flat/Jump	formal	current_2026	source_verified	FR-SRC-004	French penetrometer condition scale.
FR-LBL-030	SURF-052	fr	fr-FR	Latn	Collant	official_condition	France	France Galop	Flat/Jump	formal	current_2026	source_verified	FR-SRC-004	No direct English Going term asserted.
