concept_id	category_id	category_ja	canonical_en	preferred_ja	working_definition_ja	concept_kind	priority	jurisdiction_scope	discipline_scope	translation_status	verification_status	source_required	public_ready	notes
RTYPE-001	RTYPE	レースの種類・格・条件	Maiden race	未勝利戦	所定の定義で未勝利の馬を対象とする競走。定義は管轄により異なる。	concept	P0	GLOBAL	ALL	working_equivalent	source_verified	yes	no	P0-SRC-027 verifies the race-type concept; exact maiden eligibility remains jurisdiction-specific.
RTYPE-002	RTYPE	レースの種類・格・条件	Maiden claiming race	メイデン・クレーミング	主に北米で、未勝利馬を対象とし、出走馬が所定価格でclaimの対象となる競走。	concept	P2	North America	Flat	working_equivalent	source_verified	yes	no	RT-SRC-001;RT-SRC-002. Equibase directly defines Maiden Claiming as a race for horses that have never won and are eligible to be claimed; current 2026 entries confirm operational use.
RTYPE-003	RTYPE	レースの種類・格・条件	Novice race	ノービス競走	主に英国・アイルランドの制度で、過去の勝利や出走経験など所定の条件によりnovice資格を持つ馬を対象とする競走。	concept	P1	GB/IRE/Regional	ALL	working_equivalent	source_verified	yes	no	RT-SRC-003;RT-SRC-004. BHA defines Novice races and IHRB publishes current 2026/27 novice definitions; the eligibility boundary is jurisdiction-specific.
RTYPE-004	RTYPE	レースの種類・格・条件	Beginners Chase	ビギナーズ・チェイス	主に英国・アイルランドで、原則としてチェイス未勝利馬を対象とするスティープルチェイス。	concept	P2	GB/IRE	Jump	working_equivalent	source_verified	yes	no	RT-SRC-004;RT-SRC-006. BHA defines a Beginners Chase as restricted to horses that have never won a steeple chase; current IHRB reporting confirms Irish operational use.
RTYPE-006	RTYPE	レースの種類・格・条件	National Hunt Flat Race	ナショナルハント平地競走	英国・アイルランドのNational Hunt体系で、障害を飛越せず平地で行われる競走。出走資格は各制度で定められる。	concept	P2	GB/IRE	Jump	working_equivalent	source_verified	yes	no	RT-SRC-004;RT-SRC-006. BHA directly defines National Hunt Flat races and IHRB rules/current usage recognize Irish National Hunt Flat races.
RTYPE-007	RTYPE	レースの種類・格・条件	Handicap race	ハンデキャップ競走	能力差の均衡を図る目的で負担重量等を調整する競走。	concept	P0	GLOBAL	ALL	working_equivalent	source_verified	yes	no	P0-SRC-027 and P0-SRC-022 support handicap races and ability-based weight allocation; implementations vary by jurisdiction.
RTYPE-008	RTYPE	レースの種類・格・条件	Conditions race	条件競走	年齢・性別・勝利実績など所定条件で資格・重量を定める競走。	concept	P0	GLOBAL	ALL	working_equivalent	source_verified	yes	no	P0-SRC-027 verifies conditions races; individual eligibility and weight conditions remain jurisdiction-specific.
RTYPE-009	RTYPE	レースの種類・格・条件	Allowance race	アローワンス競走	主に北米で、競走条件により出走資格や負担重量を定める非クレーミング系の競走。個別条件は競走ごとに異なる。	concept	P1	North America	Flat	working_equivalent	source_verified	yes	no	RT-SRC-001;RT-SRC-002. Equibase current material uses Allowance as an operational race type and describes allowance conditions; the definition is kept North American rather than treated as a universal synonym for Conditions race.
RTYPE-010	RTYPE	レースの種類・格・条件	Starter allowance	スターター・アローワンス	主に北米で、過去に指定されたclaiming price以下の競走へ出走した馬などを対象とし、allowance条件で重量を定める競走。	concept	P2	North America	Flat	working_equivalent	source_verified	yes	no	RT-SRC-001;RT-SRC-002. Equibase directly defines Starter Allowance and current 2026 entries confirm operational use.
RTYPE-011	RTYPE	レースの種類・格・条件	Claiming race	クレーミング競走	主に北米等で、出走馬が競走条件に定められた価格で購入請求の対象となる競走。	concept	P1	North America/Regional	Flat	working_equivalent	source_verified	yes	no	RT-SRC-001;RT-SRC-002;RT-SRC-003. Equibase directly defines Claiming races and IHRB separately confirms claiming-race operation; claim procedures remain jurisdiction-specific.
