concept_id	category_id	category_ja	canonical_en	preferred_ja	working_definition_ja	concept_kind	priority	jurisdiction_scope	discipline_scope	translation_status	verification_status	source_required	public_ready	notes
RTYPE-081	RTYPE	レースの種類・格・条件	Course d'inédits	Course d'inédits（初出走馬競走）	フランスで競走経験のない馬を対象に用いられるデビュー段階の競走区分。	concept	P1	France	Flat	no_direct_equivalent	source_verified	yes	no	FR-SRC-002. Preserve French headword; do not flatten into Maiden.
RTYPE-082	RTYPE	レースの種類・格・条件	Handicap de catégorie	Handicap de catégorie	France Galopの番組で、handicapeurが付与するvaleurの所定範囲・上限等を出走資格に用いるハンデキャップ区分。	concept	P1	France	Flat/Jump	no_direct_equivalent	source_verified	yes	no	FR-SRC-009 current 2026 examples explicitly state valeur qualification limits.
RTYPE-083	RTYPE	レースの種類・格・条件	Handicap divisé	Handicap divisé	一つのハンデキャップ登録群を複数の「épreuve」に分けて実施するフランスの番組区分。	concept	P1	France	Flat/Jump	no_direct_equivalent	source_verified	yes	no	FR-SRC-005/007/009 show current 2026 first/second-épreuve operation.
MEET-040	MEET	開催・日程・公式文書	Réunion Premium	Réunion Premium	France GalopでPMUのオフライン網を含む広い投票提供対象となる開催区分。	concept	P1	France	ALL	no_direct_equivalent	source_verified	yes	no	FR-SRC-001/006. Betting/distribution scope is jurisdiction-specific.
MEET-041	MEET	開催・日程・公式文書	Réunion PMH	Réunion PMH	France Galopで主にhippodrome上のPari Mutuel Hippodromeに結び付く開催区分。	concept	P1	France	ALL	no_direct_equivalent	source_verified	yes	no	FR-SRC-001/005/006. 2026 programme distinguishes Premium and PMH.
SURF-045	SURF	走路・馬場状態	Piste en sable fibré	PSF（Piste en sable fibré）	フランス競馬で用いられる砂と合成素材等からなる全天候型の競走面。PSFと略記される。	concept	P0	France	Flat	no_direct_equivalent	source_verified	yes	no	FR-SRC-001/004. Narrower regional surface concept within synthetic/all-weather family.
SURF-046	SURF	走路・馬場状態	Indice pénétrométrique	Indice pénétrométrique（ペネトロメーター指数）	France Galopが芝馬場状態の測定・公表に用いるpénétromètreによる数値指標。	concept	P0	France	Flat/Jump	no_direct_equivalent	source_verified	yes	no	FR-SRC-001/004. Numeric scale maps to French terrain descriptions.
SURF-047	SURF	走路・馬場状態	Très léger (France)	Très léger（フランス馬場）	フランスの芝馬場状態尺度で最も軽い側の区分。2026 Premium仕様ではpénétromètre 2.2以下。	concept	P1	France	Flat/Jump	no_direct_equivalent	source_verified	yes	no	FR-SRC-004. Do not assert exact equivalence to Firm/Hard.
SURF-048	SURF	走路・馬場状態	Léger (France)	Léger（フランス馬場）	フランスの芝馬場状態区分。2026 Premium仕様ではpénétromètre 2.3-2.7。	concept	P1	France	Flat/Jump	no_direct_equivalent	source_verified	yes	no	FR-SRC-004.
SURF-049	SURF	走路・馬場状態	Bon léger (France)	Bon léger（フランス馬場）	フランスの芝馬場状態区分。2026 Premium仕様ではpénétromètre 2.8-2.9。	concept	P1	France	Flat/Jump	no_direct_equivalent	source_verified	yes	no	FR-SRC-004.
