verification_id	concept_id	category_id	previous_status	new_status	source_ids	verified_at	note
P0V5-001	RTYPE-014	RTYPE	candidate	source_verified	P0-SRC-064;P0-SRC-065;P0-SRC-066	2026-09-10	IFHA/Equibase evidence verifies Stakes race as an operational race classification, but the detailed definition is jurisdiction-dependent; scope narrowed away from forced global equivalence.
P0V5-002	SURF-004	SURF	candidate	source_verified	P0-SRC-064	2026-09-10	IFHA international data standard explicitly recognizes Sand as a natural non-turf surface within Dirt-or-Sand coding; Dirt/Sand taxonomy remains jurisdiction-dependent.
P0V5-003	SURF-005	SURF	candidate	source_verified	P0-SRC-064	2026-09-10	IFHA explicitly states that All-Weather must be synthetic, supporting Synthetic surface as the broader manufactured-surface concept without asserting universal category identity.
P0V5-004	SURF-006	SURF	candidate	source_verified	P0-SRC-064	2026-09-10	IFHA distinguishes All-Weather from Turf and Dirt and states that All-Weather must be synthetic; regional products and condition codes remain separate.
P0V5-005	MEET-022	MEET	candidate	source_verified	P0-SRC-064;P0-SRC-067	2026-09-10	IFHA uses Post position/Draw/Barrier Position and Racing Australia documents random barrier-number assignment; Draw remains scope-aware because procedures differ.
P0V5-006	MEET-023	MEET	candidate	source_verified	P0-SRC-068	2026-09-10	Current JRA authority news demonstrates the operational class of an official notice covering meeting changes and betting treatment; this is a descriptive document class, not a universal formal title.
P0V5-007	MEET-031	MEET	candidate	source_verified	P0-SRC-064;P0-SRC-066	2026-09-10	IFHA specifies scheduled race post time in local time and current Equibase exposes 1st Post Local as a distinct field.
P0V5-008	MEET-032	MEET	candidate	source_verified	P0-SRC-064;P0-SRC-066	2026-09-10	IFHA distinguishes local time from GMT and current Equibase publishes a Time Zone field; verified as racing-data semantics rather than a racing-rule term.
P0V5-009	MEET-034	MEET	candidate	source_verified	P0-SRC-069	2026-09-10	BHA explicitly describes fixtures as postponed and subsequently rescheduled, supporting Postponed as a lifecycle state distinct from Rescheduled.
P0V5-010	BET-004	BET	candidate	source_verified	P0-SRC-070	2026-09-10	Official Tote material verifies Tote betting as pool-based wagering distinct from bookmaker fixed odds; operator and regional senses remain scope-sensitive.
P0V5-011	BET-027	BET	candidate	source_verified	P0-SRC-071	2026-09-10	The Jockey Club defines Starting Price as the final odds prevailing when the race starts and states that SP is the abbreviation; BET-028 is therefore merged into BET-027 in the disposition layer.
