jurisdiction	authority	observed_term	mapping_target	mapping_type	verification_status	source_id	note
Hong Kong	HKJC	Class 1	RTYPE-084	new_concept	source_verified	HKKR-SRC-003	Current HKJC class system; exact rating band is race/season dependent.
Hong Kong	HKJC	第一班	RTYPE-084	local_language_label	source_verified	HKKR-SRC-013	Traditional-Chinese label.
Hong Kong	HKJC	Class 2	RTYPE-085	new_concept	source_verified	HKKR-SRC-003	Current class.
Hong Kong	HKJC	第二班	RTYPE-085	local_language_label	source_verified	HKKR-SRC-013	Traditional-Chinese label.
Hong Kong	HKJC	Class 3	RTYPE-086	new_concept	source_verified	HKKR-SRC-003	Current class.
Hong Kong	HKJC	第三班	RTYPE-086	local_language_label	source_verified	HKKR-SRC-013	Traditional-Chinese label.
Hong Kong	HKJC	Class 4	RTYPE-087	new_concept	source_verified	HKKR-SRC-003	Current class.
Hong Kong	HKJC	第四班	RTYPE-087	local_language_label	source_verified	HKKR-SRC-013	Traditional-Chinese label.
Hong Kong	HKJC	Class 5	RTYPE-088	new_concept	source_verified	HKKR-SRC-003	Current class.
Hong Kong	HKJC	第五班	RTYPE-088	local_language_label	source_verified	HKKR-SRC-013	Traditional-Chinese label.
Hong Kong	HKJC	Griffin Race	RTYPE-089	new_concept	source_verified	HKKR-SRC-014	Race type for Griffins.
Hong Kong	HKJC	新馬賽	RTYPE-089	local_language_label	source_verified	HKKR-SRC-007	Traditional-Chinese operational race label.
Hong Kong	HKJC	Griffin	HORSE-033	new_concept	source_verified	HKKR-SRC-001	Formal horse-status definition in current Rules.
Hong Kong	HKJC	Barrier Trial	TRAIN-011	jurisdiction_definition	source_verified	HKKR-SRC-001	Current formal pre-race trial requirement/use.
Hong Kong	HKJC	Stalls Test	TRAIN-026	new_concept	source_verified	HKKR-SRC-001	Separate from Barrier Trial.
Hong Kong	HKJC	Penetrometer Reading	SURF-059	new_concept	source_verified	HKKR-SRC-002	Reference input to turf Going classification.
Hong Kong	HKJC	度地儀指數	SURF-059	local_language_label	source_verified	HKKR-SRC-007	Traditional-Chinese operational label.
Hong Kong	HKJC	Clegg Hammer Reading	SURF-060	new_concept	source_verified	HKKR-SRC-002	AWT hardness reference.
Hong Kong	HKJC	硬度計指數	SURF-060	local_language_label	source_verified	HKKR-SRC-007	Traditional-Chinese operational label.
Hong Kong	HKJC	Good To Yielding	SURF-063	new_concept	source_verified	HKKR-SRC-002	Independent official HK turf Going category G/Y.
Hong Kong	HKJC	好地至黏地	SURF-063	local_language_label	source_verified	HKKR-SRC-007	Traditional-Chinese current label.
Hong Kong	HKJC	Yielding	SURF-019	regional_definition	source_verified	HKKR-SRC-002	HK turf scale category Y.
Hong Kong	HKJC	黏地	SURF-019	local_language_label	source_verified	HKKR-SRC-007	Traditional-Chinese Yielding label.
Hong Kong	HKJC	Rain affected	SURF-061	new_concept	source_verified	HKKR-SRC-002	HK AWT state, code RA.
Hong Kong	HKJC	RA	SURF-061	official_code	source_verified	HKKR-SRC-002	AWT code.
Hong Kong	HKJC	Normal watering	SURF-062	new_concept	source_verified	HKKR-SRC-002	HK AWT state, code NW.
Hong Kong	HKJC	NW	SURF-062	official_code	source_verified	HKKR-SRC-002	AWT code.
Hong Kong	HKJC	WF	SURF-022	regional_code	source_verified	HKKR-SRC-002	HK AWT Wet fast code.
Hong Kong	HKJC	FT	SURF-021	regional_code	source_verified	HKKR-SRC-002	HK AWT Fast code.
Hong Kong	HKJC	SL	SURF-034	regional_code	source_verified	HKKR-SRC-002	HK AWT Slow code; current master Slow came from North American harness and requires relation review before global merge assertion.
Hong Kong	HKJC	WS	NEW-REVIEW-HK-WET-SLOW	new_candidate	candidate	HKKR-SRC-002	Wet slow is official HK AWT state; create/split Concept in wave 2 after global surface relation review.
Hong Kong	HKJC	PPG	NEW-REVIEW-HK-PPG	new_candidate	candidate	HKKR-SRC-008	Current import-type code; formal expansion/contract requires dedicated source before Concept creation.
Korea	KRA	1등급	RTYPE-090	new_concept	source_verified	HKKR-SRC-009	Current 2026 KRA class.
Korea	KRA	2등급	RTYPE-091	new_concept	source_verified	HKKR-SRC-009	Current class.
Korea	KRA	3등급	RTYPE-092	new_concept	source_verified	HKKR-SRC-009	Current class.
Korea	KRA	4등급	RTYPE-093	new_concept	source_verified	HKKR-SRC-009	Current class.
Korea	KRA	5등급	RTYPE-094	new_concept	source_verified	HKKR-SRC-009	Current class.
Korea	KRA	6등급	RTYPE-095	new_concept	source_verified	HKKR-SRC-009	Current unrated/entry class system.
Korea	KRA	대상경주	RTYPE-096	new_concept	source_verified	HKKR-SRC-009	Korea-specific major race programme category.
Korea	KRA	특별경주	RTYPE-097	new_concept	source_verified	HKKR-SRC-009	Korea-specific special race category.
Korea	KRA	일반경주	RTYPE-098	new_concept	source_verified	HKKR-SRC-009	Korea-specific general race category.
Korea	KRA	별정 A	WEIGHT-032	new_concept	source_verified	HKKR-SRC-009	KRA weighting method.
Korea	KRA	별정 B	WEIGHT-033	new_concept	source_verified	HKKR-SRC-009	KRA rating-band weighting method.
Korea	KRA	별정 C	WEIGHT-034	new_concept	source_verified	HKKR-SRC-009	KRA Class 6 weighting method.
Korea	KRA	마령중량	WEIGHT-003	regional_definition	source_verified	HKKR-SRC-009	KRA age-weight terminology.
Korea	KRA	핸디캡중량	WEIGHT-002	regional_definition	source_verified	HKKR-SRC-009	KRA handicap-weight terminology.
Korea	KRA	레이팅	WEIGHT-022	regional_definition	source_verified	HKKR-SRC-009	Current KRA rating system.
Korea	KRA	국산마	HORSE-027	regional_label	source_verified	HKKR-SRC-011	Current domestic-bred label.
Korea	KRA	외산마	HORSE-028	regional_label	source_verified	HKKR-SRC-011	Current foreign-bred label.
Korea	KRA	미검	NEW-REVIEW-KR-UNRATED	new_candidate	candidate	HKKR-SRC-011	Current horse-database label; formal semantics need source extraction before Concept creation.
Korea/Jeju	KRA	제주마 / 한라마	NEW-REVIEW-KR-JEJU-HORSE-SYSTEM	new_candidate	candidate	HKKR-SRC-011	Regional Jeju racing/horse-class vocabulary should be a dedicated Korea wave 2 rather than guessed into mainland class Concepts.
