no	country	slug	note_file	note_status	evidence_cutoff	source_test_directory	source_test_status	technical_rank	public_display_ceiling	racing_structure	primary_organiser	observed_racecourses	observed_racing_codes	seasonality	public_information_model	fresh_research_required
01	UAE	uae	01-uae.md	draft	2026-06-01		complete	A+	A	central authority / multi-venue	Emirates Racing Authority / Emirates Racing	Meydan; Jebel Ali; Abu Dhabi Turf Club; Sharjah; Al Ain	not established by reviewed source-test evidence	defined season; current season requires revalidation	ERA season calendar and racecard routes	yes
02	South Korea	south-korea	02-south-korea.md	draft	2026-06-09	docs/timetable-source-tests/02-south-korea/	complete	A+	A	centralised KRA information system	Korea Racing Authority	Seoul; Busan-Gyeongnam; Jeju	venue-specific code context requires research	not established by reviewed source-test evidence	KRA date and meet-code race-day routes	yes
03	Turkey	turkey	03-turkey.md	draft	2026-06-10	docs/timetable-source-tests/03-turkey/	complete	A+	A	centralised TJK national programme	Türkiye Jokey Kulübü	Adana; Ankara; Antalya; Bursa; Diyarbakır; Elazığ; İstanbul; İzmir; Kocaeli; Şanlıurfa	Thoroughbred and Arabian context requires research	annual programme available; venue patterns require research	TJK annual and daily programme routes	yes
04	Morocco	morocco	04-morocco.md	draft	2026-06-10	docs/timetable-source-tests/04-morocco/	pending	unassigned	pending	SOREC-led; digital channels distributed	Société Royale d'Encouragement du Cheval	Casablanca-Anfa; Meknès; Marrakech; Rabat; Settat; El Jadida; Khemisset	not established	not established	SOREC website/API and FARAS app; stable timetable unresolved	yes
05	Chile	chile	05-chile.md	not_started		docs/timetable-source-tests/05-chile/										yes
06	Peru	peru	06-peru.md	not_started		docs/timetable-source-tests/06-peru/										yes
07	Mexico	mexico	07-mexico.md	not_started		docs/timetable-source-tests/07-mexico/										yes
08	Brazil	brazil	08-brazil.md	not_started		docs/timetable-source-tests/08-brazil/										yes
09	Bahrain	bahrain	09-bahrain.md	not_started		docs/timetable-source-tests/09-bahrain/										yes
10	Qatar	qatar	10-qatar.md	not_started		docs/timetable-source-tests/10-qatar/										yes
11	Oman	oman	11-oman.md	not_started		docs/timetable-source-tests/11-oman/										yes
12	Zimbabwe	zimbabwe	12-zimbabwe.md	not_started		docs/timetable-source-tests/12-zimbabwe/										yes
