jurisdiction	authority	observed_term	mapping_target	mapping_type	verification_status	source_id	note
France	France Galop	Plat	DISC-001	regional_official_label	source_verified	FR-SRC-006	Official French discipline label.
France	France Galop	Obstacle	DISC-003	regional_official_label	source_verified	FR-SRC-006	French umbrella label for jump racing.
France	France Galop	Haies	DISC-005	regional_official_label	source_verified	FR-SRC-002	French hurdle-racing label.
France	France Galop	Steeple-chase	DISC-006	regional_official_label	source_verified	FR-SRC-002	French official/programme form.
France	France Galop	Cross-country	DISC-007	regional_official_label	source_verified	FR-SRC-002	French official discipline label.
France	France Galop	Course d'inédits	RTYPE-081	new_concept	source_verified	FR-SRC-002	First-start/debut race; do not flatten into Maiden.
France	France Galop	Maiden	RTYPE-001	regional_official_label	source_verified	FR-SRC-002	France Galop uses Maiden separately from course d'inédits.
France	France Galop	Course à conditions	RTYPE-008	regional_definition	source_verified	FR-SRC-002	French conditions-race usage.
France	France Galop	Course à réclamer	RTYPE-011	regional_definition	source_verified	FR-SRC-002	French claiming-race mechanism.
France	France Galop	À réclamer	RTYPE-011	short_form	source_verified	FR-SRC-007	Programme short form.
France	France Galop	Handicap de catégorie	RTYPE-082	new_concept	source_verified	FR-SRC-009	Eligibility tied to valeur ranges/ceilings.
France	France Galop	Handicap divisé	RTYPE-083	new_concept	source_verified	FR-SRC-007	Split handicap into multiple épreuves.
France	France Galop	Groupe 1	RTYPE-018	regional_display	source_verified	FR-SRC-002	French Group 1 label.
France	France Galop	Groupe 2	RTYPE-019	regional_display	source_verified	FR-SRC-002	French Group 2 label.
France	France Galop	Groupe 3	RTYPE-020	regional_display	source_verified	FR-SRC-002	French Group 3 label.
France	France Galop	Listed Race	RTYPE-015	regional_official_label	source_verified	FR-SRC-002	France Galop programme wording.
France	France Galop	Réunion Premium	MEET-040	new_concept	source_verified	FR-SRC-001	France-specific meeting/distribution category.
France	France Galop	Réunion PMH	MEET-041	new_concept	source_verified	FR-SRC-001	France-specific PMH meeting category.
France	France Galop	Piste en sable fibré	SURF-045	new_concept	source_verified	FR-SRC-001	Regional synthetic/all-weather surface.
France	France Galop	PSF	SURF-045	official_abbreviation	source_verified	FR-SRC-001	Piste en sable fibré abbreviation.
France	France Galop	Indice pénétrométrique	SURF-046	new_concept	source_verified	FR-SRC-004	Numeric turf condition index.
France	France Galop	Pénétromètre	SURF-058	new_concept	source_verified	FR-SRC-001	Measurement device, distinct from index.
France	France Galop	Très léger	SURF-047	new_concept	source_verified	FR-SRC-004	French turf condition scale.
France	France Galop	Léger	SURF-048	new_concept	source_verified	FR-SRC-004	French turf condition scale.
France	France Galop	Bon léger	SURF-049	new_concept	source_verified	FR-SRC-004	French turf condition scale.
France	France Galop	Bon	SURF-015	regional_definition	source_verified	FR-SRC-004	France-specific numeric definition; not asserted exact to all Good systems.
France	France Galop	Bon souple	SURF-050	new_concept	source_verified	FR-SRC-004	French turf condition scale.
France	France Galop	Souple	SURF-017	regional_definition	source_verified	FR-SRC-004	France-specific numeric definition; not exact global Soft equivalence.
France	France Galop	Très souple	SURF-051	new_concept	source_verified	FR-SRC-004	French turf condition scale.
France	France Galop	Collant	SURF-052	new_concept	source_verified	FR-SRC-004	No direct English Going category asserted by France Galop.
France	France Galop	Lourd	SURF-018	regional_definition	source_verified	FR-SRC-004	France-specific numeric definition; not exact global Heavy equivalence.
France	France Galop	Très lourd	SURF-053	new_concept	source_verified	FR-SRC-004	French turf condition scale.
France	France Galop	Lent	SURF-054	new_concept	source_verified	FR-SRC-004	PSF-specific condition scale.
France	France Galop	Standard	SURF-055	new_concept	source_verified	FR-SRC-004	PSF-specific condition scale.
France	France Galop	Rapide	SURF-056	new_concept	source_verified	FR-SRC-004	PSF-specific condition scale.
France	France Galop	Très rapide	SURF-057	new_concept	source_verified	FR-SRC-004	PSF-specific condition scale.
France	France Galop	Poids	WEIGHT-001	regional_official_label	source_verified	FR-SRC-001	France Galop weight-carried terminology.
France	France Galop	Valeur	WEIGHT-022	regional_definition	source_verified	FR-SRC-001	Handicapper ability assessment expressed in kilos.
France	France Galop	Décharge	WEIGHT-007	regional_definition	source_verified	FR-SRC-001	Weight allowance for qualifying riders/jockeys.
France	France Galop	Surcharge	WEIGHT-018	regional_definition	source_verified	FR-SRC-001	Regional surcharge/overweight usage.
France	France Galop	Allocation	PRIZE-001	regional_official_label	source_verified	FR-SRC-001	Prize-money distribution term.
France	France Galop	AQPS	HORSE-032	new_concept	source_verified	FR-SRC-001	Autre Que Pur Sang; not one formal breed.
France	France Galop	Autre Que Pur Sang	HORSE-032	official_expansion	source_verified	FR-SRC-001	Expanded AQPS label.
France	France Galop	Œillères australiennes	EQUIP-028	new_concept	source_verified	FR-SRC-001	Regional equipment subtype.
France	France Galop	Agent de jockey	ROLE-031	new_concept	source_verified	FR-SRC-001	Professional jockey-agent role.
France	France Galop	Mise à pied	RESULT-029	new_concept	source_verified	FR-SRC-001	Riding-suspension sanction.
