resolution_id	usage_id	previous_target	resolved_target	resolution_action	verification_status	source_ids	note
REGRES-001	REG-007	RTYPE-005	RTYPE-006	retarget_after_concept_merge	source_verified	REG-SRC-001	Bumper moved from duplicate Concept to label/register usage on National Hunt Flat Race.
REGRES-002	REG-008	RTYPE-005	RTYPE-006	retarget_after_concept_merge	source_verified	GBIRE-SRC-008	Bumpers moved from duplicate Concept to label/register usage on National Hunt Flat Race.
REGRES-003	REG-022	NEW-REVIEW-US-RABBIT	RUN-046	promote_candidate_to_concept	source_verified	REG-SRC-008	Rabbit resolved as North American regional label for Tactical pacemaker for another runner.
REGRES-004	REG-041	NEW-REVIEW-FR-MUSIQUE	RESULT-030	promote_candidate_to_concept	source_verified	REL-SRC-001	Musique resolved as France regional label for Race form notation.
REGRES-005	REG-042	NEW-REVIEW-FR-LEADER-TACTICAL	RUN-046	promote_candidate_to_concept	source_verified	REG-SRC-011	France Galop tactical leader resolved to the same abstract tactical-pacemaker Concept as Rabbit, while generic leader senses remain out of scope.
REGRES-006	REG-046	NEW-REVIEW-AUNZ-MUDLARK	HORSE-034	promote_candidate_to_concept	source_verified	REG-SRC-012	Australian mudlark resolved to Wet-track aptitude.
REGRES-007	REG-059	NEW-REVIEW-AUNZ-MUDLARK	HORSE-034	promote_candidate_to_concept	source_verified	REG-SRC-014	New Zealand Mudlark corroborates the same Wet-track aptitude Concept.
REGRES-008	REG-049	NEW-REVIEW-AU-UNDER-DOUBLE-WRAPS	RUN-047	promote_candidate_to_concept	source_verified	REG-SRC-012	Under double wraps resolved as Australian regional label for Travelling easily.
REGRES-009	REG-055	NEW-REVIEW-NZ-ON-BIT	RUN-047	promote_candidate_to_concept	source_verified	REG-SRC-013	On the bit/bridle resolved to Travelling easily in the scoped NZ race-commentary sense.
REGRES-010	REG-056	NEW-REVIEW-NZ-OFF-BIT	RUN-048	promote_candidate_to_concept	source_verified	REG-SRC-013	Off the bit/bridle resolved to Under pressure in the scoped NZ race-commentary sense.
REGRES-011	REG-047	NEW-REVIEW-AU-BACKED-OFF-MAP	BET-043	promote_candidate_to_concept	source_verified	REG-SRC-012	Backed off the map resolved as Australian betting slang for Strong betting support.
REGRES-012	REG-016	NEW-REVIEW-JP-IPPONKABURI	BET-044	promote_candidate_to_concept	source_verified	REG-SRC-003	一本かぶり resolved to Dominant betting concentration; kept distinct from generic Favorite and from merely strong backing.
