source_id	jurisdiction	authority	source_class	title	url	checked_at	currentness	covers	note
BC-SRC-001	GB	British Horseracing Authority	official_race_type_glossary	Glossary of race types	https://www.britishhorseracing.com/regulation/glossary-of-race-types/	2026-09-11	current_reference	Selling race	BHA defines a Seller by the winner being offered for auction post-race and beaten horses being available to claim. Use for the British selling-race sense rather than a universal race type.
BC-SRC-002	GB	British Horseracing Authority	official_programme_update	Changes to 2026 two-year-old programme	https://www.britishhorseracing.com/changes-to-2026-two-year-old-programme/	2026-09-11	current_2026	Open race; Restricted race	BHA explicitly divides the 2026 two-year-old novice/maiden programme into Open and Restricted categories and publishes the banding used for Restricted races. Keep these Concepts scoped to the British programme rather than globalising the labels.
BC-SRC-003	US	Thoroughbred Owners and Breeders Association / American Graded Stakes Committee	national_grading_authority	TOBA Announces U.S. Graded and Listed Stakes for 2026	https://toba.org/toba-announces-u-s-graded-and-listed-stakes-for-2026/	2026-09-11	current_2026	Graded stakes	The American Graded Stakes Committee publishes the 2026 U.S. Grade I/II/III and Listed stakes classifications. Supports the U.S. Graded Stakes Concept and its separation from Listed status.
BC-SRC-004	GB	The Jockey Club	official_racing_glossary	Racing Explained — Glossary	https://int.thejockeyclub.co.uk/the-racing/racing-explained/glossary/	2026-09-11	current_reference	Tapeta; Polytrack; Fibresand; Weigh out; Weigh in	The current glossary describes All Weather racing and names Fibresand, Tapeta and Polytrack as all-weather surface types; it also directly explains Weighing In/Out before and after a race.
BC-SRC-005	GB	British Horseracing Authority	official_fixture_notice	BHA confirms six fixture alterations	https://www.britishhorseracing.com/press_releases/bha-confirms-six-fixture-alterations/	2026-09-11	historical_2021_currently_hosted	Fibresand; Tapeta	BHA states that Southwell's all-weather surface was being changed from Fibresand to Tapeta, supporting both product labels and Fibresand's historical British use.
BC-SRC-006	US	Equibase	official_2026_chart	Gulfstream Park chart — 4 September 2026 Race 2	https://tvg.equibase.com/static/chart/gps/GP090426USA2.html	2026-09-11	current_2026	Sealed track	Current Equibase chart publishes Track: Muddy (Sealed), establishing Sealed as an operational North American track-state label without implying one universal maintenance procedure.
BC-SRC-007	US/NY	New York Racing Association	official_race_report	Pennine Ridge contest moved off the turf	https://www.nyra.com/belmont/news/sainthood-wins-first-stakes-by-capturing-g2-pennine-ridge-contest-moved-off-the-turf	2026-09-11	historical_2021_currently_hosted	Off turf	NYRA describes a race originally scheduled for turf being moved to a dirt contest because of rain, supporting the North American moved/off-turf sense.
BC-SRC-008	Japan/GB	JRA	official_overseas_site_guidance	Racing Post — how to read results	https://www.jra.go.jp/keiba/overseas/website/racing_post/	2026-09-11	current_reference	Yard; Short head	JRA's Racing Post guide maps y to yard with metric conversion and shd to short head / 短アタマ in British results.
BC-SRC-009	GB	British Horseracing Authority	official_racecourse_instruction	Section 3 — The Racecourse	https://media.britishhorseracing.com/bha/Rules/BHAGI/Section3_The_Racecourse.pdf	2026-09-11	current_reference	Final furlong	BHA racecourse instructions use furlong and half-furlong marker requirements in the closing part of the course. Supports final-furlong course-stage terminology in British racing.
BC-SRC-010	Australia	Racing Australia	official_2026_race_programme	Caulfield race programme — 4 April 2026	https://www.racingaustralia.horse/FreeFields/RaceProgram.aspx?Key=2026Apr04%2CVIC%2CCaulfield	2026-09-11	current_2026	Maximum weight	Current Racing Australia programme publishes maximum/minimum weight conditions. Exact values and use remain race- and jurisdiction-specific.
BC-SRC-011	GB	The Jockey Club	official_racing_glossary	Racing Explained — Weighing In/Out	https://int.thejockeyclub.co.uk/the-racing/racing-explained/glossary/	2026-09-11	current_reference	Weigh out; Weigh in	The Jockey Club directly explains official pre-race and post-race weighing of jockey, kit and saddle by the Clerk of the Scales.
BC-SRC-012	GB	British Horseracing Authority	official_rules	Rules of Racing — Part 16 Weighing in	https://media.britishhorseracing.com/bha/Rules/BHA_Rules_Of_Racing.pdf	2026-09-11	current_reference	Underweight	BHA rules explicitly address disqualification for an underweight rider / a horse carrying less weight than required. Consequences remain rule- and jurisdiction-specific.
BC-SRC-013	Australia	Racing Australia	official_published_race_form	The Valley published form — 6 October 2023	https://publishingservices.racingaustralia.horse/ftp/ValleyForm_06102023_PROOF.pdf	2026-09-11	historical_2023_currently_hosted	Bottom weight	Official Racing Australia published form uses bottom weight in race analysis for the lightest end of the handicap scale. Supports the regional racing term without asserting a universal rule definition.
BC-SRC-014	Japan	JRA	official_glossary	競馬用語辞典 — レコードタイム	https://www.jra.go.jp/kouza/yougo/w313.html	2026-09-11	current_reference	Race record	JRA distinguishes course-record conditions and records for major races, supporting the specific-race record Concept while exact record partitions remain authority-specific.
