resolution_id	concept_id	category_id	previous_status	new_status	canonical_concept_id	moved_labels	source_ids	resolved_at	note
TRR12-001	DISC-017	DISC	candidate	retired_out_of_scope	DISC-002			2026-09-21	Endurance racing is an equestrian endurance discipline outside this horse-racing glossary scope; no label is moved to the racing anchor.
TRR12-002	RTYPE-035	RTYPE	candidate	retired_malformed	RTYPE-014			2026-09-21	Cup is a race-title element without one stable authority-backed generic race-type mechanic; retire the constructed seed and do not treat it as synonymous with Stakes race.
TRR12-003	HORSE-025	HORSE	candidate	source_verified			TR12-SRC-001	2026-09-21	NYRA identifies horses produced by an owner/breeder operation as homebreds; scope narrowed to North America/Regional.
TRR12-004	HORSE-027	HORSE	candidate	retired_generic	HORSE-028		TR-SRC-009	2026-09-21	Locally bred is an authority-dependent provenance descriptor, not one global horse category; jurisdiction-specific domestic/foreign classifications should be modeled from authority evidence.
TRR12-005	BREED-018	BREED	candidate	source_verified			TR12-SRC-006	2026-09-21	Keeneland explicitly states the entitlement conveyed by a lifetime breeding right; contractual details remain offering-specific.
TRR12-006	BREED-019	BREED	candidate	source_verified			TR12-SRC-007	2026-09-21	TOBA explicitly explains nicking as affinity/success between sire lines and broodmare-sire lines; it remains an analytical breeding concept rather than a deterministic rule.
TRR12-007	BREED-021	BREED	candidate	source_verified			TR12-SRC-007	2026-09-21	TOBA explicitly explains outcross breeding and its pedigree-distance framing; scope narrowed to North American Thoroughbred breeding education.
TRR12-008	VENUE-009	VENUE	candidate	source_verified			TR12-SRC-002	2026-09-21	BHA operationally distinguishes Doncaster's round course from the straight course/straight mile; geometry remains venue-specific.
TRR12-009	VENUE-010	VENUE	candidate	source_verified			TR12-SRC-003	2026-09-21	Churchill Downs' current venue profile explicitly describes a one-mile dirt oval track; scope remains North American/Regional.
TRR12-010	SURF-031	SURF	candidate	source_verified			TR12-SRC-004	2026-09-21	TrackMaster/Equibase Track Bias Reports explicitly model bias trends for handicapping analysis; Track bias is not treated as a physical track-condition code.
TRR12-011	DIST-017	DIST	candidate	retired_context	DIST-016		TR10-SRC-003	2026-09-21	Final fraction is retained as derived segment-timing context under verified Fractional time rather than a separate Concept.
TRR12-012	TRAIN-020	TRAIN	candidate	source_verified			TR12-SRC-005	2026-09-21	BHA veterinary guidance explicitly addresses active cooling and recovery around racing/exercise; detailed protocols remain condition-specific.
