verification_id	concept_id	category_id	previous_status	new_status	source_ids	verified_at	note
RTV-001	RTYPE-002	RTYPE	candidate	source_verified	RT-SRC-001;RT-SRC-002	2026-09-11	Equibase directly defines Maiden Claiming and current 2026 entries confirm active use.
RTV-002	RTYPE-003	RTYPE	candidate	source_verified	RT-SRC-003;RT-SRC-004	2026-09-11	BHA and IHRB support Novice race status with jurisdiction-specific eligibility rules.
RTV-003	RTYPE-004	RTYPE	candidate	source_verified	RT-SRC-004;RT-SRC-006	2026-09-11	BHA defines Beginners Chase and current IHRB reports confirm Irish use; canonical punctuation normalized to the BHA label.
RTV-004	RTYPE-006	RTYPE	candidate	source_verified	RT-SRC-004;RT-SRC-006;RT-SRC-007	2026-09-11	BHA and IHRB support National Hunt Flat race categories; Irish rules retain the I.N.H. Flat distinction.
RTV-005	RTYPE-009	RTYPE	candidate	source_verified	RT-SRC-001;RT-SRC-002	2026-09-11	Equibase material supports Allowance as a current North American race type and allowance-condition concept.
RTV-006	RTYPE-010	RTYPE	candidate	source_verified	RT-SRC-001;RT-SRC-002	2026-09-11	Equibase directly defines Starter Allowance and current 2026 entries confirm the category.
RTV-007	RTYPE-011	RTYPE	candidate	source_verified	RT-SRC-001;RT-SRC-002;RT-SRC-003	2026-09-11	Equibase defines Claiming and IHRB confirms separate claiming-race operation; procedures remain jurisdiction-specific.
RTV-008	RTYPE-012	RTYPE	candidate	source_verified	RT-SRC-001;RT-SRC-002;RT-SRC-003	2026-09-11	Equibase defines Optional Claiming and IHRB independently confirms optional claiming status declarations.
RTV-009	RTYPE-016	RTYPE	candidate	source_verified	RT-SRC-004;RT-SRC-005	2026-09-11	BHA explains the Pattern framework and IFHA supplies the current Group/Graded international quality framework.
RTV-010	RTYPE-019	RTYPE	candidate	source_verified	RT-SRC-004;RT-SRC-005	2026-09-11	Current BHA/IFHA material places Group 2 below Group 1 and above Group 3.
RTV-011	RTYPE-020	RTYPE	candidate	source_verified	RT-SRC-004;RT-SRC-005	2026-09-11	Current BHA/IFHA material identifies Group 3 as the next Group level below Group 2.
RTV-012	RTYPE-023	RTYPE	candidate	source_verified	RT-SRC-005	2026-09-11	Current IFHA Article 1 explicitly lists Grade 2 in the international Group/Graded hierarchy.
RTV-013	RTYPE-024	RTYPE	candidate	source_verified	RT-SRC-005	2026-09-11	Current IFHA Article 1 explicitly lists Grade 3 below Grade 2.
RTV-014	RTYPE-032	RTYPE	candidate	source_verified	RT-SRC-004	2026-09-11	BHA directly defines a Nursery as a Flat handicap limited to two-year-olds.
RTV-015	RTYPE-040	RTYPE	candidate	source_verified	RT-SRC-001	2026-09-11	Equibase directly defines Match Race coding as a race with exactly two original entries; scope narrowed from global/historical to North America/Regional.
