label_id	concept_id	language	locale	script	label	label_type	jurisdiction	authority	discipline	register	currentness	verification_status	source_id	note
BR-LBL-001	ROLE-017	pt	pt-BR	Latn	Árbitro de Partida	regional_official	Brazil	JCB / Regramento Nacional de Corridas	Flat	regulatory	current_reference	source_verified	BR-SRC-004	Art. 2 defines the official responsible for preparing and determining the race start; retained as Brazil-scoped terminology.
BR-LBL-002	ROLE-012	pt	pt-BR	Latn	Cavalariço	regional_official	Brazil	JCB / Regramento Nacional de Corridas	Flat	regulatory	current_reference	source_verified	BR-SRC-004	Art. 2 defines the professional assisting horse movement and daily care; employment structure is jurisdiction-specific.
BR-LBL-003	ROLE-009	pt	pt-BR	Latn	Criador	regional_official	Brazil	JCB / Regramento Nacional de Corridas	Flat	regulatory	current_reference	source_verified	BR-SRC-004	Art. 2 defines the breeder through ownership of the dam at the product's birth under the genealogical register; criterion remains Brazil-specific.
BR-LBL-004	VENUE-001	pt	pt-BR	Latn	Hipódromo	regional_official	Brazil	JCB / Regramento Nacional de Corridas	Flat	regulatory	current_reference	source_verified	BR-SRC-004	Art. 2 defines Hipódromo as the place where horse races are held.
BR-LBL-005	ENTRY-001	pt	pt-BR	Latn	Inscrição	regional_official	Brazil	JCB / Regramento Nacional de Corridas	Flat	regulatory	current_reference	source_verified	BR-SRC-004	Art. 2 defines Inscrição as recording a horse for participation in a specified race.
BR-LBL-006	ROLE-001	pt	pt-BR	Latn	Jóquei	regional_official	Brazil	JCB / Regramento Nacional de Corridas	Flat	regulatory	current_reference	source_verified	BR-SRC-004	Art. 2 defines a qualified autonomous professional who rides horses in training or races.
BR-LBL-007	ROLE-002	pt	pt-BR	Latn	Jóquei Aprendiz	regional_official	Brazil	JCB / Regramento Nacional de Corridas	Flat	regulatory	current_reference	source_verified	BR-SRC-004	Art. 2 defines the apprentice-jockey category; authorization and permitted races remain Brazilian rule details.
BR-LBL-008	ROLE-022	pt	pt-BR	Latn	Médico Veterinário	regional_official	Brazil	JCB / Regramento Nacional de Corridas	Flat	regulatory	current_reference	source_verified	BR-SRC-004	Art. 2 defines the turf professional responsible for veterinary assistance to racehorses.
BR-LBL-009	VENUE-024	pt	pt-BR	Latn	Partidor	regional_official	Brazil	JCB / Regramento Nacional de Corridas	Flat	regulatory	current_reference	source_verified	BR-SRC-004	Art. 2 explicitly cross-references Starting Gate and defines the equipment used to start the race.
BR-LBL-010	RTYPE-011	pt	pt-BR	Latn	Páreos a reclamar ou de claiming	regional_official	Brazil	JCB / Regramento Nacional de Corridas	Flat	regulatory	current_reference	source_verified	BR-SRC-004	Art. 2 defines the Brazilian claiming-race form; acquisition timing and procedure remain governed by local rules.
BR-LBL-011	ROLE-008	pt	pt-BR	Latn	Proprietário	regional_official	Brazil	JCB / Regramento Nacional de Corridas	Flat	regulatory	current_reference	source_verified	BR-SRC-004	Art. 2 defines the person or legal entity holding ownership rights over racehorses.
BR-LBL-012	ROLE-006	pt	pt-BR	Latn	Treinador	regional_official	Brazil	JCB / Regramento Nacional de Corridas	Flat	regulatory	current_reference	source_verified	BR-SRC-004	Art. 2 defines the autonomous professional qualified to care for and prepare horses under their responsibility.
