source_id	jurisdiction	authority	source_class	title	url	checked_at	currentness	covers	note
UAZA-SRC-001	UAE	Emirates Racing Authority	official_documents_index	Documents	https://emiratesracing.com/industry/documents	2026-09-10	current_reference	Rules in English/Arabic; Condition Book; Pattern Races; WFA scale; stud books	ERA states Rules exist in Arabic and English, with English controlling in disputes. Arabic PDF retrieval was unavailable in this research pass, so no Arabic terminology is invented.
UAZA-SRC-002	UAE	Emirates Racing Authority	official_racecard	Sharjah 2026-01-25 H.H. The Ruler of Sharjah Cup	https://emiratesracing.com/racecard/2026-01-25/all/declarations	2026-09-10	current_2025_26	PRESTIGE; Purebred Arabian; UAE-bred restriction; Safety Limit; Fast	Current operational evidence for PRESTIGE race type.
UAZA-SRC-003	UAE	Emirates Racing Authority	official_racecard	Al Ain 2026-04-10 Rated Maiden	https://emiratesracing.com/racecard/2026-04-10/5/entries	2026-09-10	current_2025_26	Rated Maiden title; MAIDEN type; Purebred Arabian; Safety Limit	Rated Maiden retained as review candidate because race-type field remains MAIDEN.
UAZA-SRC-004	UAE	Emirates Racing Authority	official_racecard	Abu Dhabi 2026-04-11 Wathba Stallions Cup	https://emiratesracing.com/racecard/2026-04-11/4/entries	2026-09-10	current_2025_26	For Private Owners; HANDICAP 0-70; Purebred Arabian; Yielding	Use For Private Owners as restricted-race regional condition, not a new base race type.
UAZA-SRC-005	UAE	Emirates Racing Authority	official_racecard	Al Ain 2026-03-22 Race 1	https://emiratesracing.com/racecard/2026-03-22/1/declarations	2026-09-10	current_2025_26	Track Condition Fast; Safety Limit; Rating; Weight; Rail Position	Operational terminology.
UAZA-SRC-006	UAE	Emirates Racing Authority	official_racecourse	Al Ain Racecourse	https://emiratesracing.com/racecourses/al-ain	2026-09-10	current_reference	Natural sand/dirt track; Trial; Unraced/Raced Purebred Arabians and Thoroughbreds	Trial terminology and surface context.
UAZA-SRC-007	UAE	Emirates Racing Authority	official_horse_database	Thoroughbred horse database	https://emiratesracing.com/horses/thoroughbred	2026-09-10	current_reference	Dirt Rating; Turf Rating; NOR; Thoroughbred/Purebred Arabian filters	NOR and surface-specific rating semantics require formal definition before new Concept creation.
UAZA-SRC-008	South Africa	NHA	official_rules	Rules of the National Horseracing Authority — 1 April 2026	https://www.nhra.co.za/media/attachments/2026/04/02/updated-rules-book-1-april-20261.pdf	2026-09-10	current_2026	Conditions Race; Handicap; Match; Plate; Weight-for-age; Barrier Trial; Merit Ratings	Current NHA rulebook. Direct PDF fetch was blocked in this pass; search-indexed rule text confirms cited clauses, so page-level extraction should be rechecked before public_ready.
UAZA-SRC-009	South Africa	NHA	official_annual_report	NHA Annual Report 2025	https://www.nhra.co.za/media/attachments/2026/01/06/nha-ar-2025.pdf	2026-09-10	current_context	South African Domestic Merit Ratings; Merit Rating appeals; Pattern race ratings	Current system context.
UAZA-SRC-010	South Africa	NHA	official_press_release	Handicapping Ratings Update 2025-11-11	https://www.nhra.co.za/index.php/press-release/1258-handicapping-ratings-update-236	2026-09-10	current_usage	Official merit rating; Progress Plate; plate-race protection	Confirms Progress Plate remains active terminology.
UAZA-SRC-011	South Africa	NHA	official_press_release	Handicapping Ratings Update 2026-01-13	https://www.nhra.co.za/index.php/press-release/1288-handicapping-ratings-update-243	2026-09-10	current_2026	Official merit rating; WFA; Grade 1	Current Merit Rating usage.
UAZA-SRC-012	South Africa	4Racing	licensed_operator_racecard	Fairview 2026-01-16 Computaform	https://az-pgl-dsi-ag-cdn-aztabstorage.4racing.com/tabonline-blob/FieldsPDF/ComputaformSA/FAIRVIEW%402026.01.16.pdf	2026-09-10	current_2026	Pinnacle Stakes; Maiden Juvenile Plate	Current operator programme evidence.
UAZA-SRC-013	South Africa	4Racing	licensed_operator_racecard	Vaal 2026-01-17 Computaform	https://az-pgl-dsi-ag-cdn-aztabstorage.4racing.com/tabonline-blob/FieldsPDF/ComputaformSA/VAAL%402026.01.17.pdf	2026-09-10	current_2026	MR 66 Handicap; Graduation Plate; Progress Plate	Current operator programme evidence.
UAZA-SRC-014	South Africa	4Racing	licensed_operator_racecard	Vaal 2026-01-08 Computaform	https://az-pgl-dsi-ag-cdn-aztabstorage.4racing.com/tabonline-blob/FieldsPDF/ComputaformSA/VAAL%402026.01.08.pdf	2026-09-10	current_2026	Maiden Plate; Graduation Plate	Current operator programme evidence.
UAZA-SRC-015	South Africa	4Racing	licensed_operator_racecard	Fairview 2025-11-21 Computaform	https://az-pgl-dsi-ag-cdn-aztabstorage.4racing.com/tabonline-blob/FieldsPDF/ComputaformSA/FAIRVIEW%402025.11.21.pdf	2026-09-10	current_2025_26	Novice Plate	Current-season operational evidence; retain lower priority pending 2026 confirmation.
