verification_id	concept_id	category_id	previous_status	new_status	source_ids	verified_at	note
TRV1-001	HORSE-018	HORSE	candidate	source_verified	TR-SRC-008	2026-09-11	Current Racing Australia data explicitly publishes four-year-old runners and Four-Years-Old and Upwards conditions; age conventions remain jurisdiction-specific.
TRV1-002	HORSE-028	HORSE	candidate	source_verified	TR-SRC-009	2026-09-11	JRA registration guidance directly uses foreign-bred horses; Concept scope narrowed from GLOBAL to Japan/Regional rather than generalizing one registration regime.
TRV1-003	HORSE-029	HORSE	candidate	source_verified	TR-SRC-006	2026-09-11	JRA's Equibase profile guide directly defines Ridgling as a male with one or both testes not descended into the scrotum.
TRV1-004	HORSE-030	HORSE	candidate	source_verified	TR-SRC-006;TR-SRC-007	2026-09-11	Current international ranking key gives R = Rig/Ridgling. Scope changed from an unsupported GB/IRE assumption to International/Regional reporting usage.
TRV1-005	BREED-014	BREED	candidate	source_verified	TR-SRC-012	2026-09-11	IFHA Article 12 records exact date and country of foaling in Stud Books, directly supporting Foaled as a pedigree-registration birth expression.
TRV1-006	ROLE-007	ROLE	candidate	source_verified	TR-SRC-010;TR-SRC-013	2026-09-11	JRA maps assistant trainer to Japanese racing-training terminology and current training-center guidance supports the Japan-specific assisting/training duty scope.
TRV1-007	ROLE-013	ROLE	candidate	source_verified	TR-SRC-011	2026-09-11	JRA current Racing School guidance directly defines stable staff and describes horse-care, stable and training-support duties; scope narrowed to Japan/Regional employment usage.
TRV1-008	VENUE-011	VENUE	candidate	source_verified	TR-SRC-001	2026-09-11	JRA overseas racing facilities terminology directly lists Chute as シュート／ポケット; venue geometry remains facility-specific.
TRV1-009	VENUE-016	VENUE	candidate	source_verified	TR-SRC-001	2026-09-11	JRA directly maps Bend to コーナー and relates it to Turn; regional label identity remains separate from the generic Turn Concept.
TRV1-010	VENUE-019	VENUE	candidate	source_verified	TR-SRC-004	2026-09-11	Current BHA instructions define Running Rails and prescribe placement/safety requirements; definition remains jurisdiction-scoped.
TRV1-011	VENUE-021	VENUE	candidate	source_verified	TR-SRC-004	2026-09-11	Current BHA instructions prescribe winning-post siting, alignment and safety/visibility, verifying the British racecourse-infrastructure sense.
TRV1-012	VENUE-031	VENUE	candidate	source_verified	TR-SRC-001	2026-09-11	JRA overseas racing facility terminology directly maps Grandstand to グランドスタンド.
TRV1-013	VENUE-033	VENUE	candidate	source_verified	TR-SRC-005	2026-09-11	JRA maps Barn to 厩舎／馬舎 and cross-references Stable; North American preferred-label scope is preserved rather than merging facility senses.
TRV1-014	VENUE-040	VENUE	candidate	source_verified	TR-SRC-003	2026-09-11	JRA directly maps Clockwise to 右回り and cross-references Right-handed; label and course-orientation Concepts remain distinct.
TRV1-015	VENUE-041	VENUE	candidate	source_verified	TR-SRC-002	2026-09-11	JRA directly maps Anti-clockwise to 左回り and cross-references Left-handed; regional spelling/usage remains explicit.
