definition_id	concept_id	jurisdiction	authority	discipline	effective_scope	definition_ja_summary	verification_status	source_id	note
FR-DEF-001	RTYPE-081	France	France Galop	Flat	current_reference	Course d'inéditsはフランスで競走経験のない馬を対象にするデビュー段階の競走で、Maidenとは別に扱われる。	source_verified	FR-SRC-002	Do not flatten into Maiden.
FR-DEF-002	RTYPE-082	France	France Galop	Flat/Jump	current_2026	Handicap de catégorieはhandicapeurが付与するvaleurの所定範囲・上限等を出走資格に用いるハンデキャップ区分。	source_verified	FR-SRC-009	Current 2026 programme evidence.
FR-DEF-003	RTYPE-083	France	France Galop	Flat/Jump	current_2026	Handicap diviséは一つのハンデキャップを複数のépreuveへ分けて実施する番組区分で、2026年番組ではPremière/Deuxième épreuve等が確認できる。	source_verified	FR-SRC-007	Current operational evidence.
FR-DEF-004	RTYPE-011	France	France Galop	Flat/Jump	current_reference	Course à réclamerでは出走馬が所定のréclamation価格で売却対象となり、その価格が負担重量にも関係する。	source_verified	FR-SRC-002	France-specific claiming procedure.
FR-DEF-005	RTYPE-008	France	France Galop	Flat/Jump	current_reference	Course à conditionsは性別・年齢・実績等の条件で負担重量や出走資格を定めるフランスの条件競走表現。	source_verified	FR-SRC-001	Poids entry describes conditions-race weighting.
FR-DEF-006	MEET-040	France	France Galop	ALL	current_reference	Réunion PremiumはPMUのオフライン網を含む広い投票提供対象となるFrance Galopの開催区分。	source_verified	FR-SRC-001	Distribution/betting access semantics are France-specific.
FR-DEF-007	MEET-041	France	France Galop	ALL	current_2026	Réunion PMHはPari Mutuel Hippodromeに結び付くFrance Galopの開催区分で、2026年番組でもPremiumと区別される。	source_verified	FR-SRC-001	Do not equate with generic non-premium meeting.
FR-DEF-008	SURF-045	France	France Galop	Flat	current_reference	PSFはPiste en sable fibréの略で、砂と合成素材等からなるフランスの全天候型競走面。	source_verified	FR-SRC-001	Regional synthetic-surface concept.
FR-DEF-009	SURF-046	France	France Galop	Flat/Jump	current_2026	Indice pénétrométriqueは複数地点でpénétromètreを用いて測定した芝馬場の柔らかさを数値化するフランスの指標。	source_verified	FR-SRC-004	Distinct from measuring device.
FR-DEF-010	SURF-058	France	France Galop	Flat/Jump	current_reference	Pénétromètreは芝馬場の柔らかさを測る器具で、その測定からindice pénétrométriqueとterrain descriptionが得られる。	source_verified	FR-SRC-001	Device vs index split.
FR-DEF-011	SURF-047	France	France Galop	Flat/Jump	current_2026	Très légerはフランス芝馬場尺度の最軽側で、2026 Premium仕様ではpénétromètre 2.2以下。	source_verified	FR-SRC-004	No exact foreign equivalent asserted.
FR-DEF-012	SURF-048	France	France Galop	Flat/Jump	current_2026	Légerはpénétromètre 2.3-2.7に対応するフランス芝馬場区分。	source_verified	FR-SRC-004	Regional condition.
FR-DEF-013	SURF-049	France	France Galop	Flat/Jump	current_2026	Bon légerはpénétromètre 2.8-2.9に対応するフランス芝馬場区分。	source_verified	FR-SRC-004	Regional condition.
FR-DEF-014	SURF-015	France	France Galop	Flat/Jump	current_2026	France GalopのBonはpénétromètre 3.0-3.2に対応する。英語圏のGoodと文字どおり同一基準とは扱わない。	source_verified	FR-SRC-004	Regional definition on broader Good concept.
FR-DEF-015	SURF-050	France	France Galop	Flat/Jump	current_2026	Bon soupleはpénétromètre 3.3-3.4に対応するフランス芝馬場区分。	source_verified	FR-SRC-004	Regional condition.
FR-DEF-016	SURF-017	France	France Galop	Flat/Jump	current_2026	France GalopのSoupleはpénétromètre 3.5-3.7に対応する。英語圏のSoftと完全同義にはしない。	source_verified	FR-SRC-004	Regional definition on broader Soft concept.
FR-DEF-017	SURF-051	France	France Galop	Flat/Jump	current_2026	Très soupleはpénétromètre 3.8-4.1に対応するフランス芝馬場区分。	source_verified	FR-SRC-004	Regional condition.
FR-DEF-018	SURF-052	France	France Galop	Flat/Jump	current_2026	Collantはpénétromètre 4.2-4.5に対応するフランス固有の馬場区分で、France Galopは英語Goingに直接対応する状態語がないことを説明している。	source_verified	FR-SRC-004	High-value no-direct-equivalent term.
FR-DEF-019	SURF-018	France	France Galop	Flat/Jump	current_2026	France GalopのLourdはpénétromètre 4.6-5.0に対応する。英語圏のHeavyと完全同義にはしない。	source_verified	FR-SRC-004	Regional definition on broader Heavy concept.
FR-DEF-020	SURF-053	France	France Galop	Flat/Jump	current_2026	Très lourdはpénétromètre 5.1以上に対応するフランス芝馬場尺度の最重側。	source_verified	FR-SRC-004	Regional condition.
FR-DEF-021	SURF-054	France	France Galop	Flat	current_2026	PSFのLentは2026 Premium仕様で指数65-74に対応する。	source_verified	FR-SRC-004	PSF-specific scale.
FR-DEF-022	SURF-055	France	France Galop	Flat	current_2026	PSFのStandardは2026 Premium仕様で指数75-89に対応する。	source_verified	FR-SRC-004	PSF-specific scale.
FR-DEF-023	SURF-056	France	France Galop	Flat	current_2026	PSFのRapideは2026 Premium仕様で指数90-104に対応する。	source_verified	FR-SRC-004	PSF-specific scale.
FR-DEF-024	SURF-057	France	France Galop	Flat	current_2026	PSFのTrès rapideは2026 Premium仕様で指数105-120に対応する。	source_verified	FR-SRC-004	PSF-specific scale.
FR-DEF-025	WEIGHT-022	France	France Galop	ALL	current_reference	Valeurはhandicapeurが馬の能力をkg単位で理論的に評価した数値で、handicapの負担重量決定に用いられる。	source_verified	FR-SRC-001	Regional label for Rating concept.
FR-DEF-026	WEIGHT-001	France	France Galop	ALL	current_reference	Poidsは競走で馬が負担する総重量を指し、騎手と装具を含むがFrance Galopの説明ではcasqueとcravacheを除く。	source_verified	FR-SRC-001	Jurisdiction-specific carried-weight definition.
FR-DEF-027	WEIGHT-007	France	France Galop	Flat/Jump	current_reference	Déchargeは若手騎手・apprenti等に認められる負担重量の減量。具体的な勝利数閾値はルール更新の影響を受けるため定義本体に固定しない。	source_verified	FR-SRC-001	Mutable numeric thresholds stay in dated evidence.
FR-DEF-028	HORSE-032	France	France Galop	Flat/Jump	current_reference	AQPSはAutre Que Pur Sangの略で、France Galopではpur-sang anglais以外の競走馬区分として用いられ、単一品種を意味しない。	source_verified	FR-SRC-001	No direct breed equivalence.
FR-DEF-029	EQUIP-028	France	France Galop	Flat/Jump	current_reference	Œillères australiennesは通常のœillèresより後方視界を緩やかに制限するフランスの馬具区分。	source_verified	FR-SRC-001	Regional equipment subtype.
FR-DEF-030	ROLE-031	France	France Galop	Flat/Jump	current_reference	Agent de jockeyは騎手を代理し、調教師との騎乗依頼交渉や移動・騎乗機会の調整を行う職業。	source_verified	FR-SRC-001	Regional professional role.
FR-DEF-031	RESULT-029	France	France Galop	Flat/Jump	current_reference	Mise à piedは騎手の危険・不適切行為等に対して一定期間の騎乗禁止を科すFrance Galopの懲戒措置。	source_verified	FR-SRC-001	Exact suspension mechanics are dated rule details.
