query_id	concept_id	related_concept_id	query	language	country_or_locale	search_intent	query_type	priority	future_target	review_state	source_basis
SQ-4001	RTYPE-017	RTYPE-021	Group race vs Grade race in horse racing: how do the regional grading systems differ?	en		comparison	concept_comparison	P1	comparison_or_concept_sections	source_derived_reviewed	REL-004
SQ-4002	RTYPE-017	RTYPE-021	競馬のGroup raceとGrade raceはどう違う？地域ごとの格付け体系の違い	ja	ja-JP	comparison	concept_comparison	P1	comparison_or_concept_sections	source_derived_reviewed	REL-004
SQ-4003	RTYPE-018	RTYPE-022	Group 1 vs Grade 1 in horse racing: what is the difference between the regional classifications?	en		comparison	concept_comparison	P1	comparison_or_concept_sections	source_derived_reviewed	REL-005
SQ-4004	RTYPE-018	RTYPE-022	競馬のGroup 1とGrade 1は何が違う？地域別の格付け区分	ja	ja-JP	comparison	concept_comparison	P1	comparison_or_concept_sections	source_derived_reviewed	REL-005
SQ-4005	RTYPE-019	RTYPE-023	Group 2 vs Grade 2 in horse racing: how do the regional classifications correspond?	en		comparison	concept_comparison	P1	comparison_or_concept_sections	source_derived_reviewed	REL-006
SQ-4006	RTYPE-019	RTYPE-023	競馬のGroup 2とGrade 2はどう対応する？地域別の格付け区分	ja	ja-JP	comparison	concept_comparison	P1	comparison_or_concept_sections	source_derived_reviewed	REL-006
SQ-4007	RTYPE-020	RTYPE-024	Group 3 vs Grade 3 in horse racing: how do the regional classifications correspond?	en		comparison	concept_comparison	P1	comparison_or_concept_sections	source_derived_reviewed	REL-007
SQ-4008	RTYPE-020	RTYPE-024	競馬のGroup 3とGrade 3はどう対応する？地域別の格付け区分	ja	ja-JP	comparison	concept_comparison	P1	comparison_or_concept_sections	source_derived_reviewed	REL-007
SQ-4009	SURF-011	SURF-012	Going vs track condition in horse racing: why are they related but not identical?	en		comparison	concept_comparison	P1	comparison_or_concept_sections	source_derived_reviewed	REL-008
SQ-4010	SURF-011	SURF-012	競馬のGoingとtrack conditionの違いは？同じ馬場状態でも分類体系が違う理由	ja	ja-JP	comparison	concept_comparison	P1	comparison_or_concept_sections	source_derived_reviewed	REL-008
SQ-4011	VENUE-001	VENUE-002	Racecourse vs racetrack: what is the difference in horse racing usage?	en		comparison	concept_comparison	P1	comparison_or_concept_sections	source_derived_reviewed	REL-009
SQ-4012	VENUE-001	VENUE-002	競馬のracecourseとracetrackの違いは？施設名と走路の用法	ja	ja-JP	comparison	concept_comparison	P1	comparison_or_concept_sections	source_derived_reviewed	REL-009
SQ-4013	VENUE-003	VENUE-001	Track vs racecourse in horse racing: when does track mean the venue rather than the running surface?	en		comparison	concept_comparison	P1	comparison_or_concept_sections	source_derived_reviewed	REL-010
SQ-4014	VENUE-003	VENUE-001	競馬のtrackとracecourseの違いは？trackが競馬場全体を指す場合	ja	ja-JP	comparison	concept_comparison	P1	comparison_or_concept_sections	source_derived_reviewed	REL-010
SQ-4015	VENUE-003	VENUE-004	Track vs course in horse racing: how do the physical running-path meanings differ?	en		comparison	concept_comparison	P1	comparison_or_concept_sections	source_derived_reviewed	REL-011
SQ-4016	VENUE-003	VENUE-004	競馬のtrackとcourseの違いは？走路・経路としての使い分け	ja	ja-JP	comparison	concept_comparison	P1	comparison_or_concept_sections	source_derived_reviewed	REL-011
SQ-4017	MEET-003	MEET-001	Fixture vs race meeting in British racing: what is the difference?	en	en-GB	comparison	concept_comparison	P1	comparison_or_concept_sections	source_derived_reviewed	REL-012
SQ-4018	MEET-003	MEET-001	英国競馬のfixtureとrace meetingの違いは？予定された開催単位と実際の開催	ja	ja-JP	comparison	concept_comparison	P1	comparison_or_concept_sections	source_derived_reviewed	REL-012
SQ-4019	MEET-004	MEET-001	Race day vs race meeting: what is the difference in horse racing?	en		comparison	concept_comparison	P1	comparison_or_concept_sections	source_derived_reviewed	REL-013
SQ-4020	MEET-004	MEET-001	競馬のrace dayとrace meetingの違いは？開催日と開催イベントの使い分け	ja	ja-JP	comparison	concept_comparison	P1	comparison_or_concept_sections	source_derived_reviewed	REL-013
