concept_id	category_id	category_ja	canonical_en	preferred_ja	working_definition_ja	concept_kind	priority	jurisdiction_scope	discipline_scope	translation_status	verification_status	source_required	public_ready	notes
RTYPE-054	RTYPE	レースの種類・格・条件	Benchmark race	ベンチマーク競走	馬のRatingと競走に設定されたBenchmarkを基礎に負担重量を定めるrating-based handicap race。詳細はPRA・地域制度で異なる。	concept	P0	Australia/New Zealand	Flat	working_equivalent	source_verified	yes	no	AUNZ-SRC-002 and current Racing Australia/NZTR programmes.
RTYPE-055	RTYPE	レースの種類・格・条件	Rating race	レーティング競走	出走資格等を馬のRatingで定める競走類型。Benchmark Raceとは資格制限の考え方が異なる場合がある。	concept	P1	Australia/New Zealand	Flat	working_equivalent	source_verified	yes	no	AUNZ-SRC-002; NZTR programmes also use RATING xx HCP forms.
RTYPE-056	RTYPE	レースの種類・格・条件	Maiden Plate	メイデン・プレート	Maidenを対象にSet Weights条件で行われる豪州等の競走類型。	concept	P1	Australia/Regional	Flat	working_equivalent	source_verified	yes	no	AUNZ-SRC-005 current 2026 Racing Australia programme.
RTYPE-057	RTYPE	レースの種類・格・条件	Class 1 & Maiden Plate	クラス1・メイデン・プレート	Class 1馬と一定のMaiden馬を対象としてSet Weights条件で行われる豪州の複合競走類型。	concept	P2	Australia/NSW/ACT	Flat	descriptive_translation	source_verified	yes	no	AUNZ-SRC-006 current 2026 operational evidence; exact eligibility needs local conditions when published.
WEIGHT-025	WEIGHT	重量・ハンデ	Benchmark rating	ベンチマーク・レーティング	Benchmark Raceで負担重量計算や競走水準の基準として使われる数値Rating。	concept	P0	Australia/New Zealand	Flat	working_equivalent	source_verified	yes	no	AUNZ-SRC-002 and NZTR programme usage.
WEIGHT-026	WEIGHT	重量・ハンデ	Base rating	ベース・レーティング	一部豪州PRAのBenchmark/Handicap番組で、競走の重量設定基準として表示される基準Rating。	concept	P1	Australia/Queensland/Regional	Flat	working_equivalent	candidate	yes	no	Observed repeatedly in AUNZ-SRC-004; retain candidate until a Queensland handicapping policy defines semantics explicitly.
WEIGHT-027	WEIGHT	重量・ハンデ	True weight	トゥルー・ウェイト／本来負担重量	最低重量等による切上げを適用する前に、Rating関係から算出される馬本来の負担重量を示す豪州Handicapping用語。	concept	P1	Australia/Regional	Flat	descriptive_translation	source_verified	yes	no	AUNZ-SRC-002 explains true-weight use in Victorian benchmark handicaps; operational columns also appear in Racing Australia fields.
ENTRY-031	ENTRY	登録・出走手続	Emergency acceptor	エマージェンシー／補欠出走馬	最終Field外の補欠として受諾され、所定条件で欠場馬に代わってFieldへ入ることができる馬。	concept	P0	Australia	Flat	working_equivalent	source_verified	yes	no	Australian Rules AR 58, AUNZ-SRC-001.
SURF-035	SURF	走路・馬場状態	Track rating	トラック・レーティング	Race dayの競走面状態を公式の尺度・区分で表す評価。豪州芝では1–10の数値付き区分が広く使われる。	concept	P0	Australia/New Zealand/Regional	Flat	working_equivalent	source_verified	yes	no	AUNZ-SRC-003; NZ numeric use observed in current programme/industry material but detailed NZ scale remains jurisdiction-definition work.
SURF-036	SURF	走路・馬場状態	Penetrometer	ペネトロメーター	競走路の硬さ・抵抗等を測定し、馬場情報として公表するために用いられる測定器・測定値。	concept	P1	Australia/Regional	Flat	transliteration	source_verified	yes	no	AUNZ-SRC-007 current Racing Queensland race-day reporting.
