source_id	jurisdiction	authority	source_class	title	url	checked_at	currentness	covers	note
AUNZ-SRC-001	Australia	Racing Australia	official_rules	Australian Rules of Racing — as at 1 August 2026	https://www.racingaustralia.horse/uploadimg/Australian_rules_of_Racing/Australian_Rules_of_Racing_01_August_2026.pdf	2026-09-10	current_rules	Emergency acceptors; barrier; ratings-based/benchmark race wording; nominations; declarations; scratchings; weights	National Australian Rules; Local Rules/PRA practices can add jurisdiction-specific detail.
AUNZ-SRC-002	Victoria	Racing Victoria	official_handicapping	Handicapping	https://www.racingvictoria.com.au/racing/handicapping	2026-09-10	current_reference	Benchmark Race; Rating; Rating Band; Rating Race; true weight; minimum/maximum weights	Current authority explanation; useful for semantic definitions rather than only observed race labels.
AUNZ-SRC-003	Victoria	Racing Victoria	official_track_policy	Track Preparation Guidelines — Track Ratings	https://www.racingvictoria.com.au/racing/tracks-facilities/track-preparation-guidelines	2026-09-10	current_reference	Track Rating; Firm 1/2; Good 3/4; Soft 5/6/7; Heavy 8/9/10; synthetic exclusion	Official Australian 1–10 turf rating scale reference.
AUNZ-SRC-004	Australia	Racing Australia	official_race_programme	Benchmark 60 Handicap — Rockhampton 24 April 2026	https://www.racingaustralia.horse/FreeFields/Weights.aspx?Key=2026Apr24%2CQLD%2CRockhampton	2026-09-10	2026_observed_current	Benchmark 60; Base Rating; EM; Ballot; True Weight; Hcp Rating	Current operational programme evidence; Queensland-specific Base Rating semantics require separate authority definition before globalizing.
AUNZ-SRC-005	Australia	Racing Australia	official_race_programme	Maiden Plate — Armidale 25 April 2026	https://www.racingaustralia.horse/FreeFields/Weights.aspx?Key=2026Apr25%2CNSW%2CArmidale	2026-09-10	2026_observed_current	Maiden Plate; Set Weights; EM; Ballot; True Weight; Hcp Rating	Current operational NSW programme evidence.
AUNZ-SRC-006	Australia	Racing Australia	official_race_programme	Class 1 & Maiden Plate — Moruya 4 April 2026	https://www.racingaustralia.horse/FreeFields/Weights.aspx?Key=2026Apr04%2CNSW%2CMoruya	2026-09-10	2026_observed_current	Class 1 & Maiden Plate; Set Weights; EM; Ballot	Current operational combined race-type evidence.
AUNZ-SRC-007	Queensland	Racing Queensland	official_stewards_report	Doomben Stewards Report — 15 August 2026	https://www.racingqueensland.com.au/racing/full-calendar/thoroughbred/meeting/doom/20260815/stewards-report	2026-09-10	2026_observed_current	Track Rating; Good 4; Soft 5; Rail True; Penetrometer; Going Stick Index; Acceptances; Scratchings	Confirms real race-day operational measurement and track labels.
AUNZ-SRC-008	New Zealand	NZTR	official_rules	NZTR Rules of Racing — effective 6 April 2026	https://nztr.co.nz/sites/nztrindustry/files/2026-05/Rules-of-Racing_effective-April-2026_v2.pdf	2026-09-10	current_rules	Maiden; barrier; acceptance; rider; race types; official roles	Current NZTR rules as linked from Rules, Directives & Policies page.
AUNZ-SRC-009	New Zealand	NZTR	official_policy_index	Rules, Directives & Policies	https://nztr.co.nz/rules-directives-policies	2026-09-10	current_index	Current effective dates; Standard Balloting Conditions; Barrier Certification; racing conditions; gear	Use as freshness/authority index and follow linked documents for exact definitions.
AUNZ-SRC-010	New Zealand	NZTR	official_programme	February 2026 programming — Gore / Riccarton Park	https://nztr.co.nz/sites/nztrindustry/files/2026-01/A415Jan.pdf	2026-09-10	2026_observed_current	BENCHMARK RATING 75 HCP; BENCHMARK RATING 65 HCP; MAAT; SWP; nominations; weights; withdrawals; declaration of riders	Programme evidence; not every abbreviation is promoted without definition.
