concept_id	category_id	category_ja	canonical_en	preferred_ja	working_definition_ja	concept_kind	priority	jurisdiction_scope	discipline_scope	translation_status	verification_status	source_required	public_ready	notes
RTYPE-084	RTYPE	レースの種類・格・条件	Hong Kong Class 1	香港第一班	香港の通常競走で用いられる能力クラスの最上位区分。具体的な出走rating bandは個別番組で変動し得るため固定値をConcept定義にしない。	concept	P0	Hong Kong/HKJC	Flat	descriptive_translation	source_verified	yes	no	HKKR-SRC-003/005. 2026 example 110-85; do not freeze one race's band globally.
RTYPE-085	RTYPE	レースの種類・格・条件	Hong Kong Class 2	香港第二班	香港の通常競走で用いられる能力クラス区分。	concept	P0	Hong Kong/HKJC	Flat	descriptive_translation	source_verified	yes	no	HKKR-SRC-003/006. 2026 examples include 100-80.
RTYPE-086	RTYPE	レースの種類・格・条件	Hong Kong Class 3	香港第三班	香港の通常競走で用いられる能力クラス区分。	concept	P0	Hong Kong/HKJC	Flat	descriptive_translation	source_verified	yes	no	HKKR-SRC-003/004. 2026 common programme bands include 80-60, with special variants possible.
RTYPE-087	RTYPE	レースの種類・格・条件	Hong Kong Class 4	香港第四班	香港の通常競走で用いられる能力クラス区分。	concept	P0	Hong Kong/HKJC	Flat	descriptive_translation	source_verified	yes	no	HKKR-SRC-003/004. 2026 common programme band 60-40.
RTYPE-088	RTYPE	レースの種類・格・条件	Hong Kong Class 5	香港第五班	香港の通常競走で用いられる能力クラス区分。	concept	P0	Hong Kong/HKJC	Flat	descriptive_translation	source_verified	yes	no	HKKR-SRC-003/004. 2026 programme commonly shows 40-0.
RTYPE-089	RTYPE	レースの種類・格・条件	Griffin Race (Hong Kong)	香港新馬賽	HKJCでGriffinを対象として行われる香港固有の競走区分。	concept	P1	Hong Kong/HKJC	Flat	descriptive_translation	source_verified	yes	no	HKKR-SRC-003/004/007. Race type separate from horse-status Concept HORSE-033.
HORSE-033	HORSE	馬の品種・性別・年齢	Griffin (Hong Kong)	香港Griffin／新馬資格馬	HKJC Rulesで、Stewardsの権限により未出走のまま香港へ輸入された馬と定義される香港固有の馬区分。	concept	P1	Hong Kong/HKJC	Flat	no_direct_equivalent	source_verified	yes	no	HKKR-SRC-001 current-season formal definition.
SURF-059	SURF	走路・馬場状態	Hong Kong going penetrometer reading	香港度地儀指數	HKJCが芝コースのGoing判定の参考として公表するpenetrometer reading。騎手意見・芝表面・天候も併せてGoingを決める。	concept	P1	Hong Kong/HKJC	Flat	descriptive_translation	source_verified	yes	no	HKKR-SRC-002/007. Not the same measurement system as France Galop's indice pénétrométrique.
SURF-060	SURF	走路・馬場状態	Clegg hammer reading (Hong Kong AWT)	香港全天候跑道硬度計指數	HKJCが全天候跑道の硬さを把握する参考として用いるClegg hammerの数値指標。	concept	P2	Hong Kong/HKJC	Flat	descriptive_translation	source_verified	yes	no	HKKR-SRC-002/007. AWT-specific measurement.
SURF-061	SURF	走路・馬場状態	Rain Affected (Hong Kong AWT)	受雨影響（香港全天候跑道）	HKJCの全天候跑道Going/condition表示の一つで、降雨の影響を受けた状態を示す。	concept	P1	Hong Kong/HKJC	Flat	no_direct_equivalent	source_verified	yes	no	HKKR-SRC-002. AWT code RA.
SURF-062	SURF	走路・馬場状態	Normal Watering (Hong Kong AWT)	正常灑水（香港全天候跑道）	HKJCの全天候跑道状態表示の一つで、通常の散水管理状態を示す。	concept	P2	Hong Kong/HKJC	Flat	no_direct_equivalent	source_verified	yes	no	HKKR-SRC-002. AWT code NW; operational condition rather than generic Going equivalent.
TRAIN-026	TRAIN	調教・競走前後	Stalls test (Hong Kong)	香港閘箱測試	HKJCで馬の発馬機内での扱いや適性を確認する公式テスト。Griffinは原則としてstalls testとbarrier trialを経て出走登録可能となる。	concept	P2	Hong Kong/HKJC	Flat	descriptive_translation	source_verified	yes	no	HKKR-SRC-001. Keep separate from Barrier Trial.
RTYPE-090	RTYPE	レースの種類・格・条件	KRA Class 1	韓国1등급	韓国KRAのrating-based競走馬クラスの最上位区分。2026基本条件ではrating 81以上。	concept	P0	Korea/KRA	Flat	no_direct_equivalent	source_verified	yes	no	HKKR-SRC-009 current 2026 plan; additional rating conditions can be used.
RTYPE-091	RTYPE	レースの種類・格・条件	KRA Class 2	韓国2등급	韓国KRAのrating-based競走馬クラス区分。2026基本条件ではrating 80以下。	concept	P0	Korea/KRA	Flat	no_direct_equivalent	source_verified	yes	no	HKKR-SRC-009.
RTYPE-092	RTYPE	レースの種類・格・条件	KRA Class 3	韓国3등급	韓国KRAのrating-based競走馬クラス区分。2026基本条件ではrating 65以下。	concept	P0	Korea/KRA	Flat	no_direct_equivalent	source_verified	yes	no	HKKR-SRC-009.
RTYPE-093	RTYPE	レースの種類・格・条件	KRA Class 4	韓国4등급	韓国KRAのrating-based競走馬クラス区分。2026基本条件ではrating 50以下。	concept	P0	Korea/KRA	Flat	no_direct_equivalent	source_verified	yes	no	HKKR-SRC-009.
RTYPE-094	RTYPE	レースの種類・格・条件	KRA Class 5	韓国5등급	韓国KRAのrating-based競走馬クラス区分。2026基本条件ではrating 35以下。	concept	P0	Korea/KRA	Flat	no_direct_equivalent	source_verified	yes	no	HKKR-SRC-009.
RTYPE-095	RTYPE	レースの種類・格・条件	KRA Class 6	韓国6등급	韓国KRAの初級クラス区分で、2026施行計画ではrating未付与の馬を中心に別定条件で編成される。	concept	P0	Korea/KRA	Flat	no_direct_equivalent	source_verified	yes	no	HKKR-SRC-009.
RTYPE-096	RTYPE	レースの種類・格・条件	Daesang race (Korea)	대상경주	KRAが主要競走として設定する韓国の公式競走区分。Grade/List等の格付けや個別条件を持つ場合があるが、他国のStakes/重賞と自動同義にはしない。	concept	P0	Korea/KRA	Flat	transliteration	source_verified	yes	no	HKKR-SRC-009 current 2026 plan.
RTYPE-097	RTYPE	レースの種類・格・条件	Special race (Korea)	특별경주	KRA施行計画で대상경주と並び独立して扱われる韓国の特別競走区分。	concept	P1	Korea/KRA	Flat	descriptive_translation	source_verified	yes	no	HKKR-SRC-009. Distinct from Japanese 特別競走 Concepts.
RTYPE-098	RTYPE	レースの種類・格・条件	General race (Korea)	일반경주	KRA施行計画で対象・特別競走以外の通常競走群を指す韓国の公式番組区分。	concept	P0	Korea/KRA	Flat	descriptive_translation	source_verified	yes	no	HKKR-SRC-009. Same translated label as other jurisdictions but separate semantics.
WEIGHT-032	WEIGHT	重量・ハンデ	Byeoljeong A (Korea)	별정 A	KRAの別定重量方式の一つで、2026施行計画では性・年齢別に基礎重量を差別化する方式。	concept	P1	Korea/KRA	Flat	transliteration	source_verified	yes	no	HKKR-SRC-009. Do not collapse into JRA 別定 or Australian set weights.
WEIGHT-033	WEIGHT	重量・ハンデ	Byeoljeong B (Korea)	별정 B	KRAの別定重量方式の一つで、2026施行計画ではrating区間別に基礎重量を設定する方式。	concept	P1	Korea/KRA	Flat	transliteration	source_verified	yes	no	HKKR-SRC-009.
WEIGHT-034	WEIGHT	重量・ハンデ	Byeoljeong C (Korea)	별정 C	KRAの別定重量方式の一つで、2026施行計画では6등급を対象に性・年齢別基礎重量へ入着経験に応じた付加重量を加える方式。	concept	P1	Korea/KRA	Flat	transliteration	source_verified	yes	no	HKKR-SRC-009.
