definition_id	concept_id	jurisdiction	authority	discipline	effective_scope	definition_ja_summary	verification_status	source_id	note
GER-DEF-001	ROLE-006	Germany	Deutscher Galopp	Flat	current_reference	Trainerは、Deutscher Galoppの現行規則で免許対象となる競走馬の調教師。	source_verified	GER-SRC-002	Regional definition on Trainer.
GER-DEF-002	ROLE-011	Germany	Deutscher Galopp	Flat	current_reference	Besitzertrainerは、自己所有馬を調教・出走させるための独立した免許区分として扱われる馬主兼調教師。	source_verified	GER-SRC-002	German licensing requirements remain jurisdiction-specific.
GER-DEF-003	ROLE-001	Germany	Deutscher Galopp	Flat	current_reference	Berufsrennreiterは、Deutscher Galoppの免許を受ける職業競走騎手区分。	source_verified	GER-SRC-002	Regional official label on Jockey.
GER-DEF-004	ROLE-004	Germany	Deutscher Galopp	Flat	current_reference	Amateurrennreiterは、Deutscher Galoppの免許制度で職業騎手とは別に扱われるアマチュア騎手区分。	source_verified	GER-SRC-002	Regional official label on Amateur rider.
GER-DEF-005	ROLE-008	Germany	Deutscher Galopp	Flat	current_reference	Besitzerは、ドイツ競馬規則の所有・調教関連条項で競走馬の所有者を指す用語。	source_verified	GER-SRC-002	Regional official label on Owner.
GER-DEF-006	ROLE-017	Germany	Deutscher Galopp	Flat	current_reference	Starterは、発走機の確認、発走準備、発走実施を統括するドイツ競馬の発走担当役員。	source_verified	GER-SRC-002	Richtlinie R4 provides direct operational duties.
GER-DEF-007	ROLE-018	Germany	Deutscher Galopp	Flat	current_reference	Zielrichterは、ゴールでの馬の到達順序や着差等を判定する決勝審判役員。	source_verified	GER-SRC-002	Current Rennordnung sections 497-502.
GER-DEF-008	ROLE-019	Germany	Deutscher Galopp	Flat	current_reference	Ausgleicherは、ハンデ評価や負担重量設定を担当するドイツ競馬のハンデキャッパー。	source_verified	GER-SRC-002	Richtlinie R1 and handicap provisions support the role.
GER-DEF-009	VENUE-001	Germany	Deutscher Galopp	Flat	current_reference	Rennbahnは、Deutscher Galopp規則下で競走を実施する競馬場・走路施設を指す用語。	source_verified	GER-SRC-002	Regional official label on Racecourse.
GER-DEF-010	ROLE-022	Germany	Deutscher Galopp	Flat	current_reference	Tierarztは、競走馬の検査・獣医対応等を担う競馬場の獣医師。	source_verified	GER-SRC-002	Specific raceday duties remain rule-scoped.
GER-DEF-011	ROLE-023	Germany	Deutscher Galopp	Flat	current_reference	Hufschmiedは、競馬開催・発走地点で必要に応じて蹄鉄・蹄の対応を担う装蹄師。	source_verified	GER-SRC-002	Regional definition on Farrier.
GER-DEF-012	VENUE-024	Germany	Deutscher Galopp	Flat	current_reference	Startmaschineは、各競走の発走に用いるスターティングゲート装置。	source_verified	GER-SRC-002	Richtlinie R4 directly governs its positioning and operation.
